service,keywords,uplift_clicks,uplift_value
ppc,28,2295.3499999999995,98731.43950000002
mobile_app,21,19310.300000000003,96969.916
seo,37,4583.600000000001,95669.57150000003
web_design,27,4977.05,54938.49250000001
digital_marketing,18,4267.4,41286.351
other,24,2983.05,37586.26850000001
web_dev,15,2162.6000000000004,34360.645
software_dev,4,377.20000000000005,15029.912
social,3,1683.0,14703.92
ecommerce,4,628.1999999999999,10551.804
logo,1,6750.0,10057.5
video,8,1793.0,9151.09
hr_outsourcing,2,282.8,8726.887999999999
it_services,2,275.0,6455.92
email,3,249.0,4885.900000000001
cms_platform,2,116.79999999999998,2070.8639999999996
content,1,133.0,1344.6299999999999
