Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
marketing companies near me,10,10,3600,66.0,10.09,https://www.designrush.com/agency/digital-marketing/pennsylvania,32.0,0.03,322.0,0.24,1650000000.0,"[53,100,81,44,35,44,53,66,100,100,53,66]",2025-09-08,"Local pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,0,false,true,04-10,geo,digital_marketing,36324.0
devops consulting companies,9,9,390,26.0,35.71,https://www.designrush.com/agency/devops-consulting/new-york,3.0,0.0,107.0,0.04,34200000.0,"[17,26,21,39,21,9,39,72,100,59,59,48]",2025-08-22,"Knowledge panel, Image pack, Sitelinks, People also ask, Related searches",informational,Organic,0,false,true,04-10,geo,other,13926.9
digital marketing agencies near me,10,10,1600,49.0,7.99,https://www.designrush.com/agency/digital-marketing/georgia/atlanta,14.0,0.01,111.0,0.04,405000000.0,"[36,16,20,36,43,29,29,36,43,43,43,43]",2025-09-08,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,0,false,true,04-10,geo,digital_marketing,12784.0
advertising firms houston,5,5,880,44.0,6.26,https://www.designrush.com/agency/ad-agencies/texas/houston,21.0,0.02,131.0,0.42,27600000.0,"[81,62,30,36,13,36,10,81,81,100,62,55]",2025-09-06,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,5508.8
accounting firm new york ny,7,7,880,45.0,6.22,https://www.designrush.com/agency/accounting/new-york/new-york-city,19.0,0.02,118.0,0.42,241000000.0,"[45,67,36,55,24,67,13,100,100,100,67,67]",2025-09-03,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,other,5473.599999999999
accounting firms in new york,7,7,720,36.0,6.22,https://www.designrush.com/agency/accounting/new-york/new-york-city,5.0,0.0,31.0,0.42,129000000.0,"[59,59,72,88,72,88,72,88,72,72,72,59]",2025-09-10,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,geo,other,4478.4
new jersey digital marketing company,10,10,480,67.0,7.55,https://www.designrush.com/agency/digital-marketing/new-jersey,4.0,0.0,30.0,0.06,67500000.0,"[20,20,6,6,8,13,10,100,81,30,36,30]",2025-09-03,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,digital_marketing,3624.0
digital marketing agency nj,10,10,480,65.0,7.55,https://www.designrush.com/agency/digital-marketing/new-jersey,4.0,0.0,30.0,0.06,52400000.0,"[100,26,48,59,48,32,39,26,39,39,48,48]",2025-09-07,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,digital_marketing,3624.0
digital marketing agency orange county,4,4,390,30.0,9.29,https://www.designrush.com/agency/digital-agencies/california/orange-county,11.0,0.01,102.0,0.13,40700000.0,"[44,66,54,54,81,44,100,81,66,54,66,54]",2025-08-23,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,geo,other,3623.0999999999995
best advertising agency,10,10,720,41.0,4.69,https://www.designrush.com/agency/ad-agencies/pennsylvania,2.0,0.0,9.0,0.27,348000000.0,"[10,16,7,16,79,20,100,24,30,20,24,54]",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches, Discussions and forums",commercial,Organic,0,false,true,04-10,geo,advertising,3376.8
