Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
enterprise seo company,16,3,1600,43.0,0.0,https://www.designrush.com/agency/search-engine-optimization/enterprise-seo,2.0,0.0,0.0,0.0,30100000.0,"[16,54,66,66,79,79,79,66,66,79,100,54]",2025-09-11,"Sitelinks, People also ask, Related searches",commercial,Organic,-13,false,false,11-20,agency,seo
dental seo services,21,9,1900,23.0,35.68,https://www.designrush.com/agency/search-engine-optimization/dental,2.0,0.0,71.0,0.05,22800000.0,"[20,22,29,29,36,43,43,43,54,54,81,65]",2025-09-11,"Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",commercial,Organic,-12,false,false,21-50,agency,seo
it support company,26,17,5400,68.0,26.0,https://www.designrush.com/agency/it-services,8.0,0.0,208.0,0.03,7930000000.0,"[10,12,16,19,16,19,29,36,36,66,54,100]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,-9,false,false,21-50,agency,it_services
public relations united states,41,33,22200,60.0,0.66,https://www.designrush.com/agency/public-relations/us,6.0,0.0,3.0,0.02,2620000000.0,"[0,0,0,0,0,0,0,20,81,54,81,100]",2025-09-11,"Image pack, Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic,-8,false,false,21-50,agency,pr
digital forensics companies,10,2,320,24.0,6.95,https://www.designrush.com/agency/cybersecurity/digital-forensics,2.0,0.0,13.0,0.1,27700000.0,"[13,16,13,16,20,20,24,20,36,45,55,24]",2025-09-12,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic,-8,false,true,04-10,other,cybersecurity
rebu,25,18,5400,44.0,0.0,https://www.designrush.com/agency/profile/rebu,3.0,0.0,0.0,0.0,2660000.0,"[29,24,81,29,24,7,24,19,19,81,44,5]",2025-09-12,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic,-7,false,false,21-50,agency,other
best digital marketing agency,19,14,6600,49.0,8.77,https://www.designrush.com/agency/digital-marketing/us,9.0,0.01,78.0,0.17,505000000.0,"[54,36,44,54,54,54,54,54,81,81,100,100]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle",commercial,Organic,-5,false,false,11-20,other,digital_marketing
imága,30,26,14800,64.0,0.0,https://www.designrush.com/agency/profile/imaga,10.0,0.01,0.0,0.0,663000.0,"[3,5,0,0,0,1,0,100,44,81,36,0]",2025-09-11,"Image pack, Sitelinks, Video, Related searches, See results about",informational,Organic,-4,false,false,21-50,agency,other
seo companies,14,10,8100,50.0,22.56,https://www.designrush.com/agency/search-engine-optimization,5.0,0.0,112.0,0.08,262000000.0,"[29,66,36,44,44,66,44,36,54,54,66,54]",2025-09-11,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,-4,false,false,11-20,agency,seo
search optimization company,12,8,320,73.0,22.56,https://www.designrush.com/agency/search-engine-optimization,4.0,0.0,90.0,0.08,370000000.0,"[0,0,0,0,0,0,1,100,7,1,8,4]",2025-09-11,"Sitelinks, Related searches",informational,Organic,-4,false,false,11-20,agency,seo
