Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
best seo services in uae,5,90,110,20.0,13.06,https://www.designrush.com/agency/search-engine-optimization/ae,2.0,0.0,26.0,0.02,7100000.0,"[6,9,21,0,6,43,65,21,43,21,100,34]",2025-09-11,"Sitelinks, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,85,false,true,04-10,agency,seo
bpo industry,34,80,9900,55.0,9.42,https://www.designrush.com/agency/bpo/trends/what-is-bpo,2.0,0.0,18.0,0.16,53800000.0,"[54,66,66,81,81,81,66,29,44,81,36,44]",2025-09-11,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches, Things to know",informational,Organic,46,false,false,21-50,trends,other
web designers near me,22,54,8100,57.0,14.75,https://www.designrush.com/agency/website-design-development/new-jersey,2.0,0.0,29.0,0.19,4560000000.0,"[44,29,66,100,24,54,44,36,54,54,29,29]",2025-09-12,"Local pack, Image pack, Video, Ads bottom, People also ask, Related searches, Ads middle",transactional,Organic,32,false,false,21-50,agency,web_design
seo ecommerce services,4,28,260,37.0,16.78,https://www.designrush.com/agency/search-engine-optimization/ecommerce-seo,16.0,0.01,268.0,0.02,22300000.0,"[15,4,2,54,54,36,4,54,12,54,100,54]",2025-09-11,"Sitelinks, Video, Related searches",commercial,Organic,24,false,true,04-10,agency,seo
linkbuilding company,4,21,50,44.0,17.19,https://www.designrush.com/agency/search-engine-optimization/link-building,3.0,0.0,51.0,0.14,5570000.0,"[18,18,0,100,45,63,63,45,27,63,81,27]",2025-09-11,"Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle","commercial, informational",Organic,17,false,true,04-10,agency,seo
mobile application development in california,2,18,50,25.0,0.0,https://www.designrush.com/agency/mobile-app-design-development/california,4.0,0.0,0.0,0.03,402000000.0,"[22,22,44,77,100,77,44,77,77,77,77,33]",2025-09-11,"Local pack, People also ask, AI overview",commercial,Organic,16,true,true,01-03,agency,mobile_app
smart contracts development company,8,20,90,19.0,23.56,https://www.designrush.com/agency/software-development/smart-contracts-companies,2.0,0.0,47.0,0.02,48500000.0,"[12,9,15,15,9,15,28,28,65,100,21,21]",2025-09-11,"Image pack, Ads top, Video Carousel, Related searches","commercial, informational",Organic,12,false,true,04-10,agency,software_dev
web design agency virginia,1,12,140,8.0,13.65,https://www.designrush.com/agency/website-design-development/virginia,9.0,0.01,122.0,0.06,22200000.0,"[34,42,65,42,42,42,42,80,80,100,42,53]",2025-09-12,"Local pack, Sitelinks, Ads bottom, Related searches, Ads middle",commercial,Organic,11,true,true,01-03,agency,web_design
custom software development florida,4,14,90,33.0,0.0,https://www.designrush.com/agency/software-development/florida,5.0,0.0,0.0,0.02,9450000.0,"[33,33,33,52,42,52,42,42,80,42,52,52]",2025-09-11,"Local pack, Related searches","commercial, informational",Organic,10,false,true,04-10,agency,software_dev
manchester seo services,7,17,210,6.0,0.0,https://www.designrush.com/agency/search-engine-optimization/new-hampshire/manchester,4.0,0.0,0.0,0.0,7280000.0,"[18,18,18,23,28,54,54,18,44,44,100,35]",2025-09-11,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,10,false,true,04-10,agency,seo
