Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
app,4,4,301000,100.0,3.15,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,105.0,0.12,330.0,0.03,20710000000.0,"[81,81,100,81,81,66,81,81,81,66,81,100]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, See results about, Things to know, AI overview",informational,Things to know,0,false,true,04-10,agency,mobile_app,948150.0
app,4,4,301000,100.0,3.15,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-application-development-platform,105.0,0.12,330.0,0.03,20710000000.0,"[81,81,100,81,81,66,81,81,81,66,81,100]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, See results about, Things to know, AI overview",informational,Things to know,0,false,true,04-10,agency,mobile_app,948150.0
gg ads,6,6,14800,100.0,27.25,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,66.0,0.07,1798.0,0.52,2020000000.0,"[81,36,81,66,66,81,54,54,81,54,100,54]",2025-09-10,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle","navigational, transactional",People also ask,0,false,true,04-10,trends,ppc,403300.0
seo agency near me,7,9,12100,60.0,19.76,https://www.designrush.com/agency/search-engine-optimization,266.0,0.3,5256.0,0.02,195000000.0,"[13,54,29,24,16,66,54,54,100,54,54,44]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,2,false,true,04-10,agency,seo,239096.00000000003
logo,6,0,135000,100.0,1.49,https://www.designrush.com/agency/logo-design/trends/what-is-logo-design,337.0,0.38,502.0,0.21,23550000000.0,"[44,44,54,67,44,30,44,36,44,54,81,36]",2025-09-11,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask,-6,false,true,04-10,agency,logo,201150.0
web development company,7,7,12100,72.0,14.89,https://www.designrush.com/agency/web-development-companies,363.0,0.41,5405.0,0.1,2370000000.0,"[54,66,66,66,54,66,66,54,66,81,100,81]",2025-09-11,"Knowledge panel, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_dev,180169.0
ppc company,8,8,5400,54.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click,8.0,0.0,263.0,0.11,51700000.0,"[19,19,29,44,44,54,44,44,66,100,66,54]",2025-09-10,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,178091.99999999997
web design agency,7,7,18100,87.0,9.43,https://www.designrush.com/agency/website-design-development,543.0,0.62,5120.0,0.11,1040000000.0,"[66,66,81,81,81,81,81,66,100,100,100,100]",2025-09-10,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Discussions and forums, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_design,170683.0
social media marketing agency,8,0,18100,78.0,8.72,https://www.designrush.com/agency/social-media-marketing/trends/paid-social-media-advertising,13.0,0.01,113.0,0.09,547000000.0,"[44,44,44,100,66,66,66,66,81,81,100,100]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Things to know, Ads middle, AI overview",commercial,Things to know,-8,false,true,04-10,agency,social,157832.0
hr outsourcing,6,6,5400,49.0,29.1,https://www.designrush.com/agency/hr-outsourcing,8.0,0.0,232.0,0.14,63800000.0,"[66,81,81,100,81,100,100,100,81,66,100,81]",2025-09-11,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Things to know, Ads middle, AI overview",commercial,Things to know,0,false,true,04-10,other,hr_outsourcing,157140.0
digital marketing company,7,13,22200,85.0,7.07,https://www.designrush.com/agency/digital-marketing,6.0,0.0,42.0,0.21,1830000000.0,"[44,67,67,54,54,54,67,67,81,81,100,100]",2025-09-11,"Local pack, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",commercial,Organic,6,false,true,04-10,other,digital_marketing,156954.0
seo company near me,9,12,6600,54.0,23.74,https://www.designrush.com/agency/search-engine-optimization,85.0,0.09,2017.0,0.03,664000000.0,"[23,36,36,29,44,81,36,36,66,44,54,100]",2025-09-11,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",transactional,Organic,3,false,true,04-10,agency,seo,156684.0
ecommerce development company,4,4,1900,60.0,74.74,https://www.designrush.com/agency/ecommerce,45.0,0.05,3363.0,0.1,218000000.0,"[41,54,66,79,100,79,79,66,79,66,79,100]",2025-09-08,"Local pack, Image pack, Sitelinks, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce,142006.0
online marketing agency,9,7,9900,96.0,12.98,https://www.designrush.com/agency/digital-marketing,128.0,0.14,1661.0,0.1,889000000.0,"[29,29,36,44,44,36,54,66,100,81,100,81]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,-2,false,true,04-10,other,digital_marketing,128502.0
pay per click management agency,4,4,590,33.0,211.5,https://www.designrush.com/agency/paid-media-pay-per-click,25.0,0.02,5287.0,0.02,798000000.0,"[5,5,24,8,6,16,24,55,81,62,62,100]",2025-09-02,"Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,other,ppc,124785.0
ppc marketing company,9,9,880,45.0,138.37,https://www.designrush.com/agency/paid-media-pay-per-click,6.0,0.0,830.0,0.07,20800000.0,"[30,30,30,36,36,13,62,55,100,100,100,45]",2025-09-01,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,121765.6
website development company,5,5,8100,82.0,14.89,https://www.designrush.com/agency/web-development-companies,5.0,0.0,74.0,0.1,2900000000.0,"[81,81,81,81,66,81,81,66,100,100,100,100]",2025-09-10,"Local pack, Image pack, Sitelinks, Video Carousel, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,web_dev,120609.0
website creator,7,7,12100,100.0,9.48,https://www.designrush.com/agency/website-design-development/trends/custom-website-design,4.0,0.0,37.0,0.68,1720000000.0,"[36,36,36,36,36,36,36,36,36,36,36,29]",2025-09-10,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, See results about, Ads middle",commercial,People also ask,0,false,true,04-10,agency,web_design,114708.0
software development companies,7,7,2900,54.0,39.46,https://www.designrush.com/agency/software-development/us,14.0,0.01,552.0,0.14,620000000.0,"[100,66,80,66,52,66,80,44,80,80,100,66]",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,software_dev,114434.0
pay per click marketing agency,9,9,720,36.0,138.37,https://www.designrush.com/agency/paid-media-pay-per-click,6.0,0.0,830.0,0.07,70700000.0,"[8,16,36,6,55,13,67,45,100,100,67,76]",2025-09-02,"Sitelinks, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic,0,false,true,04-10,other,ppc,99626.40000000001
googel ads,6,6,2900,100.0,34.25,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,8.0,0.0,274.0,0.43,2030000000.0,"[13,8,7,36,13,8,10,7,8,7,2,8]",2025-09-10,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",navigational,People also ask,0,false,true,04-10,trends,ppc,99325.0
companies that develop apps,7,7,2400,57.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,57.0,0.06,1814.0,0.12,641000000.0,"[8,5,8,100,5,36,24,28,54,54,43,36]",2025-09-05,"Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app,76416.0
website design agency,6,7,8100,91.0,9.43,https://www.designrush.com/agency/website-design-development,283.0,0.32,2668.0,0.11,1100000000.0,"[44,44,54,54,66,66,66,54,66,81,100,100]",2025-09-12,"Local pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle",commercial,Organic,1,false,true,04-10,agency,web_design,76383.0
it support companies,8,8,2900,47.0,26.0,https://www.designrush.com/agency/it-services,14.0,0.01,364.0,0.03,1740000000.0,"[13,10,13,24,24,24,24,19,24,29,100,36]",2025-09-10,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,it_services,75400.0
seo companies for small business,10,10,2900,38.0,24.92,https://www.designrush.com/agency/search-engine-optimization/small-business,20.0,0.02,498.0,0.02,127000000.0,"[18,35,13,44,44,35,100,29,66,100,100,81]",2025-09-10,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,seo,72268.0
branding agency,8,0,12100,62.0,5.92,https://www.designrush.com/agency/logo-branding/trends/how-to-start-a-branding-company,78.0,0.09,461.0,0.14,1170000000.0,"[36,36,44,44,44,44,54,66,81,66,81,66]",2025-09-11,"Local pack, Image pack, Sitelinks, Related searches, Things to know",commercial,Things to know,-8,false,true,04-10,agency,other,71632.0
google ads marketing agency,7,7,1600,53.0,44.56,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,14.0,0.01,623.0,0.09,229000000.0,"[55,34,55,30,34,44,44,55,44,82,100,65]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic,0,false,true,04-10,other,ppc,71296.0
mobile app development companies,9,9,1900,55.0,37.5,https://www.designrush.com/agency/mobile-app-design-development/texas,24.0,0.02,900.0,0.07,872000000.0,"[66,54,66,100,66,54,54,54,100,79,79,79]",2025-09-08,"Local pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,mobile_app,71250.0
search engine positioning,9,10,5400,38.0,12.95,https://www.designrush.com/agency/search-engine-optimization/trends/search-engine-positioning,8.0,0.0,103.0,0.25,58000000.0,"[81,54,54,81,100,100,66,44,36,19,19,16]",2025-09-11,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,1,false,true,04-10,agency,seo,69930.0
dymic,8,8,2400,49.0,28.81,https://www.designrush.com/agency/profile/dymic-digital,14.0,0.01,403.0,0.03,59300.0,"[0,100,0,0,0,1,0,1,0,1,0,0]",2025-09-07,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic,0,false,true,04-10,agency,other,69144.0
email marketing companies,6,6,2900,56.0,23.78,https://www.designrush.com/agency/email-marketing/us,87.0,0.1,2068.0,0.22,1450000000.0,"[100,100,80,100,80,66,66,44,66,52,66,66]",2025-09-08,"Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,agency,email,68962.0
ecommerce development agency,6,6,880,57.0,76.0,https://www.designrush.com/agency/ecommerce,26.0,0.03,1976.0,0.06,95100000.0,"[36,13,45,45,55,62,62,55,62,81,100,81]",2025-09-03,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,66880.0
website website builder,4,4,9900,100.0,6.71,https://www.designrush.com/agency/website-design-development/trends/custom-website-design,7.0,0.0,46.0,0.63,368000000.0,"[5,13,4,4,1,3,0,44,81,100,67,44]",2025-09-10,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,People also ask,0,false,true,04-10,agency,web_design,66429.0
digital marketing agencies,5,5,8100,60.0,8.13,https://www.designrush.com/agency/digital-marketing/trends/what-does-a-digital-marketing-agency-do,89.0,0.1,723.0,0.15,283000000.0,"[100,100,66,66,81,81,81,44,66,54,66,66]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,0,false,true,04-10,trends,digital_marketing,65853.0
top seo companies,8,8,2400,37.0,27.3,https://www.designrush.com/agency/search-engine-optimization,57.0,0.06,1556.0,0.14,59000.0,"[36,44,52,52,66,52,52,52,80,80,100,80]",2025-09-07,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,seo,65520.0
seo optimization companies,9,9,2900,47.0,22.56,https://www.designrush.com/agency/search-engine-optimization/massachusetts,2.0,0.0,45.0,0.08,38600000.0,"[12,12,3,24,24,6,5,100,10,10,12,3]",2025-09-10,"Local pack, Video Carousel, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,seo,65423.99999999999
nodejs development company,5,5,720,25.0,88.1,https://www.designrush.com/agency/software-development/nodejs,15.0,0.01,1321.0,0.02,13500000.0,"[13,13,20,24,24,24,20,41,54,0,100,24]",2025-09-03,"People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,software_dev,63431.99999999999
website developers,10,8,6600,74.0,9.59,https://www.designrush.com/agency/web-development-companies,145.0,0.16,1390.0,0.32,553000000.0,"[66,29,66,44,81,54,100,54,44,44,54,54]",2025-09-11,"Sitelinks, Video, Ads top, Related searches, See results about",informational,Organic,-2,false,true,04-10,agency,web_dev,63294.0
facebook marketing,5,0,6600,87.0,9.46,https://www.designrush.com/agency/social-media-marketing/facebook/trends/what-is-facebook-marketing,19.0,0.02,179.0,0.35,3080000000.0,"[44,44,44,54,54,54,54,44,66,66,81,100]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,-5,false,true,04-10,agency,social,62436.00000000001
app dev company,10,10,1900,70.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,2.0,0.0,63.0,0.12,3100000000.0,"[8,7,5,3,3,3,3,81,100,100,4,7]",2025-09-10,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,mobile_app,60496.0
app developers,4,4,2900,76.0,20.61,https://www.designrush.com/agency/mobile-app-design-development/android,2.0,0.0,41.0,0.43,543000000.0,"[36,81,54,54,65,65,54,43,81,81,81,81]",2025-09-10,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,0,false,true,04-10,agency,mobile_app,59769.0
