URL,traffic,avg_position,keywords
https://www.designrush.com/agency/cybersecurity/digital-forensics,80.0,2.3333333333333335,18
https://www.designrush.com/agency/cybersecurity/new-york,21.0,5.0,6
https://www.designrush.com/agency/cybersecurity/uk/manchester,17.0,1.0,1
https://www.designrush.com/agency/cybersecurity/illinois/chicago,14.0,6.5,4
https://www.designrush.com/agency/cybersecurity/florida/miami,13.0,1.5,2
https://www.designrush.com/agency/cybersecurity/ca/vancouver,13.0,2.0,2
https://www.designrush.com/agency/cybersecurity/georgia/atlanta,13.0,5.0,3
https://www.designrush.com/agency/cybersecurity/au,12.0,2.25,4
https://www.designrush.com/agency/cybersecurity/ca/calgary,12.0,1.0,1
https://www.designrush.com/agency/cybersecurity/in,10.0,3.5,2
https://www.designrush.com/agency/cybersecurity/colorado/denver,10.0,4.666666666666667,3
https://www.designrush.com/agency/cybersecurity/louisiana,9.0,1.0,1
https://www.designrush.com/agency/cybersecurity/nebraska/omaha,9.0,1.0,1
https://www.designrush.com/agency/cybersecurity/tennessee/nashville,7.0,6.0,1
https://www.designrush.com/agency/cybersecurity/au/melbourne,7.0,2.0,2
https://www.designrush.com/agency/cybersecurity/texas/dallas,6.0,4.5,2
https://www.designrush.com/agency/cybersecurity/colorado,4.0,4.0,2
https://www.designrush.com/agency/cybersecurity/hipaa-compliance,4.0,3.0,1
https://www.designrush.com/agency/cybersecurity/michigan,4.0,1.0,2
https://www.designrush.com/agency/cybersecurity/florida,3.0,2.0,1
