Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
website application development companies,4,0,40,32.0,30.94,https://www.designrush.com/agency/mobile-app-design-development,1.0,0.0,30.0,0.03,1780000000.0,"[28,42,42,0,57,71,71,71,100,100,71,28]",2025-09-11,"Sitelinks, Related searches, AI overview",informational,Organic,-4,false,true,04-10,agency,mobile_app
mobile app dev platforms,2,0,1300,65.0,6.69,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,15.0,0.01,100.0,0.03,960000000.0,"[13,10,3,5,3,13,2,28,28,100,2,4]",2025-09-12,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask,-2,true,true,01-03,agency,mobile_app
sports app development,2,0,110,19.0,17.49,https://www.designrush.com/agency/mobile-app-design-development/trends/sports-app-development-companies,3.0,0.0,52.0,0.03,566000000.0,"[15,7,7,7,26,53,65,65,65,80,42,26]",2025-09-11,"Sitelinks, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle","commercial, informational",People also ask,-2,true,true,01-03,agency,mobile_app
mobile banking apps,1,0,5400,72.0,10.2,https://www.designrush.com/agency/mobile-app-design-development/trends/best-mobile-banking-apps,59.0,0.06,601.0,0.14,457000000.0,"[4,19,10,36,100,66,19,44,81,54,29,44]",2025-09-11,"Carousel, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask,-1,true,true,01-03,agency,mobile_app
best app builder,1,0,590,90.0,6.45,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,8.0,0.0,51.0,0.5,374000000.0,"[30,30,30,24,81,45,45,36,30,30,36,30]",2025-09-12,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",commercial,People also ask,-1,true,true,01-03,agency,mobile_app
building apps,1,0,590,95.0,5.97,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,7.0,0.0,41.0,0.4,2030000000.0,"[20,30,55,20,20,81,45,45,36,20,24,24]",2025-09-11,"Carousel, Sitelinks, Video, Ads bottom, People also ask, Related searches, Things to know, Ads middle, AI overview",informational,People also ask,-1,true,true,01-03,agency,mobile_app
phone services app,1,0,90,86.0,6.9,https://www.designrush.com/agency/mobile-app-design-development/trends/what-is-mobile-services-app,3.0,0.0,20.0,0.44,4840000000.0,"[64,64,52,82,100,100,52,23,17,11,29,0]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,-1,true,true,01-03,agency,mobile_app
what's the most used app,1,0,90,42.0,0.0,https://www.designrush.com/agency/mobile-app-design-development/trends/most-downloaded-mobile-apps,2.0,0.0,0.0,0.0,5850000000.0,"[29,11,64,64,64,52,100,41,52,64,52,41]",2025-09-12,"Carousel, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask,-1,true,true,01-03,agency,mobile_app
mobile apps apps,1,0,6600,95.0,1.48,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,1.0,0.0,1.0,0.08,2020000000.0,"[0,0,0,0,0,1,0,0,1,100,44,29]",2025-09-11,"Sitelinks, Video, Video Carousel, Related searches, Things to know, AI overview",informational,Things to know,-1,true,true,01-03,agency,mobile_app
mobile apps apps,1,0,6600,95.0,1.48,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-application-development-platform,1.0,0.0,1.0,0.08,2020000000.0,"[0,0,0,0,0,1,0,0,1,100,44,29]",2025-09-11,"Sitelinks, Video, Video Carousel, Related searches, Things to know, AI overview",informational,Things to know,-1,true,true,01-03,agency,mobile_app
