Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
branding agency,8,0,12100,62.0,5.92,https://www.designrush.com/agency/logo-branding/trends/how-to-start-a-branding-company,78.0,0.09,461.0,0.14,1170000000.0,"[36,36,44,44,44,44,54,66,81,66,81,66]",2025-09-11,"Local pack, Image pack, Sitelinks, Related searches, Things to know",commercial,Things to know,-8,false,true,04-10,agency,other
rebu,25,18,5400,44.0,0.0,https://www.designrush.com/agency/profile/rebu,3.0,0.0,0.0,0.0,2660000.0,"[29,24,81,29,24,7,24,19,19,81,44,5]",2025-09-12,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic,-7,false,false,21-50,agency,other
imága,30,26,14800,64.0,0.0,https://www.designrush.com/agency/profile/imaga,10.0,0.01,0.0,0.0,663000.0,"[3,5,0,0,0,1,0,100,44,81,36,0]",2025-09-11,"Image pack, Sitelinks, Video, Related searches, See results about",informational,Organic,-4,false,false,21-50,agency,other
adam4,36,33,49500,65.0,0.0,https://www.designrush.com/agency/profile/adam-4-artists,6.0,0.0,0.0,0.0,845000.0,"[66,66,54,66,44,100,54,81,66,66,44,66]",2025-09-11,"Sitelinks, Related searches",navigational,Organic,-3,false,false,21-50,agency,other
canopy management,25,23,9900,49.0,9.56,https://www.designrush.com/agency/profile/canopy-management,2.0,0.0,19.0,0.15,86100000.0,"[0,7,54,67,100,81,36,3,13,4,0,1]",2025-09-12,"Local pack, Image pack, Sitelinks, Video, Ads top, Related searches","commercial, navigational",Organic,-2,false,false,21-50,agency,other
graphic design companies dallas,4,2,70,18.0,2.42,https://www.designrush.com/agency/graphic-design/texas/dallas,2.0,0.0,4.0,0.23,9940000.0,"[4,4,14,52,52,66,33,19,42,23,33,23]",2025-09-12,"Local pack, Image pack, Image, Related searches",commercial,Organic,-2,false,true,04-10,geo,other
nightcafe,1,0,40500,57.0,0.07,https://www.designrush.com/agency/creative-agencies/trends/ai-art-generators,101.0,0.11,7.0,0.18,4160000.0,"[44,66,66,54,54,44,54,54,44,44,44,54]",2025-09-11,"Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Twitter carousel, Related searches, Ads middle",navigational,People also ask,-1,true,true,01-03,trends,other
when did facebook ipo,1,0,1000,53.0,0.0,https://www.designrush.com/agency/business-consulting/trends/largest-ipos-of-all-time,12.0,0.01,0.0,0.0,50000000.0,"[46,68,37,52,52,52,68,31,68,37,52,68]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,-1,true,true,01-03,agency,other
industrial design design,1,0,390,50.0,6.92,https://www.designrush.com/agency/product-design/trends/product-and-industrial-design,4.0,0.0,27.0,0.09,1630000000.0,"[0,0,0,0,0,0,100,0,0,0,0,0]",2025-09-11,"Knowledge panel, Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask,-1,true,true,01-03,agency,other
online reputation management costs,1,0,50,14.0,19.62,https://www.designrush.com/agency/reputation-management-companies/trends/reputation-management-cost,3.0,0.0,58.0,0.03,1220000000.0,"[44,33,44,44,44,33,44,33,77,77,77,100]",2025-09-11,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview,-1,true,true,01-03,trends,other
netreputation,17,16,12100,52.0,13.94,https://www.designrush.com/agency/profile/netreputation,3.0,0.0,41.0,0.51,73.0,"[0,0,13,54,100,54,8,2,5,3,2,1]",2025-09-11,"Knowledge panel, Image pack, Sitelinks, Video, Ads top, People also ask, Related searches",navigational,Organic,-1,false,false,11-20,agency,other
specialty answering service reviews,7,6,70,18.0,47.71,https://www.designrush.com/agency/profile/specialty-answering-service,2.0,0.0,95.0,0.32,8840000.0,"[19,26,42,42,19,19,19,26,26,26,19,19]",2025-09-11,"Knowledge panel, Sitelinks, Video, Related searches",commercial,Organic,-1,false,true,04-10,agency,other
