Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
seo agencies,26,0,5400,48.0,21.86,https://www.designrush.com/agency/search-engine-optimization/illinois,8.0,0.0,174.0,0.05,95000000.0,"[43,66,66,81,81,81,66,54,81,81,100,100]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,-26,false,false,21-50,agency,seo
enterprise seo company,16,3,1600,43.0,0.0,https://www.designrush.com/agency/search-engine-optimization/enterprise-seo,2.0,0.0,0.0,0.0,30100000.0,"[16,54,66,66,79,79,79,66,66,79,100,54]",2025-09-11,"Sitelinks, People also ask, Related searches",commercial,Organic,-13,false,false,11-20,agency,seo
dental seo services,21,9,1900,23.0,35.68,https://www.designrush.com/agency/search-engine-optimization/dental,2.0,0.0,71.0,0.05,22800000.0,"[20,22,29,29,36,43,43,43,54,54,81,65]",2025-09-11,"Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",commercial,Organic,-12,false,false,21-50,agency,seo
seo companies,14,10,8100,50.0,22.56,https://www.designrush.com/agency/search-engine-optimization,5.0,0.0,112.0,0.08,262000000.0,"[29,66,36,44,44,66,44,36,54,54,66,54]",2025-09-11,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,-4,false,false,11-20,agency,seo
search optimization company,12,8,320,73.0,22.56,https://www.designrush.com/agency/search-engine-optimization,4.0,0.0,90.0,0.08,370000000.0,"[0,0,0,0,0,0,1,100,7,1,8,4]",2025-09-11,"Sitelinks, Related searches",informational,Organic,-4,false,false,11-20,agency,seo
google seo,3,0,9900,85.0,11.8,https://www.designrush.com/agency/search-engine-optimization/trends/free-google-seo-tools,2.0,0.0,23.0,0.32,1900000000.0,"[24,24,24,24,24,24,24,29,29,36,29,29]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,-3,true,true,01-03,agency,seo
seo agencies,11,9,5400,48.0,21.86,https://www.designrush.com/agency/search-engine-optimization,70.0,0.08,1530.0,0.05,95000000.0,"[43,66,66,81,81,81,66,54,81,81,100,100]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,-2,false,false,11-20,agency,seo
seo lewes,3,1,170,0.0,0.0,https://www.designrush.com/agency/search-engine-optimization/delaware/lewes,13.0,0.01,0.0,0.0,267000.0,"[5,28,28,53,53,53,43,23,43,66,100,28]",2025-09-11,"Image pack, Video, Related searches",informational,Organic,-2,true,true,01-03,agency,seo
los angeles seo services,14,12,590,54.0,6.74,https://www.designrush.com/agency/search-engine-optimization/california/los-angeles,2.0,0.0,13.0,0.02,14100000.0,"[29,36,54,44,67,81,100,81,67,67,44,67]",2025-09-12,"Local pack, Sitelinks, Related searches",commercial,Organic,-2,false,false,11-20,agency,seo
seo agency texas,2,1,110,33.0,10.73,https://www.designrush.com/agency/search-engine-optimization/texas,4.0,0.0,42.0,0.09,4910000.0,"[23,23,33,9,52,80,80,66,100,52,52,66]",2025-09-11,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,-1,true,true,01-03,agency,seo
search engine optimization companies in,1,0,90,47.0,0.0,https://www.designrush.com/agency/search-engine-optimization,3.0,0.0,0.0,0.0,170000000.0,"[11,64,64,64,52,52,52,41,52,64,64,52]",2025-09-11,"Local pack, Sitelinks, People also ask, Related searches, AI overview",informational,AI overview,-1,true,true,01-03,agency,seo
top search engine marketing companies,11,10,170,15.0,0.0,https://www.designrush.com/agency/search-engine-optimization,2.0,0.0,0.0,0.07,150000000.0,"[4,4,6,43,22,29,29,54,54,43,43,66]",2025-09-11,"Sitelinks, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,-1,false,false,11-20,agency,seo
