Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
ecommerce design agency,24,0,720,76.0,72.96,https://www.designrush.com/agency/website-design-development,1.0,0.0,72.0,0.06,28400000.0,"[59,59,72,26,88,39,88,72,59,72,88,100]",2025-09-12,"Local pack, Sitelinks, Ads bottom, Related searches, Ads middle",informational,Organic,-24,false,false,21-50,agency,web_design
hollywood web design,4,0,50,0.0,0.0,https://www.designrush.com/agency/website-design-development/florida/hollywood,3.0,0.0,0.0,0.0,122000000.0,"[22,22,77,44,44,44,100,55,77,77,100,77]",2025-09-11,"Local pack, Image pack, Video",commercial,Organic,-4,false,true,04-10,agency,web_design
web site design firm,5,1,140,78.0,13.79,https://www.designrush.com/agency/website-design-development,2.0,0.0,27.0,0.12,546000000.0,"[10,17,2,0,5,10,66,100,82,82,35,28]",2025-09-11,"Local pack, Sitelinks, Video Carousel, Related searches, Discussions and forums",commercial,Organic,-4,false,true,04-10,agency,web_design
web design & development company in usa,3,0,70,61.0,7.8,https://www.designrush.com/agency/website-design-development,2.0,0.0,15.0,0.01,506000000.0,"[14,14,14,14,78,78,78,21,78,100,100,35]",2025-09-11,"Local pack, Sitelinks, Ads bottom, Related searches, Ads middle",commercial,Organic,-3,true,true,01-03,agency,web_design
wedding internet sites,45,42,9900,44.0,3.08,https://www.designrush.com/agency/website-design-development/trends/best-free-wedding-websites,2.0,0.0,6.0,0.51,817000000.0,"[0,7,0,0,0,0,0,81,81,100,54,44]",2025-09-11,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic,-3,false,false,21-50,agency,web_design
top ecommerce web design companies,2,0,50,16.0,23.54,https://www.designrush.com/agency/website-design-development,4.0,0.0,94.0,0.03,58100000.0,"[14,14,14,14,78,14,28,78,64,100,7,21]",2025-09-11,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,-2,true,true,01-03,agency,web_design
website company,3,2,2900,100.0,14.66,https://www.designrush.com/agency/website-design-development,26.0,0.03,381.0,0.24,8240000000.0,"[43,43,54,65,54,65,81,65,100,54,81,100]",2025-09-11,"Local pack, Sitelinks, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",commercial,Organic,-1,true,true,01-03,agency,web_design
the useless web,9,8,14800,41.0,0.0,https://www.designrush.com/agency/website-design-development/trends/pointless-websites,26.0,0.03,0.0,0.0,133000000.0,"[36,29,36,54,36,44,36,36,36,44,54,24]",2025-09-11,"Sitelinks, Video, People also ask, Related searches",navigational,Organic,-1,false,true,04-10,agency,web_design
web design and development companies,1,0,170,49.0,14.74,https://www.designrush.com/agency/website-design-development,22.0,0.02,324.0,0.01,866000000.0,"[100,54,8,43,14,22,8,4,54,6,8,81]",2025-09-11,"Sitelinks, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,-1,true,true,01-03,agency,web_design
best web design company in usa,1,0,70,46.0,6.44,https://www.designrush.com/agency/website-design-development,17.0,0.01,109.0,0.06,991000000.0,"[5,0,11,17,100,29,29,52,52,41,64,52]",2025-09-11,"Local pack, Sitelinks, Video, People also ask, Related searches",,Organic,-1,true,true,01-03,agency,web_design
unresponsive website examples,4,3,140,30.0,0.0,https://www.designrush.com/agency/website-design-development/trends/bad-websites,9.0,0.01,0.0,0.0,14800000.0,"[6,6,21,65,34,65,53,34,100,65,34,6]",2025-09-11,"Image pack, Sitelinks, Video, Related searches",informational,Organic,-1,false,true,04-10,agency,web_design
construction web design agency,4,3,110,7.0,11.25,https://www.designrush.com/agency/website-design-development/construction,7.0,0.0,78.0,0.06,281000000.0,"[12,12,12,2,23,12,53,23,35,100,35,28]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,-1,false,true,04-10,agency,web_design
web development company dallas,4,3,170,58.0,8.25,https://www.designrush.com/agency/website-design-development/texas/dallas,5.0,0.0,41.0,0.03,28900000.0,"[18,14,18,29,18,29,35,81,100,66,29,14]",2025-09-11,"Local pack, Sitelinks, Related searches",commercial,Organic,-1,false,true,04-10,agency,web_design
arkansas web design,5,4,140,51.0,0.0,https://www.designrush.com/agency/website-design-development/arkansas,3.0,0.0,0.0,0.01,25900000.0,"[11,11,28,23,23,23,28,18,28,23,44,28]",2025-09-11,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,-1,false,true,04-10,agency,web_design
website developer,1,0,6600,80.0,9.59,https://www.designrush.com/agency/website-design-development/trends/custom-website-design,2.0,0.0,19.0,0.32,709000000.0,"[19,29,44,54,66,66,66,66,100,100,100,36]",2025-09-11,"Knowledge panel, Sitelinks, Video, Ads bottom, People also ask, Related searches, Things to know, Ads middle, AI overview","commercial, informational",People also ask,-1,true,true,01-03,agency,web_design
web design firm dubai,2,1,50,68.0,7.35,https://www.designrush.com/agency/website-design-development/ae,2.0,0.0,14.0,0.05,28100000.0,"[18,100,18,18,100,18,63,27,63,36,18,18]",2025-09-11,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,-1,true,true,01-03,agency,web_design
best website design agency india,2,1,50,53.0,0.0,https://www.designrush.com/agency/website-design-development/in,2.0,0.0,0.0,0.03,146000000.0,"[18,18,18,18,100,45,18,100,36,81,63,63]",2025-09-11,"Local pack, Image pack, Sitelinks, Related searches, Discussions and forums",commercial,Organic,-1,true,true,01-03,agency,web_design
