Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
promotional advertising,5,5,720,27.0,12.89,https://www.designrush.com/agency/ad-agencies/promotional-marketing/trends/promotional-marketing-examples,6.0,0.0,77.0,0.14,2870000000.0,"[36,45,5,36,55,36,36,55,81,81,81,20]",2025-09-06,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,9280.800000000001
offline marketing,8,8,590,29.0,14.63,https://www.designrush.com/agency/ad-agencies/trends/offline-and-online-marketing,12.0,0.01,175.0,0.04,720000000.0,"[29,36,44,67,81,67,67,54,67,81,100,100]",2025-08-29,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,8631.7
tv ad agency,5,5,260,60.0,29.64,https://www.designrush.com/agency/ad-agencies/tv-ads,11.0,0.01,326.0,0.04,450000000.0,"[29,22,35,43,35,29,66,81,100,81,81,81]",2025-09-03,"Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,advertising,7706.400000000001
advertising firms houston,5,5,880,44.0,6.26,https://www.designrush.com/agency/ad-agencies/texas/houston,21.0,0.02,131.0,0.42,27600000.0,"[81,62,30,36,13,36,10,81,81,100,62,55]",2025-09-06,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,5508.8
advertising strategy,5,5,880,34.0,6.2,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,30.0,0.03,186.0,0.11,1210000000.0,"[36,36,30,55,45,55,45,62,62,100,81,100]",2025-08-28,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,5456.0
tv advert agency,5,5,170,51.0,29.64,https://www.designrush.com/agency/ad-agencies/tv-ads,3.0,0.0,88.0,0.04,651000000.0,"[53,34,28,53,28,34,28,53,21,34,100,100]",2025-08-27,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,advertising,5038.8
marketing promotions,7,7,590,47.0,8.18,https://www.designrush.com/agency/ad-agencies/promotional-marketing/trends/promotional-marketing-examples,14.0,0.01,114.0,0.26,544000000.0,"[30,24,13,36,30,13,20,30,66,13,20,16]",2025-08-30,"Knowledge panel, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,4826.2
types of advertising,7,7,1600,52.0,2.98,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,20.0,0.02,59.0,0.03,2630000000.0,"[20,27,44,52,52,44,44,44,66,52,52,36]",2025-09-10,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,4768.0
cable tv ad rates,4,4,110,24.0,38.28,https://www.designrush.com/agency/ad-agencies/tv-ads/trends/tv-advertising-cost,4.0,0.0,153.0,0.09,66800000.0,"[100,66,6,6,14,10,14,10,14,10,10,8]",2025-09-05,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,4210.8
radio advertising agency,4,4,320,53.0,11.86,https://www.designrush.com/agency/ad-agencies/radio/us,7.0,0.0,83.0,0.01,161000000.0,"[14,17,17,21,26,21,21,26,48,48,72,59]",2025-08-22,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,advertising,3795.2
small business advertising agency,5,5,210,28.0,17.11,https://www.designrush.com/agency/ad-agencies/small-business,6.0,0.0,102.0,0.18,408000000.0,"[28,28,35,28,28,17,53,53,100,82,82,53]",2025-09-02,"Local pack, Image pack, Sitelinks, Video Carousel, Related searches",commercial,Organic,0,false,true,04-10,other,advertising,3593.1
best advertising agency,10,10,720,41.0,4.69,https://www.designrush.com/agency/ad-agencies/pennsylvania,2.0,0.0,9.0,0.27,348000000.0,"[10,16,7,16,79,20,100,24,30,20,24,54]",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches, Discussions and forums",commercial,Organic,0,false,true,04-10,geo,advertising,3376.8
television ad agency,9,9,110,30.0,29.64,https://www.designrush.com/agency/ad-agencies/tv-ads,2.0,0.0,59.0,0.04,459000000.0,"[28,17,17,23,23,28,35,17,17,35,100,35]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,advertising,3260.4
tv advertising agencies,9,9,110,60.0,29.64,https://www.designrush.com/agency/ad-agencies/tv-ads,2.0,0.0,59.0,0.04,1860000000.0,"[66,42,14,9,66,9,23,66,66,52,100,66]",2025-08-28,"Image pack, Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,advertising,3260.4
