Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
wordpress web design agency,5,5,1600,40.0,17.73,https://www.designrush.com/agency/wordpress-web-design,70.0,0.08,1241.0,0.03,66400000.0,"[24,30,34,55,44,34,55,44,65,100,100,24]",2025-09-10,"Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",informational,Organic,0,false,true,04-10,agency,cms_platform,28368.0
wordpress website design agency,7,7,880,40.0,17.73,https://www.designrush.com/agency/wordpress-web-design,26.0,0.03,460.0,0.03,65700000.0,"[10,30,45,55,55,55,100,55,100,76,100,76]",2025-09-02,"Image pack, Sitelinks, Video Carousel, Related searches",commercial,Organic,0,false,true,04-10,agency,cms_platform,15602.4
web design company wordpress,7,7,720,50.0,17.73,https://www.designrush.com/agency/wordpress-web-design,4.0,0.0,70.0,0.03,97100000.0,"[30,30,24,24,24,36,55,62,81,100,55,24]",2025-09-10,"Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,cms_platform,12765.6
wordpress design agency,8,8,480,49.0,17.5,https://www.designrush.com/agency/wordpress-web-design/us,11.0,0.01,192.0,0.07,71200000.0,"[44,54,66,6,66,15,81,54,100,100,66,100]",2025-09-04,"Knowledge panel, Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,cms_platform,8400.0
wordpress web design companies,7,7,320,40.0,17.73,https://www.designrush.com/agency/wordpress-web-design/us,7.0,0.0,124.0,0.03,81300000.0,"[0,0,36,36,29,100,81,44,54,36,5,66]",2025-08-26,"Sitelinks, Video Carousel, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,cms_platform,5673.6
wordpress website agency,5,5,140,38.0,20.08,https://www.designrush.com/agency/wordpress-web-design/us,4.0,0.0,80.0,0.18,126000000.0,"[28,5,23,10,35,28,35,28,53,66,100,66]",2025-09-08,"Image pack, Sitelinks, Video Carousel, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,cms_platform,2811.2
wordpress web agency,7,7,140,50.0,20.08,https://www.designrush.com/agency/wordpress-web-design/california,3.0,0.0,60.0,0.18,30500000.0,"[9,12,65,6,6,6,65,65,81,65,65,100]",2025-09-01,"Image pack, Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,cms_platform,2811.2
wordpress developer new york,6,6,70,5.0,23.09,https://www.designrush.com/agency/wordpress-web-design/new-york,2.0,0.0,46.0,0.01,4390000.0,"[3,3,3,3,3,3,8,3,6,6,6,100]",2025-08-30,"Jobs search, Related searches",commercial,Organic,0,false,true,04-10,agency,cms_platform,1616.3
wordpress development services usa,4,4,110,31.0,8.8,https://www.designrush.com/agency/wordpress-web-design/us,7.0,0.0,61.0,0.05,15000000.0,"[9,9,100,9,52,52,9,80,100,80,100,52]",2025-08-14,"Sitelinks, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,cms_platform,968.0000000000001
wordpress website design dubai,4,4,110,13.0,0.0,https://www.designrush.com/agency/wordpress-web-design/ae/dubai,3.0,0.0,0.0,0.1,4450000.0,"[64,64,78,78,64,78,64,50,100,78,78,78]",2025-09-07,"Local pack, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,cms_platform,0.0
montreal web design agency downtown,6,6,110,22.0,0.0,https://www.designrush.com/agency/wordpress-web-design/ca/montreal,2.0,0.0,0.0,0.0,98.0,"[28,78,100,100,100,100,78,78,64,50,50]",2025-08-21,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,agency,cms_platform,0.0
webdesign wordpress agentur,5,5,70,46.0,0.0,https://www.designrush.com/agency/wordpress-web-design,2.0,0.0,0.0,0.0,522000.0,"[81,63,63,36,63,45,63,63,81,100,81,81]",2025-08-18,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,cms_platform,0.0
