Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
stroz friedberg,5,5,590,26.0,6.79,https://www.designrush.com/agency/cybersecurity/digital-forensics,3.0,0.0,20.0,0.01,80.0,"[36,36,36,45,30,30,55,45,45,36,36,76]",2025-09-07,"Local pack, Image pack, Video, People also ask, Related searches, See results about",commercial,People also ask,0,false,true,04-10,other,cybersecurity,4006.1
cyber security chicago,10,10,320,22.0,9.68,https://www.designrush.com/agency/cybersecurity/illinois/chicago,6.0,0.0,58.0,0.06,34100000.0,"[54,44,36,29,44,44,29,36,19,36,81,100]",2025-09-02,"Related searches, AI overview",commercial,Organic,0,false,true,04-10,geo,cybersecurity,3097.6
cyber security companies in denver,4,4,210,20.0,11.94,https://www.designrush.com/agency/cybersecurity/colorado/denver,6.0,0.0,71.0,0.24,960000.0,"[34,53,100,100,100,65,53,28,65,65,53,43]",2025-08-26,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,2507.4
it security companies chicago,6,6,260,25.0,8.59,https://www.designrush.com/agency/cybersecurity/illinois/chicago,2.0,0.0,17.0,0.06,207000000.0,"[17,17,11,11,9,17,14,17,4,14,59,100]",2025-08-17,"Local pack, People also ask, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,2233.4
digital forensics companies,10,2,320,24.0,6.95,https://www.designrush.com/agency/cybersecurity/digital-forensics,2.0,0.0,13.0,0.1,27700000.0,"[13,16,13,16,20,20,24,20,36,45,55,24]",2025-09-12,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic,-8,false,true,04-10,other,cybersecurity,2224.0
cyber security companies chicago,7,7,210,23.0,8.59,https://www.designrush.com/agency/cybersecurity/illinois/chicago,4.0,0.0,34.0,0.06,10500000.0,"[28,28,23,18,28,23,6,18,15,54,54,100]",2025-09-03,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,1803.8999999999999
cyber security companies nyc,5,5,210,13.0,8.58,https://www.designrush.com/agency/cybersecurity/new-york,6.0,0.0,51.0,0.14,46500000.0,"[43,43,12,43,53,66,82,53,35,82,100,82]",2025-09-07,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,1801.8
cyber security companies in new york,6,6,210,32.0,8.58,https://www.designrush.com/agency/cybersecurity/new-york,5.0,0.0,42.0,0.14,286000000.0,"[18,15,15,15,11,23,18,44,18,100,81,54]",2025-08-31,"Local pack, Image pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,1801.8
cyber security dallas texas,7,7,140,24.0,10.8,https://www.designrush.com/agency/cybersecurity/texas/dallas,3.0,0.0,32.0,0.03,6720000.0,"[53,80,42,65,34,65,53,53,19,80,19,100]",2025-09-08,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,1512.0
it security companies new york,6,6,170,26.0,8.58,https://www.designrush.com/agency/cybersecurity/new-york,4.0,0.0,34.0,0.14,872000000.0,"[43,43,34,34,28,43,53,53,12,34,100,100]",2025-09-05,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,1458.6
cyber security companies denver,6,6,110,36.0,11.94,https://www.designrush.com/agency/cybersecurity/colorado/denver,2.0,0.0,23.0,0.24,1030000.0,"[42,80,66,66,100,52,80,33,52,42,42,33]",2025-09-01,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,1313.3999999999999
it security companies atlanta,6,6,110,15.0,9.39,https://www.designrush.com/agency/cybersecurity/georgia/atlanta,2.0,0.0,18.0,0.12,55700000.0,"[21,21,28,21,21,28,21,21,9,28,65,100]",2025-09-05,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,1032.9
cyber security companies in atlanta,8,8,110,14.0,9.39,https://www.designrush.com/agency/cybersecurity/georgia/atlanta,2.0,0.0,18.0,0.12,3690000.0,"[11,26,42,19,53,26,34,42,34,65,100,26]",2025-08-29,"Local pack, Image pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,1032.9
nyc cybersecurity companies,5,5,70,14.0,12.87,https://www.designrush.com/agency/cybersecurity/new-york,2.0,0.0,25.0,0.04,84900000.0,"[23,9,23,33,23,9,33,33,33,52,80,100]",2025-08-27,"Local pack, Image pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,900.9
cybersecurity companies in colorado,4,4,90,14.0,7.58,https://www.designrush.com/agency/cybersecurity/colorado,2.0,0.0,15.0,0.09,4300000.0,"[100,100,81,100,81,81,63,63,81,100,100,81]",2025-09-11,"Local pack, Image pack, People also ask, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,682.2
seattle cyber security companies,4,4,70,16.0,8.01,https://www.designrush.com/agency/cybersecurity/washington/seattle,2.0,0.0,16.0,0.05,5790000.0,"[11,11,11,11,11,64,64,11,11,64,64,100]",2025-09-05,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,560.6999999999999
denver cybersecurity companies,4,4,70,19.0,7.66,https://www.designrush.com/agency/cybersecurity/colorado/denver,2.0,0.0,15.0,0.04,4220000.0,"[36,27,63,45,27,18,36,45,100,100,81,81]",2025-08-14,"Local pack, Image pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,536.2
cyber security companies in colorado,4,4,70,10.0,7.58,https://www.designrush.com/agency/cybersecurity/colorado,2.0,0.0,15.0,0.09,4660000.0,"[63,45,18,81,45,45,63,63,81,81,100,100]",2025-08-28,"Local pack, Image pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,530.6
cyber security companies in india,4,4,70,22.0,7.02,https://www.designrush.com/agency/cybersecurity/in,3.0,0.0,21.0,0.31,253000000.0,"[33,42,23,9,66,80,42,23,23,9,14,42]",2025-08-15,"Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,cybersecurity,491.4
nashville top cybersecurity providers,6,6,210,16.0,0.0,https://www.designrush.com/agency/cybersecurity/tennessee/nashville,7.0,0.0,0.0,0.0,310000.0,"[65,53,100]",2025-09-07,"Local pack, Image pack",commercial,Organic,0,false,true,04-10,geo,cybersecurity,0.0
cyber security services australia,4,4,140,24.0,0.0,https://www.designrush.com/agency/cybersecurity/au,6.0,0.0,0.0,0.0,143000000.0,"[15,19,26,34,53,42,53,65,80,80,80,100]",2025-08-19,"Local pack, Sitelinks, People also ask, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,cybersecurity,0.0
new york city cybersecurity companies,4,4,50,18.0,0.0,https://www.designrush.com/agency/cybersecurity/new-york,2.0,0.0,0.0,0.0,51100000.0,"[11,33,11,55,100,100]",2025-08-19,"Image pack, Related searches, AI overview",informational,Organic,0,false,true,04-10,geo,cybersecurity,0.0
cybersecurity companies new york,4,4,40,19.0,0.0,https://www.designrush.com/agency/cybersecurity/new-york,2.0,0.0,0.0,0.0,64700000.0,"[0,0,0,0,0,0,100,0,0,2,2,2]",2025-09-02,"Image pack, People also ask, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity,0.0
