Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
digital marketing company,7,13,22200,85.0,7.07,https://www.designrush.com/agency/digital-marketing,6.0,0.0,42.0,0.21,1830000000.0,"[44,67,67,54,54,54,67,67,81,81,100,100]",2025-09-11,"Local pack, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",commercial,Organic,6,false,true,04-10,other,digital_marketing,156954.0
online marketing agency,9,7,9900,96.0,12.98,https://www.designrush.com/agency/digital-marketing,128.0,0.14,1661.0,0.1,889000000.0,"[29,29,36,44,44,36,54,66,100,81,100,81]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,-2,false,true,04-10,other,digital_marketing,128502.0
digital marketing agencies,5,5,8100,60.0,8.13,https://www.designrush.com/agency/digital-marketing/trends/what-does-a-digital-marketing-agency-do,89.0,0.1,723.0,0.15,283000000.0,"[100,100,66,66,81,81,81,44,66,54,66,66]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,0,false,true,04-10,trends,digital_marketing,65853.0
online marketing company,4,4,3600,78.0,15.12,https://www.designrush.com/agency/digital-marketing,46.0,0.05,695.0,0.16,3030000000.0,"[36,24,43,36,43,54,66,43,54,81,100,81]",2025-09-05,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,digital_marketing,54432.0
digital marketing companies,4,4,5400,60.0,7.07,https://www.designrush.com/agency/digital-marketing,8.0,0.0,56.0,0.21,1080000000.0,"[24,24,24,29,29,29,36,36,44,44,54,44]",2025-09-11,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,false,true,04-10,other,digital_marketing,38178.0
marketing companies near me,10,10,3600,66.0,10.09,https://www.designrush.com/agency/digital-marketing/pennsylvania,32.0,0.03,322.0,0.24,1650000000.0,"[53,100,81,44,35,44,53,66,100,100,53,66]",2025-09-08,"Local pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,0,false,true,04-10,geo,digital_marketing,36324.0
internet marketing companies,4,4,1300,62.0,20.37,https://www.designrush.com/agency/digital-marketing,24.0,0.02,488.0,0.08,1100000000.0,"[20,22,20,22,5,5,29,43,54,54,36,16]",2025-09-09,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,false,true,04-10,other,digital_marketing,26481.0
digital marketing firms,10,10,3600,58.0,7.07,https://www.designrush.com/agency/digital-marketing/us,10.0,0.01,70.0,0.21,192000000.0,"[19,66,23,29,29,66,35,81,44,54,54,66]",2025-09-06,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,other,digital_marketing,25452.0
top digital marketing agencies,9,9,2900,36.0,8.77,https://www.designrush.com/agency/digital-marketing,20.0,0.02,175.0,0.17,172000000.0,"[66,53,44,35,44,66,29,44,100,81,53,53]",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",Organic,0,false,true,04-10,other,digital_marketing,25433.0
digital marketing marketing agency,10,10,2900,77.0,8.13,https://www.designrush.com/agency/digital-marketing,55.0,0.06,447.0,0.15,600000000.0,"[0,0,0,0,0,0,0,0,100,81]",2025-09-08,"Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,digital_marketing,23577.000000000004
