Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
hr outsourcing,6,6,5400,49.0,29.1,https://www.designrush.com/agency/hr-outsourcing,8.0,0.0,232.0,0.14,63800000.0,"[66,81,81,100,81,100,100,100,81,66,100,81]",2025-09-11,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Things to know, Ads middle, AI overview",commercial,Things to know,0,false,true,04-10,other,hr_outsourcing,157140.0
hr outsourcing companies for small business,5,5,320,37.0,67.96,https://www.designrush.com/agency/hr-outsourcing/trends/hr-outsourcing-costs,3.0,0.0,203.0,0.07,5520000.0,"[35,54,66,43,43,100,66,66,81,54,81,81]",2025-09-08,"Sitelinks, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask,0,false,true,04-10,trends,hr_outsourcing,21747.199999999997
training companies,7,7,480,48.0,10.9,https://www.designrush.com/agency/hr-outsourcing/it-training-companies,2.0,0.0,21.0,0.13,1510000000.0,"[44,36,44,36,66,100,81,66,66,66,100,54]",2025-09-03,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,hr_outsourcing,5232.0
creative staffing agencies,9,9,1600,69.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,14.0,0.01,28.0,0.38,22500000.0,"[81,100,36,22,16,20,22,16,29,5,16,13]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,hr_outsourcing,3232.0
hr outsourcing companies in india,4,4,70,31.0,42.33,https://www.designrush.com/agency/hr-outsourcing/in,2.0,0.0,84.0,0.15,22200000.0,"[36,81,63,45,45,18,63,45,81,100,100,100]",2025-08-14,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,other,hr_outsourcing,2963.1
creative recruitment companies,7,7,1000,68.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,30.0,0.03,60.0,0.38,140000000.0,"[44,100,16,24,8,20,5,44,44,44,30,16]",2025-09-09,"Image pack, Sitelinks, Video, Related searches, Discussions and forums",,Organic,0,false,true,04-10,other,hr_outsourcing,2020.0
cost of outsourcing human resources,8,8,110,10.0,15.18,https://www.designrush.com/agency/hr-outsourcing/trends/hr-outsourcing-costs,2.0,0.0,30.0,0.08,16000000.0,"[9,19,33,33,80,80,42,80,100,33,66,33]",2025-09-05,"Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,hr_outsourcing,1669.8
how much does hr outsourcing cost,7,7,90,12.0,16.87,https://www.designrush.com/agency/hr-outsourcing/trends/hr-outsourcing-costs,2.0,0.0,33.0,0.24,9500000.0,"[14,19,23,19,42,23,23,23,52,66,100,80]",2025-08-30,"Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,hr_outsourcing,1518.3000000000002
creative placement agencies,7,7,720,70.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,15.0,0.01,30.0,0.38,50500000.0,"[44,100,16,5,4,11,5,8,3,55,8,7]",2025-09-09,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,other,hr_outsourcing,1454.4
creative recruitment agencies,9,9,590,68.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,2.0,0.0,4.0,0.38,44200000.0,"[36,100,30,16,16,20,16,8,13,24,13,8]",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,other,hr_outsourcing,1191.8
staffing firm new york,5,5,390,36.0,1.71,https://www.designrush.com/agency/hr-outsourcing/staffing,2.0,0.0,3.0,0.46,10200000.0,"[2,100,24,16,2,10,4,1,5,7,8,16]",2025-09-09,"Local pack, Sitelinks, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,0,false,true,04-10,other,hr_outsourcing,666.9
creative recruiting agencies,9,9,260,32.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,3.0,0.0,6.0,0.38,35900000.0,"[45,10,13,20,8,10,13,45,13,16,13,10]",2025-09-08,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,hr_outsourcing,525.2
