Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
it support companies,8,8,2900,47.0,26.0,https://www.designrush.com/agency/it-services,14.0,0.01,364.0,0.03,1740000000.0,"[13,10,13,24,24,24,24,19,24,29,100,36]",2025-09-10,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,it_services,75400.0
it services company,4,4,2400,96.0,16.36,https://www.designrush.com/agency/it-services,72.0,0.08,1177.0,0.09,6070000000.0,"[52,36,44,52,52,52,52,52,80,80,100,100]",2025-09-07,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,it_services,39264.0
it outsourcing firms,5,5,320,12.0,38.2,https://www.designrush.com/agency/it-services/outsourcing,7.0,0.0,267.0,0.02,38200000.0,"[13,6,10,13,24,20,20,24,10,55,76,16]",2025-09-09,"Ads bottom, People also ask, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,agency,it_services,12224.0
it service companies,8,8,480,28.0,16.36,https://www.designrush.com/agency/it-services/us,2.0,0.0,32.0,0.09,1700000000.0,"[30,20,20,45,30,10,36,67,100,55,36,30]",2025-09-03,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,it_services,7852.799999999999
chicago it outsourcing,8,8,170,13.0,43.7,https://www.designrush.com/agency/it-services/outsourcing/illinois/chicago,4.0,0.0,174.0,0.01,5590000.0,"[17,17,17,17,43,43,100,53,28,53,53,66]",2025-09-08,"Local pack, Image pack, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,it_services,7429.000000000001
outsourced it companies,5,5,260,39.0,25.24,https://www.designrush.com/agency/it-services/outsourcing,5.0,0.0,126.0,0.05,15700000.0,"[15,19,100,23,10,12,15,29,44,29,23,23]",2025-08-29,"Local pack, Sitelinks, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,it_services,6562.4
it outsourcing firm,5,2,170,27.0,38.2,https://www.designrush.com/agency/it-services/outsourcing,3.0,0.0,114.0,0.02,31100000.0,"[1,6,0,1,11,18,28,44,35,66,100,44]",2025-09-11,"Local pack, Ads bottom, People also ask, Related searches, Ads middle, AI overview",informational,Organic,-3,false,true,04-10,agency,it_services,6494.000000000001
business it,5,5,720,30.0,8.92,https://www.designrush.com/agency/it-services/trends/it-services-for-business,25.0,0.02,223.0,0.14,8340000000.0,"[39,39,72,48,72,88,88,72,100,100,88,48]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, FAQ, Related searches, Discussions and forums, AI overview",informational,Organic,0,false,true,04-10,agency,it_services,6422.4
it outsource,7,7,320,64.0,19.96,https://www.designrush.com/agency/it-services/outsourcing,2.0,0.0,39.0,0.08,14700000.0,"[1,5,10,24,24,8,36,16,45,30,36,36]",2025-09-03,"Local pack, Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,it_services,6387.200000000001
system integrator companies,7,7,480,21.0,12.12,https://www.designrush.com/agency/it-services/system-integrators,3.0,0.0,36.0,0.32,17700000.0,"[36,36,36,36,36,30,36,30,36,36,45,36]",2025-09-09,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic,0,false,true,04-10,agency,it_services,5817.599999999999
sharepoint consulting company,4,4,110,17.0,48.83,https://www.designrush.com/agency/it-services/microsoft-sharepoint,7.0,0.0,341.0,0.04,4500000.0,"[23,0,9,9,33,33,52,19,80,100,100,100]",2025-09-03,"Local pack, Sitelinks, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,it_services,5371.3
it companies in seattle,7,7,720,29.0,7.38,https://www.designrush.com/agency/it-services/washington/seattle,15.0,0.01,110.0,0.03,201000000.0,"[81,30,30,36,45,45,36,45,55,55,55,36]",2025-09-07,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,it_services,5313.6
it companies in new york,5,5,880,26.0,5.57,https://www.designrush.com/agency/it-services/new-york/new-york-city,21.0,0.02,116.0,0.03,1090000000.0,"[30,36,24,30,36,41,16,30,24,30,100,54]",2025-09-07,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,it_services,4901.6
