Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
logo,6,0,135000,100.0,1.49,https://www.designrush.com/agency/logo-design/trends/what-is-logo-design,337.0,0.38,502.0,0.21,23550000000.0,"[44,44,54,67,44,30,44,36,44,54,81,36]",2025-09-11,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask,-6,false,true,04-10,agency,logo,201150.0
nyc logo design,6,6,260,39.0,4.0,https://www.designrush.com/agency/logo-design/new-york,7.0,0.0,28.0,0.14,550000000.0,"[53,66,66,43,82,66,82,66,66,82,82,53]",2025-09-04,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic,0,false,true,04-10,agency,logo,1040.0
los angeles logo designs,9,9,260,41.0,3.66,https://www.designrush.com/agency/logo-design/california/los-angeles,2.0,0.0,7.0,0.14,925000000.0,"[29,44,36,36,0,66,54,23,44,100,19,1]",2025-08-18,"Local pack, Image pack, Video, Image, Related searches, Discussions and forums",commercial,Organic,0,false,true,04-10,agency,logo,951.6
logo design los angeles ca,10,10,260,40.0,3.66,https://www.designrush.com/agency/logo-design/california/los-angeles,2.0,0.0,7.0,0.14,350000000.0,"[54,100,43,81,35,43,35,29,18,29,100,29]",2025-08-18,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo,951.6
logo design uk,9,9,110,31.0,4.72,https://www.designrush.com/agency/logo-design/uk,2.0,0.0,9.0,0.06,2040000000.0,"[7,65,34,34,100,53,26,26,42,34,53,65]",2025-08-18,"Image pack, Sitelinks, Image, Related searches",informational,Organic,0,false,true,04-10,agency,logo,519.1999999999999
logo design usa,8,8,110,70.0,2.8,https://www.designrush.com/agency/logo-design/us,2.0,0.0,5.0,0.14,2650000000.0,"[28,28,35,23,23,15,15,6,15,8,15,28]",2025-09-05,"Local pack, Image pack, Sitelinks, Image, Ads bottom, Related searches, Ads middle",informational,Organic,0,false,true,04-10,agency,logo,308.0
logo design florida,5,5,90,3.0,3.41,https://www.designrush.com/agency/logo-design/florida,2.0,0.0,6.0,0.07,511000000.0,"[50,64,64,50,7,78,64,35,64,50,78,64]",2025-08-25,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo,306.90000000000003
logo of digital marketing,9,9,110,29.0,1.57,https://www.designrush.com/agency/logo-design/trends/best-digital-marketing-agency-logo-designs,2.0,0.0,3.0,0.07,771000000.0,"[17,17,17,17,66,17,35,43,28,23,23,17]",2025-08-26,"Image pack, Video, Image, Related searches",informational,Organic,0,false,true,04-10,agency,logo,172.70000000000002
bad boy logo,6,6,1900,24.0,0.0,https://www.designrush.com/agency/logo-design/trends/negative-space-logo,20.0,0.02,0.0,0.0,1700000000.0,"[0,0,44,0,0,44,54,36,36,0,1,0]",2025-09-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask,0,false,true,04-10,agency,logo,0.0
logo design company india,5,5,110,42.0,0.0,https://www.designrush.com/agency/logo-design/in,2.0,0.0,0.0,0.08,1270000000.0,"[52,66,52,9,9,14,52,100,80,80,80,66]",2025-08-25,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo,0.0
logo animation studio,4,4,90,36.0,0.0,https://www.designrush.com/agency/logo-design/logo-animation,3.0,0.0,0.0,0.0,340000000.0,"[52,41,41,64,41,82,52,52,100,52,29,41]",2025-08-23,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic,0,false,true,04-10,agency,logo,0.0
logo design company dubai,4,4,90,33.0,0.0,https://www.designrush.com/agency/logo-design/ae/dubai,2.0,0.0,0.0,0.06,141000000.0,"[64,35,50,50,78,64,50,35,78,78,100,64]",2025-08-23,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo,0.0
logo design gainesville,4,4,70,10.0,0.0,https://www.designrush.com/agency/logo-design/florida/gainesville,2.0,0.0,0.0,0.48,10100000.0,"[14,14,28,28,35,28,21,64,64,78,100,78]",2025-08-26,"Local pack, Image pack, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo,0.0
logo design agency new york,5,5,70,75.0,0.0,https://www.designrush.com/agency/logo-design/new-york,1.0,0.0,0.0,0.25,227000000.0,"[14,14,14,14,14,14,78,100,78,100,64,28]",2025-08-28,"Local pack, Image pack, Sitelinks, Image, Ads top, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,logo,0.0
logo design services singapore,4,4,40,2.0,0.0,https://www.designrush.com/agency/logo-design/sg,2.0,0.0,0.0,0.0,409000000.0,"[20,60,80,80,80,60,80,40,100,100,100,100]",2025-08-28,"Local pack, Image pack, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo,0.0
