Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
app,4,4,301000,100.0,3.15,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-application-development-platform,105.0,0.12,330.0,0.03,20710000000.0,"[81,81,100,81,81,66,81,81,81,66,81,100]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, See results about, Things to know, AI overview",informational,Things to know,0,false,true,04-10,agency,mobile_app,948150.0
app,4,4,301000,100.0,3.15,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,105.0,0.12,330.0,0.03,20710000000.0,"[81,81,100,81,81,66,81,81,81,66,81,100]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, See results about, Things to know, AI overview",informational,Things to know,0,false,true,04-10,agency,mobile_app,948150.0
companies that develop apps,7,7,2400,57.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,57.0,0.06,1814.0,0.12,641000000.0,"[8,5,8,100,5,36,24,28,54,54,43,36]",2025-09-05,"Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app,76416.0
mobile app development companies,9,9,1900,55.0,37.5,https://www.designrush.com/agency/mobile-app-design-development/texas,24.0,0.02,900.0,0.07,872000000.0,"[66,54,66,100,66,54,54,54,100,79,79,79]",2025-09-08,"Local pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,mobile_app,71250.0
app dev company,10,10,1900,70.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,2.0,0.0,63.0,0.12,3100000000.0,"[8,7,5,3,3,3,3,81,100,100,4,7]",2025-09-10,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,mobile_app,60496.0
app developers,4,4,2900,76.0,20.61,https://www.designrush.com/agency/mobile-app-design-development/android,2.0,0.0,41.0,0.43,543000000.0,"[36,81,54,54,65,65,54,43,81,81,81,81]",2025-09-10,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,0,false,true,04-10,agency,mobile_app,59769.0
app making company,8,8,1600,78.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,30.0,0.03,955.0,0.12,3600000000.0,"[36,36,36,100,27,27,80,100,66,20,13,13]",2025-09-08,"Local pack, Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,mobile_app,50944.0
mobile app creation company,7,7,1000,62.0,37.5,https://www.designrush.com/agency/mobile-app-design-development,24.0,0.02,900.0,0.07,288000000.0,"[55,62,36,45,6,16,10,81,100,100,81,100]",2025-09-08,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app,37500.0
mobile app development vendors,9,9,1000,56.0,37.5,https://www.designrush.com/agency/mobile-app-design-development,22.0,0.02,825.0,0.07,208000000.0,"[55,62,36,45,20,81,10,81,100,100,81,100]",2025-09-08,"Sitelinks, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app,37500.0
mobile company app development,8,8,880,62.0,37.5,https://www.designrush.com/agency/mobile-app-design-development,21.0,0.02,787.0,0.07,865000000.0,"[45,36,36,62,30,62,36,55,100,100,55,24]",2025-09-02,"Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app,33000.0
mobile application development companies,10,10,1000,55.0,31.84,https://www.designrush.com/agency/mobile-app-design-development/texas,9.0,0.01,286.0,0.12,1710000000.0,"[24,16,79,66,100,16,24,54,66,13,30,20]",2025-09-04,"Local pack, Sitelinks, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,mobile_app,31840.0
top app development companies,8,8,880,50.0,30.1,https://www.designrush.com/agency/mobile-app-design-development,21.0,0.02,632.0,0.15,1590000000.0,"[24,24,30,36,66,54,66,36,24,36,30,30]",2025-08-28,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,mobile_app,26488.0
company for app development,8,8,720,71.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,13.0,0.01,413.0,0.12,2040000000.0,"[82,30,100,3,34,20,8,1,3,1,1,0]",2025-08-29,"Local pack, Sitelinks, Video Carousel, Related searches",commercial,Organic,0,false,true,04-10,agency,mobile_app,22924.8
top app developers,8,8,720,61.0,28.06,https://www.designrush.com/agency/mobile-app-design-development,17.0,0.01,477.0,0.19,534000000.0,"[13,13,27,10,13,27,20,13,20,24,20,16]",2025-08-31,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,mobile_app,20203.2
top mobile app development companies,4,4,720,47.0,27.56,https://www.designrush.com/agency/mobile-app-design-development,31.0,0.03,854.0,0.09,458000000.0,"[8,7,10,10,13,13,13,8,18,13,16,13]",2025-08-29,"Sitelinks, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,agency,mobile_app,19843.2
good app developers,7,7,590,58.0,28.06,https://www.designrush.com/agency/mobile-app-design-development,2.0,0.0,56.0,0.19,422000000.0,"[24,76,100,30,45,76,45,10,76,55,24,16]",2025-09-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app,16555.399999999998
best application developers,6,6,590,39.0,28.06,https://www.designrush.com/agency/mobile-app-design-development,12.0,0.01,336.0,0.19,1200000000.0,"[45,13,100,36,45,76,45,30,30,20,20,36]",2025-09-05,"Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,agency,mobile_app,16555.399999999998
best mobile app developers,4,4,590,62.0,28.06,https://www.designrush.com/agency/mobile-app-design-development,25.0,0.02,701.0,0.19,347000000.0,"[39,72,88,39,32,100,59,59,72,88,72,48]",2025-09-02,"Sitelinks, Video, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,agency,mobile_app,16555.399999999998
mobile app development firms,10,10,390,72.0,37.5,https://www.designrush.com/agency/mobile-app-design-development,2.0,0.0,75.0,0.07,659000000.0,"[1,13,0,1,1,2,1,7,100,4,3,7]",2025-09-04,"Local pack, Sitelinks, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app,14625.0
best app developer companies,4,4,480,62.0,28.06,https://www.designrush.com/agency/mobile-app-design-development,21.0,0.02,589.0,0.19,202000000.0,"[48,26,48,26,39,72,39,59,100,72,59,39]",2025-09-02,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,agency,mobile_app,13468.8
top application developers,6,6,480,47.0,28.06,https://www.designrush.com/agency/mobile-app-design-development,10.0,0.01,280.0,0.19,1170000000.0,"[36,54,67,23,23,100,19,29,67,67,100,54]",2025-09-07,"Sitelinks, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,mobile_app,13468.8
mobile applications development companies,10,10,390,63.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,2.0,0.0,63.0,0.12,621000000.0,"[54,100,3,4,0,0,0,24,1,1,5,1]",2025-09-04,"Local pack, Sitelinks, Featured snippet, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app,12417.6
