Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
branding agency,8,0,12100,62.0,5.92,https://www.designrush.com/agency/logo-branding/trends/how-to-start-a-branding-company,78.0,0.09,461.0,0.14,1170000000.0,"[36,36,44,44,44,44,54,66,81,66,81,66]",2025-09-11,"Local pack, Image pack, Sitelinks, Related searches, Things to know",commercial,Things to know,-8,false,true,04-10,agency,other,71632.0
dymic,8,8,2400,49.0,28.81,https://www.designrush.com/agency/profile/dymic-digital,14.0,0.01,403.0,0.03,59300.0,"[0,100,0,0,0,1,0,1,0,1,0,0]",2025-09-07,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic,0,false,true,04-10,agency,other,69144.0
it provider,10,10,1900,42.0,19.71,https://www.designrush.com/agency/managed-service-providers,36.0,0.04,709.0,0.11,708000000.0,"[16,20,10,13,4,2,36,54,81,100,100,100]",2025-09-07,"Knowledge panel, Image pack, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,other,37449.0
user interface design chicago,4,4,9900,11.0,3.74,https://www.designrush.com/agency/ui-ux-design/illinois/chicago,643.0,0.74,2404.0,0.05,24200000.0,"[3,0,0,3,0,2,0,100,20,24,20,16]",2025-09-11,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,other,37026.0
contact center companies,7,7,1300,37.0,28.27,https://www.designrush.com/agency/call-centers/us,9.0,0.01,254.0,0.26,1710000000.0,"[43,65,54,54,54,0,29,1,2,3,0,1]",2025-09-04,"Local pack, Image pack, Video, People also ask, FAQ, Related searches",commercial,Organic,0,false,true,04-10,other,other,36751.0
ignite visibility,8,8,1900,47.0,16.18,https://www.designrush.com/agency/profile/ignite-visibility,4.0,0.0,64.0,0.26,8200000.0,"[44,44,55,100,65,65,82,65,65,65,65,65]",2025-09-07,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic,0,false,true,04-10,agency,other,30742.0
lcg 360,7,7,2900,18.0,8.21,https://www.designrush.com/agency/profile/lcg-3600consulting,87.0,0.1,714.0,0.0,70.0,"[100,80,66,100,66,66,80,80,66,66,80,100]",2025-09-07,"Image pack, Related searches",commercial,Organic,0,false,true,04-10,agency,other,23809.000000000004
klientboost,8,8,1000,60.0,22.91,https://www.designrush.com/agency/profile/klientboost,2.0,0.0,45.0,0.54,70.0,"[37,68,52,52,37,46,52,52,68,68,52,52]",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about",navigational,Organic,0,false,true,04-10,agency,other,22910.0
thrive marketing,8,8,720,56.0,31.22,https://www.designrush.com/agency/profile/thrive-internet-marketing-agency,4.0,0.0,124.0,0.23,246000000.0,"[55,55,36,76,36,30,67,55,100,55,67,45]",2025-08-30,"Image pack, Sitelinks, Video, Ads top, Related searches","commercial, navigational",Organic,0,false,true,04-10,agency,other,22478.399999999998
linkgraph,7,7,1900,50.0,11.29,https://www.designrush.com/agency/profile/linkgraph,11.0,0.01,124.0,0.04,72.0,"[44,44,81,66,81,44,35,35,7,13,7,8]",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic,0,false,true,04-10,agency,other,21451.0
brand activation,9,9,1900,33.0,11.24,https://www.designrush.com/agency/logo-branding/trends/brand-activation,41.0,0.04,460.0,0.19,122000000.0,"[44,44,55,65,65,65,65,55,100,82,100,100]",2025-09-06,"Knowledge panel, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,other,21356.0
digital marketing strategy framework,4,4,480,31.0,41.74,https://www.designrush.com/agency/digital-strategy-agencies/trends/digital-marketing-strategy-framework,11.0,0.01,459.0,0.01,163000000.0,"[5,21,7,39,32,39,59,48,72,88,100,72]",2025-09-03,"Sitelinks, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic,0,false,true,04-10,trends,other,20035.2
unique print ny,10,10,1300,44.0,15.39,https://www.designrush.com/agency/profile/unique-print-ny,7.0,0.0,107.0,0.21,256000000.0,"[25,52,68,84,37,68,68,37,84,84,84,46]",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",navigational,Organic,0,false,true,04-10,agency,other,20007.0
survey companies,5,5,1900,57.0,10.11,https://www.designrush.com/agency/call-centers/surveys-companies,5.0,0.0,50.0,0.27,573000000.0,"[29,44,35,44,66,53,35,18,29,44,24,35]",2025-09-10,"Local pack, Image pack, Video, People also ask, Related searches",commercial,Organic,0,false,true,04-10,other,other,19209.0
brand affinity,7,7,880,34.0,21.14,https://www.designrush.com/agency/logo-branding/trends/brand-affinity,21.0,0.02,443.0,0.01,62900000.0,"[67,55,55,67,55,67,55,67,67,76,55,67]",2025-08-30,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,other,18603.2
telemarketing companies,10,10,720,32.0,25.75,https://www.designrush.com/agency/call-centers/telemarketing,6.0,0.0,154.0,0.4,11000000.0,"[59,59,48,59,72,59,59,59,72,88,88,88]",2025-09-06,"Local pack, Sitelinks, Video, FAQ, Related searches",commercial,Organic,0,false,true,04-10,other,other,18540.0
ditto transcripts,6,6,4400,34.0,4.12,https://www.designrush.com/agency/profile/ditto-transcripts,26.0,0.03,107.0,0.12,46.0,"[44,54,36,16,8,7,10,4,3,4,2,2]",2025-09-06,"Knowledge panel, Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",navigational,Organic,0,false,true,04-10,agency,other,18128.0
digital agencies,5,5,2400,45.0,7.13,https://www.designrush.com/agency/digital-agencies,84.0,0.09,598.0,0.14,512000000.0,"[36,36,44,52,52,52,52,52,80,80,100,80]",2025-09-11,"Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,other,17112.0
call center outsourcing companies,5,5,480,32.0,35.57,https://www.designrush.com/agency/call-centers/us,11.0,0.01,391.0,0.13,35800000.0,"[44,44,36,54,54,54,67,54,54,81,54,81]",2025-09-02,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle","commercial, informational",Organic,0,false,true,04-10,other,other,17073.6
searchbloom,6,6,260,63.0,61.8,https://www.designrush.com/agency/profile/searchbloom,2.0,0.0,123.0,0.37,42.0,"[43,53,53,82,53,43,82,53,43,82,100,100]",2025-09-05,"Knowledge panel, Image pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",navigational,Organic,0,false,true,04-10,agency,other,16068.0
intero digital,4,4,1000,50.0,15.59,https://www.designrush.com/agency/profile/intero-digital,2.0,0.0,31.0,0.4,83.0,"[55,62,55,62,62,55,100,62,81,62,81,62]",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Twitter carousel, Related searches",navigational,Organic,0,false,true,04-10,agency,other,15590.0
top staff augmentation companies,5,5,90,7.0,172.92,https://www.designrush.com/agency/staff-augmentation,3.0,0.0,518.0,0.13,4450000.0,"[9,19,23,19,14,42,52,80,66,80,66,66]",2025-09-09,"Sitelinks, Video, Ads top, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,other,other,15562.8
igniyte,8,8,590,33.0,24.03,https://www.designrush.com/agency/profile/igniyte,3.0,0.0,72.0,0.51,17.0,"[8,7,8,8,7,16,66,36,7,5,7,8]",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Ads top, Related searches",navigational,Organic,0,false,true,04-10,agency,other,14177.7
devops consulting companies,9,9,390,26.0,35.71,https://www.designrush.com/agency/devops-consulting/new-york,3.0,0.0,107.0,0.04,34200000.0,"[17,26,21,39,21,9,39,72,100,59,59,48]",2025-08-22,"Knowledge panel, Image pack, Sitelinks, People also ask, Related searches",informational,Organic,0,false,true,04-10,geo,other,13926.9
branding companies,10,10,1600,45.0,7.88,https://www.designrush.com/agency/logo-branding/small-business,2.0,0.0,15.0,0.24,1740000000.0,"[34,34,44,44,44,44,55,55,82,82,82,82]",2025-09-10,"Knowledge panel, Local pack, Video, Ads bottom, People also ask, Related searches, Things to know, Ads middle",commercial,Organic,0,false,true,04-10,agency,other,12608.0
business solution,7,7,1000,38.0,11.58,https://www.designrush.com/agency/business-consulting/trends/business-solutions-companies,24.0,0.02,277.0,0.37,1450000000.0,"[44,30,34,44,13,24,30,34,44,30,34,34]",2025-09-07,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,other,11580.0
five star call centers,7,7,2400,36.0,4.67,https://www.designrush.com/agency/profile/fivestar-call-centers,12.0,0.01,56.0,0.11,175000000.0,"[10,54,29,23,35,23,100,29,12,23,19,0]",2025-09-09,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic,0,false,true,04-10,agency,other,11208.0
branding agencies,5,5,1600,64.0,5.92,https://www.designrush.com/agency/logo-branding/trends/how-to-start-a-branding-company,19.0,0.02,112.0,0.14,449000000.0,"[34,24,44,55,55,82,44,44,65,65,55,65]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Related searches, Things to know",commercial,Things to know,0,false,true,04-10,agency,other,9472.0
blue corona,5,5,720,36.0,12.94,https://www.designrush.com/agency/profile/blue-corona,4.0,0.0,51.0,0.34,370000000.0,"[3,2,3,3,1,1,2,1,1,2,2,1]",2025-08-28,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic,0,false,true,04-10,agency,other,9316.8
best managed service providers,7,7,260,34.0,35.4,https://www.designrush.com/agency/managed-service-providers,3.0,0.0,106.0,0.16,297000000.0,"[35,35,43,66,53,23,66,82,100,43,100,100]",2025-08-26,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,other,other,9204.0
usability testing services,10,10,480,42.0,17.01,https://www.designrush.com/agency/ui-ux-design/trends/usability-testing-services,2.0,0.0,34.0,0.04,29500000.0,"[23,23,19,23,44,36,54,67,67,67,100,81]",2025-09-04,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,other,8164.800000000001
specialty answering service,6,6,590,45.0,13.71,https://www.designrush.com/agency/profile/specialty-answering-service,3.0,0.0,41.0,0.12,19000000.0,"[100,72,59,39,48,48,72,32,32,72,72,59]",2025-08-28,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic,0,false,true,04-10,agency,other,8088.900000000001
infotree global solutions,9,9,1300,32.0,6.2,https://www.designrush.com/agency/profile/infotree-global-solutions,2.0,0.0,12.0,0.03,36.0,"[54,41,54,66,41,54,100,66,66,66,54,54]",2025-09-07,"Image pack, Sitelinks, People also ask, Related searches, See results about",navigational,Organic,0,false,true,04-10,agency,other,8060.0
creative marketing,6,6,1900,33.0,4.15,https://www.designrush.com/agency/creative-agencies/trends/what-is-creative-marketing,57.0,0.06,236.0,0.22,430000000.0,"[55,44,44,65,65,65,82,65,100,82,82,100]",2025-09-06,"Image pack, Sitelinks, Video, Related searches",informational,Organic,0,false,true,04-10,trends,other,7885.000000000001
wonderist agency,5,5,720,24.0,10.92,https://www.designrush.com/agency/profile/wonderist-agency,7.0,0.0,76.0,0.11,48.0,"[72,72,59,100,88,88,100,72,88,72,72,88]",2025-09-04,"Knowledge panel, Image pack, Video, Ads bottom, Related searches, Ads middle",navigational,Organic,0,false,true,04-10,agency,other,7862.4
reputation management pricing,8,8,390,24.0,19.62,https://www.designrush.com/agency/reputation-management-companies/trends/reputation-management-cost,9.0,0.01,176.0,0.03,51300000.0,"[66,19,23,29,44,54,54,36,36,100,81,54]",2025-09-05,"Sitelinks, Video Carousel, Related searches, AI overview",transactional,Organic,0,false,true,04-10,trends,other,7651.8
higher visibility,7,7,1600,45.0,4.58,https://www.designrush.com/agency/profile/highervisibility,12.0,0.01,54.0,0.87,231000000.0,"[10,65,4,13,16,100,13,100,54,43,8,8]",2025-09-06,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic,0,false,true,04-10,agency,other,7328.0
free graphic design software,6,6,4400,50.0,1.66,https://www.designrush.com/agency/package-design/trends/ai-in-packaging-design,6.0,0.0,9.0,0.49,881000000.0,"[54,54,54,54,54,44,81,44,54,54,54,44]",2025-09-09,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,0,false,true,04-10,trends,other,7304.0
