Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
event management agency,6,6,590,44.0,12.43,https://www.designrush.com/agency/public-relations/event-management/trends/types-of-event-management,2.0,0.0,24.0,0.08,720000000.0,"[13,30,45,45,8,45,45,45,67,76,67,100]",2025-09-02,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,People also ask,0,false,true,04-10,agency,pr,7333.7
event companies near me,4,4,2400,25.0,2.15,https://www.designrush.com/agency/public-relations/event-management/trends/types-of-event-management,22.0,0.02,47.0,0.35,1710000000.0,"[54,5,100,66,4,4,5,19,13,4,13,5]",2025-09-10,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",transactional,People also ask,0,false,true,04-10,agency,pr,5160.0
top pr agencies,8,8,880,38.0,5.86,https://www.designrush.com/agency/public-relations/us,21.0,0.02,123.0,0.22,110000000.0,"[76,100,67,55,36,30,76,55,45,100,67,67]",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Related searches",,Organic,0,false,true,04-10,agency,pr,5156.8
legal pr firms,8,8,210,7.0,12.31,https://www.designrush.com/agency/public-relations/legal,2.0,0.0,24.0,0.07,178000000.0,"[43,43,35,43,43,53,53,66,82,100,53,43]",2025-09-08,"Local pack, Image pack, People also ask, Related searches",informational,Organic,0,false,true,04-10,agency,pr,2585.1
crisis management firm,8,8,480,24.0,5.22,https://www.designrush.com/agency/public-relations/crisis-communications,11.0,0.01,57.0,0.21,138000000.0,"[36,29,44,54,81,81,66,66,100,81,81,66]",2025-09-02,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr,2505.6
crisis management agency,9,9,480,18.0,5.22,https://www.designrush.com/agency/public-relations/crisis-communications,10.0,0.01,52.0,0.21,282000000.0,"[36,29,19,23,54,44,54,81,100,81,100,67]",2025-09-08,"Image pack, Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr,2505.6
crisis management companies,4,4,390,27.0,5.22,https://www.designrush.com/agency/public-relations/crisis-communications,17.0,0.01,88.0,0.21,283000000.0,"[5,5,8,10,10,16,13,20,20,16,24,24]",2025-08-15,"Local pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr,2035.8
dental pr,7,7,390,56.0,4.85,https://www.designrush.com/agency/public-relations/dental,7.0,0.0,33.0,0.09,140000000.0,"[100,0,0,0,0,0,0,0,82,0,0,0]",2025-08-26,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,pr,1891.4999999999998
crisis management pr firms,8,8,210,24.0,7.59,https://www.designrush.com/agency/public-relations/crisis-communications,5.0,0.0,37.0,0.22,70300000.0,"[4,4,5,5,5,4,11,11,20,20,16,20]",2025-09-06,"Local pack, Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr,1593.8999999999999
crisis public relations firm,10,10,210,15.0,7.38,https://www.designrush.com/agency/public-relations/crisis-communications,3.0,0.0,22.0,0.2,53300000.0,"[22,14,22,18,22,43,35,66,100,66,81,14]",2025-08-24,"Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr,1549.8
boutique pr agency,10,10,260,53.0,5.91,https://www.designrush.com/agency/public-relations/boutique/new-york,2.0,0.0,11.0,0.22,97700000.0,"[35,28,43,43,35,35,53,66,100,100,100,100]",2025-09-01,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,pr,1536.6000000000001
financial pr firms,4,4,140,11.0,10.3,https://www.designrush.com/agency/public-relations/financial-services,3.0,0.0,30.0,0.06,186000000.0,"[3,2,3,3,3,4,5,4,7,5,8,8]",2025-08-15,"Local pack, Image pack, Sitelinks, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,agency,pr,1442.0
top crisis pr firms,6,6,140,15.0,9.32,https://www.designrush.com/agency/public-relations/crisis-communications,4.0,0.0,37.0,0.18,76700000.0,"[15,19,19,26,34,65,65,65,100,80,100,53]",2025-08-27,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,pr,1304.8
