Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
seo agency near me,7,9,12100,60.0,19.76,https://www.designrush.com/agency/search-engine-optimization,266.0,0.3,5256.0,0.02,195000000.0,"[13,54,29,24,16,66,54,54,100,54,54,44]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,2,false,true,04-10,agency,seo,239096.00000000003
seo company near me,9,12,6600,54.0,23.74,https://www.designrush.com/agency/search-engine-optimization,85.0,0.09,2017.0,0.03,664000000.0,"[23,36,36,29,44,81,36,36,66,44,54,100]",2025-09-11,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",transactional,Organic,3,false,true,04-10,agency,seo,156684.0
seo companies for small business,10,10,2900,38.0,24.92,https://www.designrush.com/agency/search-engine-optimization/small-business,20.0,0.02,498.0,0.02,127000000.0,"[18,35,13,44,44,35,100,29,66,100,100,81]",2025-09-10,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,seo,72268.0
search engine positioning,9,10,5400,38.0,12.95,https://www.designrush.com/agency/search-engine-optimization/trends/search-engine-positioning,8.0,0.0,103.0,0.25,58000000.0,"[81,54,54,81,100,100,66,44,36,19,19,16]",2025-09-11,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,1,false,true,04-10,agency,seo,69930.0
top seo companies,8,8,2400,37.0,27.3,https://www.designrush.com/agency/search-engine-optimization,57.0,0.06,1556.0,0.14,59000.0,"[36,44,52,52,66,52,52,52,80,80,100,80]",2025-09-07,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,seo,65520.0
seo optimization companies,9,9,2900,47.0,22.56,https://www.designrush.com/agency/search-engine-optimization/massachusetts,2.0,0.0,45.0,0.08,38600000.0,"[12,12,3,24,24,6,5,100,10,10,12,3]",2025-09-10,"Local pack, Video Carousel, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,seo,65423.99999999999
seo companies near me,9,9,2400,64.0,23.74,https://www.designrush.com/agency/search-engine-optimization,31.0,0.03,735.0,0.03,226000000.0,"[36,24,43,28,43,54,28,28,36,36,43,54]",2025-09-06,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,0,false,true,04-10,agency,seo,56975.99999999999
search engine optimization companies in houston,10,10,1600,37.0,27.0,https://www.designrush.com/agency/search-engine-optimization/texas/houston,14.0,0.01,378.0,0.05,8850000.0,"[16,22,13,22,7,29,5,81,81,100,43,36]",2025-09-09,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,agency,seo,43200.0
enterprise seo services,10,10,1900,36.0,21.84,https://www.designrush.com/agency/search-engine-optimization/enterprise-seo,41.0,0.04,895.0,0.07,31600000.0,"[44,34,55,65,65,82,82,82,82,82,100,100]",2025-09-05,Related searches,commercial,Organic,0,false,true,04-10,agency,seo,41496.0
seo firms near me,7,7,1900,74.0,19.76,https://www.designrush.com/agency/search-engine-optimization,41.0,0.04,810.0,0.02,38100000.0,"[53,100,100,44,100,13,18,5,16,4,10,8]",2025-09-07,"Local pack, Sitelinks, Video, Related searches",transactional,Organic,0,false,true,04-10,agency,seo,37544.0
dental seo expert,4,4,1000,23.0,33.78,https://www.designrush.com/agency/search-engine-optimization/dental/trends/dental-seo-cost,11.0,0.01,371.0,0.05,5490000.0,"[31,37,46,46,68,46,52,84,100,68,68,37]",2025-09-09,"Local pack, Sitelinks, Ads top, Ads bottom, People also ask, Related searches, Ads middle","commercial, informational",People also ask,0,false,true,04-10,agency,seo,33780.0
seo providers,4,4,880,54.0,37.6,https://www.designrush.com/agency/search-engine-optimization,21.0,0.02,789.0,0.01,113000000.0,"[11,31,37,16,3,52,52,52,100,52,100,52]",2025-09-03,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,seo,33088.0
seo agencies near me,10,10,1600,66.0,19.76,https://www.designrush.com/agency/search-engine-optimization,14.0,0.01,276.0,0.02,54000000.0,"[10,44,18,35,24,8,13,100,24,24,18,16]",2025-09-07,"Local pack, Sitelinks, Video, Related searches",transactional,Organic,0,false,true,04-10,agency,seo,31616.000000000004
seo in austin texas,10,10,1300,23.0,24.23,https://www.designrush.com/agency/search-engine-optimization/texas/austin,3.0,0.0,72.0,0.02,8860000.0,"[2,1,3,2,1,5,3,2,2,100,100,53]",2025-09-10,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,seo,31499.0
brisbane seo company,7,7,260,28.0,107.09,https://www.designrush.com/agency/search-engine-optimization/au/brisbane,5.0,0.0,535.0,0.02,3110000.0,"[10,8,22,54,54,54,54,54,100,100,100,100]",2025-08-22,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,agency,seo,27843.4
top seo agencies,8,8,1000,44.0,23.88,https://www.designrush.com/agency/search-engine-optimization,24.0,0.02,573.0,0.07,73500000.0,"[45,36,45,55,55,62,55,55,100,100,100,62]",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,seo,23880.0
top seo company in uk,7,7,1600,36.0,14.18,https://www.designrush.com/agency/search-engine-optimization/uk,20.0,0.02,283.0,0.0,92100000.0,"[5,10,19,13,4,19,3,28,8,100,43,28]",2025-09-04,"Sitelinks, People also ask, Related searches, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,seo,22688.0
seo agency in brisbane,8,8,210,24.0,107.09,https://www.designrush.com/agency/search-engine-optimization/au/brisbane,3.0,0.0,321.0,0.02,729000.0,"[17,23,23,0,23,12,53,43,82,100,82,100]",2025-08-16,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,seo,22488.9
local seo consultant,10,10,1300,49.0,16.28,https://www.designrush.com/agency/search-engine-optimization/local-seo,11.0,0.01,179.0,0.01,13900000.0,"[24,20,44,55,7,55,34,20,44,65,100,55]",2025-09-05,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,agency,seo,21164.0
seo company india,9,9,1600,83.0,12.53,https://www.designrush.com/agency/search-engine-optimization/in,14.0,0.01,175.0,0.05,54500000.0,"[13,13,20,22,29,29,29,20,36,36,36,100]",2025-09-09,"Local pack, Sitelinks, Video, Video Carousel, Related searches, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,seo,20048.0
search engine optimization company india,9,9,1600,63.0,12.53,https://www.designrush.com/agency/search-engine-optimization/in,35.0,0.04,438.0,0.05,29000000.0,"[7,13,5,24,13,7,3,35,100,81,66,29]",2025-09-06,"Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,seo,20048.0
search engine optimisation company,8,8,880,70.0,22.56,https://www.designrush.com/agency/search-engine-optimization,7.0,0.0,157.0,0.08,9440000.0,"[13,100,20,81,20,0,30,100,81,100,81,62]",2025-09-05,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,seo,19852.8
seo optimization miami fl,10,10,1600,39.0,11.74,https://www.designrush.com/agency/search-engine-optimization/florida/miami,14.0,0.01,164.0,0.05,619000.0,"[13,15,7,13,4,15,4,24,36,100,28,15]",2025-09-07,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,agency,seo,18784.0
