Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
web design agency,7,7,18100,87.0,9.43,https://www.designrush.com/agency/website-design-development,543.0,0.62,5120.0,0.11,1040000000.0,"[66,66,81,81,81,81,81,66,100,100,100,100]",2025-09-10,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Discussions and forums, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_design,170683.0
website creator,7,7,12100,100.0,9.48,https://www.designrush.com/agency/website-design-development/trends/custom-website-design,4.0,0.0,37.0,0.68,1720000000.0,"[36,36,36,36,36,36,36,36,36,36,36,29]",2025-09-10,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, See results about, Ads middle",commercial,People also ask,0,false,true,04-10,agency,web_design,114708.0
website design agency,6,7,8100,91.0,9.43,https://www.designrush.com/agency/website-design-development,283.0,0.32,2668.0,0.11,1100000000.0,"[44,44,54,54,66,66,66,54,66,81,100,100]",2025-09-12,"Local pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle",commercial,Organic,1,false,true,04-10,agency,web_design,76383.0
website website builder,4,4,9900,100.0,6.71,https://www.designrush.com/agency/website-design-development/trends/custom-website-design,7.0,0.0,46.0,0.63,368000000.0,"[5,13,4,4,1,3,0,44,81,100,67,44]",2025-09-10,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,People also ask,0,false,true,04-10,agency,web_design,66429.0
web agency,8,8,4400,68.0,9.6,https://www.designrush.com/agency/website-design-development,83.0,0.09,796.0,0.19,1100000000.0,"[43,36,43,66,43,54,54,54,81,81,100,81]",2025-09-07,"Local pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_design,42240.0
website creation company,6,6,2900,100.0,13.79,https://www.designrush.com/agency/website-design-development,101.0,0.11,1392.0,0.12,755000000.0,"[15,54,3,3,23,100,23,4,23,4,1,10]",2025-09-07,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Ads middle",,Organic,0,false,true,04-10,agency,web_design,39991.0
web design firm,4,4,2900,94.0,13.79,https://www.designrush.com/agency/website-design-development,87.0,0.1,1199.0,0.12,382000000.0,"[16,13,100,36,44,19,44,24,24,29,13,5]",2025-09-07,"Local pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_design,39991.0
web design company near me,10,10,2900,51.0,12.47,https://www.designrush.com/agency/website-design-development/new-york/new-york-city,26.0,0.03,324.0,0.06,1210000000.0,"[16,19,16,35,23,66,23,54,100,35,35,29]",2025-09-06,"Local pack, Video, Ads bottom, Related searches, Ads middle",transactional,Organic,0,false,true,04-10,agency,web_design,36163.0
website designers for small business,6,6,1600,41.0,19.03,https://www.designrush.com/agency/website-design-development/small-business,38.0,0.04,723.0,0.37,1970000000.0,"[84,52,68,68,84,68,68,68,84,100,84,100]",2025-09-06,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_design,30448.0
website design houston tx,9,9,1600,64.0,15.3,https://www.designrush.com/agency/website-design-development/texas/houston,20.0,0.02,306.0,0.04,92400000.0,"[66,36,27,52,80,100,100,80,5,4,3,8]",2025-09-05,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,web_design,24480.0
