Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
uae advertising agencies list,1,1,880,15.0,0.0,https://www.designrush.com/agency/ad-agencies,116.0,0.13,0.0,0.0,7100000.0,"[16,16,16,30,44,100,16,16,16,30,16,16]",2025-08-30,"Local pack, Video, Related searches, AI overview",informational,Organic,0,true,true,01-03,other,advertising
advertising strategies,3,4,1300,54.0,6.2,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,84.0,0.09,520.0,0.11,926000000.0,"[46,68,46,52,68,68,52,68,68,84,68,52]",2025-09-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,1,true,true,01-03,trends,advertising
advertising strategies,1,1,1300,54.0,6.2,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,78.0,0.09,483.0,0.11,926000000.0,"[46,68,46,52,68,68,52,68,68,84,68,52]",2025-09-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,trends,advertising
subliminal messages definition,1,1,1600,38.0,0.0,https://www.designrush.com/agency/ad-agencies/trends/subliminal-advertising,52.0,0.06,0.0,0.0,926000.0,"[68,68,84,100,84,84,84,100,84,68,68,52]",2025-09-08,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,trends,advertising
promotional marketing firm,1,1,210,85.0,6.87,https://www.designrush.com/agency/ad-agencies/promotional-marketing,41.0,0.04,281.0,0.01,126000000.0,"[1,1,1,1,1,1,1,1,1,5,100,20]",2025-08-30,"Local pack, Sitelinks, Video, Related searches, AI overview",commercial,AI overview,0,true,true,01-03,other,advertising
auto ad agency,2,2,880,48.0,12.07,https://www.designrush.com/agency/ad-agencies/automotive,38.0,0.04,458.0,0.08,120000000.0,"[24,24,100,36,45,81,100,81,62,24,55,16]",2025-09-09,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,true,true,01-03,other,advertising
advertising strategy,5,5,880,34.0,6.2,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,30.0,0.03,186.0,0.11,1210000000.0,"[36,36,30,55,45,55,45,62,62,100,81,100]",2025-08-28,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising
nj advertising firms,1,1,390,51.0,4.08,https://www.designrush.com/agency/ad-agencies/new-jersey,25.0,0.02,102.0,0.14,58700000.0,"[45,55,20,20,8,10,13,24,100,0,24,36]",2025-08-24,"Local pack, Sitelinks, Related searches",commercial,Organic,0,true,true,01-03,geo,advertising
promotion companies,4,4,390,55.0,5.48,https://www.designrush.com/agency/ad-agencies/promotional-marketing,25.0,0.02,137.0,0.75,553000000.0,"[59,21,48,32,32,39,26,32,39,39,32,39]",2025-09-07,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,advertising
advertising agency promotions,1,1,90,50.0,0.0,https://www.designrush.com/agency/ad-agencies/promotional-marketing,22.0,0.02,0.0,0.0,1060000000.0,"[0,0,0,0,0,0,0,0,0,0,100,0]",2025-09-02,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,true,true,01-03,other,advertising
