Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
wordpress web design agency,5,5,1600,40.0,17.73,https://www.designrush.com/agency/wordpress-web-design,70.0,0.08,1241.0,0.03,66400000.0,"[24,30,34,55,44,34,55,44,65,100,100,24]",2025-09-10,"Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",informational,Organic,0,false,true,04-10,agency,cms_platform
wordpress website design agency,7,7,880,40.0,17.73,https://www.designrush.com/agency/wordpress-web-design,26.0,0.03,460.0,0.03,65700000.0,"[10,30,45,55,55,55,100,55,100,76,100,76]",2025-09-02,"Image pack, Sitelinks, Video Carousel, Related searches",commercial,Organic,0,false,true,04-10,agency,cms_platform
wordpress web agency new york,1,1,50,4.0,0.0,https://www.designrush.com/agency/wordpress-web-design/new-york,12.0,0.01,0.0,0.0,8820000.0,"[11,55,77,100,77]",2025-08-30,"Sitelinks, Related searches","commercial, informational",Organic,0,true,true,01-03,agency,cms_platform
wordpress website design company,13,13,1300,32.0,17.73,https://www.designrush.com/agency/wordpress-web-design,11.0,0.01,195.0,0.03,98800000.0,"[24,30,41,24,41,36,36,100,30,79,100,79]",2025-09-08,"Image pack, Sitelinks, Video Carousel, Related searches",commercial,Organic,0,false,false,11-20,agency,cms_platform
wordpress design agency,8,8,480,49.0,17.5,https://www.designrush.com/agency/wordpress-web-design/us,11.0,0.01,192.0,0.07,71200000.0,"[44,54,66,6,66,15,81,54,100,100,66,100]",2025-09-04,"Knowledge panel, Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,cms_platform
wordpress development services usa,4,4,110,31.0,8.8,https://www.designrush.com/agency/wordpress-web-design/us,7.0,0.0,61.0,0.05,15000000.0,"[9,9,100,9,52,52,9,80,100,80,100,52]",2025-08-14,"Sitelinks, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,cms_platform
wordpress web design companies,7,7,320,40.0,17.73,https://www.designrush.com/agency/wordpress-web-design/us,7.0,0.0,124.0,0.03,81300000.0,"[0,0,36,36,29,100,81,44,54,36,5,66]",2025-08-26,"Sitelinks, Video Carousel, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,cms_platform
wordpress development dubai,1,1,50,11.0,0.0,https://www.designrush.com/agency/wordpress-web-design/ae/dubai,6.0,0.0,0.0,0.0,4820000.0,"[55,33,55,44,33,77,55,33,55,55,77,77]",2025-08-18,"Local pack, Image, People also ask, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,cms_platform
wordpress website design malaysia,1,1,50,8.0,0.0,https://www.designrush.com/agency/wordpress-web-design/my,6.0,0.0,0.0,0.0,8960000.0,"[28,28,57,71,71,100,71,71,100,100,100,100]",2025-08-30,"Image pack, People also ask, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,cms_platform
wordpress website design south africa,1,1,90,28.0,10.15,https://www.designrush.com/agency/wordpress-web-design/za,5.0,0.0,50.0,0.13,9430000.0,"[50,7,50,35,64,50,64,64,100,64,78,64]",2025-09-02,"Image pack, Sitelinks, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,cms_platform
wordpress agencies,11,11,390,56.0,19.12,https://www.designrush.com/agency/wordpress-web-design/california,5.0,0.0,95.0,0.21,94000000.0,"[28,54,54,54,66,66,44,54,66,66,100,100]",2025-09-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",commercial,Organic,0,false,false,11-20,agency,cms_platform
wordpress website agency,5,5,140,38.0,20.08,https://www.designrush.com/agency/wordpress-web-design/us,4.0,0.0,80.0,0.18,126000000.0,"[28,5,23,10,35,28,35,28,53,66,100,66]",2025-09-08,"Image pack, Sitelinks, Video Carousel, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,cms_platform
web design company wordpress,7,7,720,50.0,17.73,https://www.designrush.com/agency/wordpress-web-design,4.0,0.0,70.0,0.03,97100000.0,"[30,30,24,24,24,36,55,62,81,100,55,24]",2025-09-10,"Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,cms_platform
wordpress website design agency in united states,1,1,30,31.0,19.87,https://www.designrush.com/agency/wordpress-web-design/us,3.0,0.0,59.0,0.04,57100000.0,"[0,0,0,0,0,0,18,63,100,45,0,63]",2025-09-04,"Local pack, Image pack, Sitelinks, Related searches, AI overview","commercial, informational",Organic,0,true,true,01-03,agency,cms_platform
wordpress development texas,2,2,30,4.0,6.58,https://www.designrush.com/agency/wordpress-web-design/texas,3.0,0.0,19.0,0.2,8560000.0,"[28,28,28,28,14,14,28,71,100,71,71,57]",2025-09-06,"Local pack, Related searches",commercial,Organic,0,true,true,01-03,agency,cms_platform
wordpress web agency,7,7,140,50.0,20.08,https://www.designrush.com/agency/wordpress-web-design/california,3.0,0.0,60.0,0.18,30500000.0,"[9,12,65,6,6,6,65,65,81,65,65,100]",2025-09-01,"Image pack, Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,cms_platform
wordpress website design dubai,4,4,110,13.0,0.0,https://www.designrush.com/agency/wordpress-web-design/ae/dubai,3.0,0.0,0.0,0.1,4450000.0,"[64,64,78,78,64,78,64,50,100,78,78,78]",2025-09-07,"Local pack, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,cms_platform
wordpress developer new york,6,6,70,5.0,23.09,https://www.designrush.com/agency/wordpress-web-design/new-york,2.0,0.0,46.0,0.01,4390000.0,"[3,3,3,3,3,3,8,3,6,6,6,100]",2025-08-30,"Jobs search, Related searches",commercial,Organic,0,false,true,04-10,agency,cms_platform
wordpress agency new york,1,1,40,12.0,0.0,https://www.designrush.com/agency/wordpress-web-design/new-york,2.0,0.0,0.0,0.06,9900000.0,"[18,18,18,18,18,18,36,45,63,63,63,63]",2025-08-20,"Local pack, Image pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,true,true,01-03,agency,cms_platform
webdesign wordpress agentur,5,5,70,46.0,0.0,https://www.designrush.com/agency/wordpress-web-design,2.0,0.0,0.0,0.0,522000.0,"[81,63,63,36,63,45,63,63,81,100,81,81]",2025-08-18,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,cms_platform
wordpress agency,22,22,1900,64.0,19.12,https://www.designrush.com/agency/wordpress-web-design/us,2.0,0.0,38.0,0.21,153000000.0,"[34,34,44,55,55,65,55,34,82,82,100,82]",2025-09-08,"Image pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,false,21-50,agency,cms_platform
