Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
digital forensic companies,1,1,170,19.0,6.95,https://www.designrush.com/agency/cybersecurity/digital-forensics,22.0,0.02,152.0,0.1,80200000.0,"[17,23,53,28,28,28,28,43,53,66,66,66]",2025-09-03,"Local pack, Sitelinks, People also ask, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,cybersecurity
manchester cybersecurity consultancy,1,1,70,7.0,0.0,https://www.designrush.com/agency/cybersecurity/uk/manchester,17.0,0.01,0.0,0.0,3210000.0,[100],2025-08-28,"Local pack, Image pack, Sitelinks, Related searches","commercial, informational",Organic,0,true,true,01-03,other,cybersecurity
calgary cybersecurity companies,1,1,50,10.0,0.0,https://www.designrush.com/agency/cybersecurity/ca/calgary,12.0,0.01,0.0,0.0,930000.0,"[9,18,63,100,63]",2025-09-06,"Local pack, People also ask, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,cybersecurity
computer forensics firms,3,3,170,22.0,8.17,https://www.designrush.com/agency/cybersecurity/digital-forensics,11.0,0.01,89.0,0.11,3880000.0,"[34,34,15,28,21,43,65,65,100,100,53,34]",2025-08-28,"Local pack, Sitelinks, Related searches, AI overview",informational,Organic,0,true,true,01-03,other,cybersecurity
vancouver cyber security firms,2,2,260,17.0,0.0,https://www.designrush.com/agency/cybersecurity/ca/vancouver,11.0,0.01,0.0,0.0,2520000.0,[100],2025-08-15,"Local pack, Image pack, Video, Related searches",commercial,Organic,0,true,true,01-03,other,cybersecurity
best cybersecurity omaha,1,1,40,15.0,0.0,https://www.designrush.com/agency/cybersecurity/nebraska/omaha,9.0,0.01,0.0,0.0,615000.0,"[7,0,7,7,100]",2025-09-03,"Image pack, Featured snippet, People also ask, Related searches","commercial, informational",Organic,0,true,true,01-03,geo,cybersecurity
miami it security companies,1,1,40,13.0,0.0,https://www.designrush.com/agency/cybersecurity/florida/miami,9.0,0.01,0.0,0.0,78600000.0,"[0,11,22,44,77,100]",2025-09-03,"Local pack, Image pack, Featured snippet, Related searches, AI overview",commercial,Organic,0,true,true,01-03,geo,cybersecurity
network security solutions for louisiana,1,1,70,0.0,0.0,https://www.designrush.com/agency/cybersecurity/louisiana,9.0,0.01,0.0,0.0,10900000.0,"[14,14,28,50,50,64,50,35,64,50,100,14]",2025-09-03,"Image pack, AI overview",informational,Organic,0,true,true,01-03,geo,cybersecurity
top cybersecurity services in atlanta,1,1,40,15.0,0.0,https://www.designrush.com/agency/cybersecurity/georgia/atlanta,9.0,0.01,0.0,0.0,4430000.0,"[100,71,28]",2025-08-22,"Local pack, Image pack, Sitelinks, Featured snippet, People also ask, Related searches","commercial, informational",Organic,0,true,true,01-03,geo,cybersecurity
it forensic companies,2,2,110,17.0,8.17,https://www.designrush.com/agency/cybersecurity/digital-forensics,9.0,0.01,73.0,0.11,95900000.0,"[42,42,19,34,26,53,34,80,19,42,80,42]",2025-09-05,"Local pack, Sitelinks, People also ask, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,cybersecurity
cybersecurity companies in india,3,3,90,28.0,7.02,https://www.designrush.com/agency/cybersecurity/in,7.0,0.0,49.0,0.31,121000000.0,"[7,3,15,7,26,15,26,53,100,65,65,65]",2025-08-30,"Local pack, Video, Related searches",commercial,Organic,0,true,true,01-03,other,cybersecurity
nashville top cybersecurity providers,6,6,210,16.0,0.0,https://www.designrush.com/agency/cybersecurity/tennessee/nashville,7.0,0.0,0.0,0.0,310000.0,"[65,53,100]",2025-09-07,"Local pack, Image pack",commercial,Organic,0,false,true,04-10,geo,cybersecurity
cyber security companies nyc,5,5,210,13.0,8.58,https://www.designrush.com/agency/cybersecurity/new-york,6.0,0.0,51.0,0.14,46500000.0,"[43,43,12,43,53,66,82,53,35,82,100,82]",2025-09-07,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity
cyber security companies in denver,4,4,210,20.0,11.94,https://www.designrush.com/agency/cybersecurity/colorado/denver,6.0,0.0,71.0,0.24,960000.0,"[34,53,100,100,100,65,53,28,65,65,53,43]",2025-08-26,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity
cyber security services australia,4,4,140,24.0,0.0,https://www.designrush.com/agency/cybersecurity/au,6.0,0.0,0.0,0.0,143000000.0,"[15,19,26,34,53,42,53,65,80,80,80,100]",2025-08-19,"Local pack, Sitelinks, People also ask, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,cybersecurity
cyber security chicago,10,10,320,22.0,9.68,https://www.designrush.com/agency/cybersecurity/illinois/chicago,6.0,0.0,58.0,0.06,34100000.0,"[54,44,36,29,44,44,29,36,19,36,81,100]",2025-09-02,"Related searches, AI overview",commercial,Organic,0,false,true,04-10,geo,cybersecurity
cyber security companies in new york,6,6,210,32.0,8.58,https://www.designrush.com/agency/cybersecurity/new-york,5.0,0.0,42.0,0.14,286000000.0,"[18,15,15,15,11,23,18,44,18,100,81,54]",2025-08-31,"Local pack, Image pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity
cyber security services melbourne,2,2,110,5.0,0.0,https://www.designrush.com/agency/cybersecurity/au/melbourne,4.0,0.0,0.0,0.0,7560000.0,"[9,19,23,23,42,42,42,42,66,80,80,100]",2025-08-30,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,true,true,01-03,other,cybersecurity
it security companies new york,6,6,170,26.0,8.58,https://www.designrush.com/agency/cybersecurity/new-york,4.0,0.0,34.0,0.14,872000000.0,"[43,43,34,34,28,43,53,53,12,34,100,100]",2025-09-05,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,geo,cybersecurity
top hipaa compliance support in hris industry,3,3,70,3.0,0.0,https://www.designrush.com/agency/cybersecurity/hipaa-compliance,4.0,0.0,0.0,0.0,36100.0,"[4,0,100]",2025-08-29,"Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,other,cybersecurity
cyber forensics companies,3,3,70,20.0,7.92,https://www.designrush.com/agency/cybersecurity/digital-forensics,4.0,0.0,31.0,0.08,10900000.0,"[21,35,21,64,50,35,35,50,64,64,100,100]",2025-08-15,"Sitelinks, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,cybersecurity
cyber security companies in miami,2,2,110,15.0,9.6,https://www.designrush.com/agency/cybersecurity/florida/miami,4.0,0.0,38.0,0.07,3300000.0,"[2,6,6,9,9,2,2,2,4,2,29,100]",2025-09-09,"Local pack, Image pack, People also ask, Related searches",commercial,Organic,0,true,true,01-03,geo,cybersecurity
top digital forensics companies,1,1,70,11.0,8.16,https://www.designrush.com/agency/cybersecurity/digital-forensics,4.0,0.0,32.0,0.41,4070000.0,"[11,11,11,11,11,23,52,64,100,100,52,29]",2025-09-04,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview,0,true,true,01-03,other,cybersecurity
