Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
best digital marketing services,1,1,880,58.0,8.47,https://www.designrush.com/agency/digital-marketing,218.0,0.25,1846.0,0.1,1560000000.0,"[13,76,67,76,76,100,100,20,76,100,30,30]",2025-08-28,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic,0,true,true,01-03,other,digital_marketing
digital marketing cyprus,1,1,720,41.0,0.0,https://www.designrush.com/agency/digital-marketing/cy,178.0,0.2,0.0,0.0,134000000.0,"[4,3,4,5,5,7,13,54,30,66,100,79]",2025-09-04,"Image pack, Sitelinks, People also ask, Related searches, AI overview","commercial, informational",Organic,0,true,true,01-03,other,digital_marketing
digital marketing firm,2,2,3600,88.0,7.07,https://www.designrush.com/agency/digital-marketing,158.0,0.18,1117.0,0.21,371000000.0,"[28,54,36,43,66,43,36,54,81,54,66,66]",2025-09-05,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",commercial,Organic,0,true,true,01-03,other,digital_marketing
digital advertising agency,3,3,4400,91.0,10.63,https://www.designrush.com/agency/digital-marketing,132.0,0.15,1403.0,0.09,282000000.0,"[23,29,35,44,35,44,54,54,81,100,100,81]",2025-09-06,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches",commercial,Organic,0,true,true,01-03,other,digital_marketing
online marketing agency,9,7,9900,96.0,12.98,https://www.designrush.com/agency/digital-marketing,128.0,0.14,1661.0,0.1,889000000.0,"[29,29,36,44,44,36,54,66,100,81,100,81]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,-2,false,true,04-10,other,digital_marketing
digital marketing marketing agency,1,1,2900,77.0,8.13,https://www.designrush.com/agency/digital-marketing,100.0,0.11,813.0,0.15,600000000.0,"[0,0,0,0,0,0,0,0,100,81]",2025-09-08,"Sitelinks, Video, Related searches, AI overview",commercial,AI overview,0,true,true,01-03,other,digital_marketing
top digital marketing agencies,1,1,2900,36.0,8.77,https://www.designrush.com/agency/digital-marketing,100.0,0.11,877.0,0.17,172000000.0,"[66,53,44,35,44,66,29,44,100,81,53,53]",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",AI overview,0,true,true,01-03,other,digital_marketing
online ad companies,1,1,720,47.0,8.85,https://www.designrush.com/agency/digital-marketing,95.0,0.1,840.0,0.18,1450000000.0,"[36,67,8,36,45,20,5,100,67,100,76,45]",2025-09-02,"Sitelinks, Video, Video Carousel, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,digital_marketing
digital marketing agencies,5,5,8100,60.0,8.13,https://www.designrush.com/agency/digital-marketing/trends/what-does-a-digital-marketing-agency-do,89.0,0.1,723.0,0.15,283000000.0,"[100,100,66,66,81,81,81,44,66,54,66,66]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,0,false,true,04-10,trends,digital_marketing
digital marketing usa,1,1,320,77.0,7.3,https://www.designrush.com/agency/digital-marketing/us,79.0,0.09,576.0,0.12,2440000000.0,"[44,100,35,44,54,54,66,44,54,54,54,81]",2025-08-27,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, Related searches",commercial,Organic,0,true,true,01-03,other,digital_marketing
online marketing companies,2,2,1900,55.0,15.12,https://www.designrush.com/agency/digital-marketing,66.0,0.07,997.0,0.16,976000000.0,"[29,36,29,54,7,43,54,36,81,22,81,54]",2025-09-07,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,digital_marketing
digital marketing consultants,1,1,1000,64.0,6.3,https://www.designrush.com/agency/digital-marketing/trends/digital-marketing-consultant,66.0,0.07,415.0,0.09,205000000.0,"[37,37,52,68,52,46,52,100,100,84,46,37]",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",commercial,People also ask,0,true,true,01-03,trends,digital_marketing
b2c marketing agency,2,2,480,14.0,15.52,https://www.designrush.com/agency/digital-marketing/b2c,63.0,0.07,977.0,0.07,8890000.0,"[36,10,29,36,29,29,54,67,100,67,81,67]",2025-09-04,"Local pack, Image pack, Sitelinks, Video Carousel, Related searches","commercial, informational",Organic,0,true,true,01-03,other,digital_marketing
digital marketing marketing agency,10,10,2900,77.0,8.13,https://www.designrush.com/agency/digital-marketing,55.0,0.06,447.0,0.15,600000000.0,"[0,0,0,0,0,0,0,0,100,81]",2025-09-08,"Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,digital_marketing
digital marketing and advertising company,1,1,2400,91.0,8.13,https://www.designrush.com/agency/digital-marketing/trends/what-does-a-digital-marketing-agency-do,52.0,0.06,422.0,0.15,1080000000.0,"[3,4,4,1,1,24,3,1,81,13,0,1]",2025-09-11,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches",commercial,People also ask,0,true,true,01-03,trends,digital_marketing
top digital marketing agency,4,4,2400,50.0,8.77,https://www.designrush.com/agency/digital-marketing,52.0,0.06,456.0,0.17,707000000.0,"[29,29,29,36,29,54,81,43,100,81,81,81]",2025-09-08,"Local pack, Image pack, Sitelinks, Video, Ads bottom, Related searches, Discussions and forums, Ads middle",commercial,Organic,0,false,true,04-10,other,digital_marketing
online marketing company,4,4,3600,78.0,15.12,https://www.designrush.com/agency/digital-marketing,46.0,0.05,695.0,0.16,3030000000.0,"[36,24,43,36,43,54,66,43,54,81,100,81]",2025-09-05,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,digital_marketing
nft marketing agency,2,2,320,19.0,10.8,https://www.designrush.com/agency/digital-marketing/nft-marketing,42.0,0.04,453.0,0.02,6650000.0,"[8,10,10,20,13,13,24,36,55,45,45,24]",2025-08-27,"Local pack, Image pack, Video, Related searches",informational,Organic,0,true,true,01-03,other,digital_marketing
cyprus digital marketing,1,1,170,44.0,0.0,https://www.designrush.com/agency/digital-marketing/cy,42.0,0.04,0.0,0.0,47500000.0,"[2,2,15,15,15,15,19,2,2,100,81,23]",2025-08-30,"Sitelinks, Video, Related searches",informational,Organic,0,true,true,01-03,other,digital_marketing
digital marketing companies in the us,1,1,590,42.0,6.96,https://www.designrush.com/agency/digital-marketing/us,35.0,0.04,243.0,0.12,1290000000.0,"[67,67,45,13,30,67,13,100,20,5,30,20]",2025-08-28,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,other,digital_marketing
high ticket digital marketing,1,1,590,26.0,2.19,https://www.designrush.com/agency/digital-marketing/trends/high-ticket-digital-marketing,35.0,0.04,76.0,0.38,214000000.0,"[10,7,5,8,8,10,13,10,13,8,13,13]",2025-09-02,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,trends,digital_marketing
digital marketing united states,1,1,140,58.0,7.3,https://www.designrush.com/agency/digital-marketing/us,34.0,0.03,248.0,0.12,923000000.0,"[34,100,65,34,28,43,28,28,15,34,65,34]",2025-08-24,"Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,true,true,01-03,other,digital_marketing
digital marketing in usa,1,1,260,42.0,7.3,https://www.designrush.com/agency/digital-marketing/us,34.0,0.03,248.0,0.12,1610000000.0,"[54,67,19,19,3,29,29,19,29,29,23,23]",2025-08-14,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,digital_marketing
agence marketing digital,1,1,1000,61.0,5.36,https://www.designrush.com/agency/digital-marketing/trends/what-does-a-digital-marketing-agency-do,32.0,0.03,171.0,0.04,53400000.0,"[46,68,11,68,20,16,68,68,84,68,84,68]",2025-09-10,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,0,true,true,01-03,trends,digital_marketing
marketing companies near me,10,10,3600,66.0,10.09,https://www.designrush.com/agency/digital-marketing/pennsylvania,32.0,0.03,322.0,0.24,1650000000.0,"[53,100,81,44,35,44,53,66,100,100,53,66]",2025-09-08,"Local pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,0,false,true,04-10,geo,digital_marketing
digital marketing malaysia,3,3,480,50.0,0.0,https://www.designrush.com/agency/digital-marketing/my,31.0,0.03,0.0,0.01,342000000.0,"[20,6,16,45,1,1,36,36,67,67,76,100]",2025-08-31,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,true,true,01-03,other,digital_marketing
top digital marketing companies,7,7,2400,42.0,8.77,https://www.designrush.com/agency/digital-marketing,31.0,0.03,271.0,0.17,557000000.0,"[53,35,29,29,29,53,100,29,81,66,44,44]",2025-09-07,"Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, See results about, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,other,digital_marketing
list of digital marketing agencies,1,1,110,46.0,6.11,https://www.designrush.com/agency/digital-marketing,27.0,0.03,164.0,0.08,266000000.0,"[42,52,42,33,42,52,66,52,100,66,52,52]",2025-08-15,"Local pack, Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,digital_marketing
b2c marketing companies,1,1,110,7.0,0.0,https://www.designrush.com/agency/digital-marketing/b2c,27.0,0.03,0.0,0.0,38400000.0,"[15,15,100,81,6,6,21,28,28,28,34,28]",2025-08-20,"Local pack, Image pack, Video Carousel, Related searches, AI overview",informational,Organic,0,true,true,01-03,other,digital_marketing
digital marketing agencies top,2,2,320,45.0,8.77,https://www.designrush.com/agency/digital-marketing,26.0,0.03,228.0,0.17,197000000.0,"[100,0,0,0,0,0,54,0,0,0,0,0]",2025-08-27,"Local pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,digital_marketing
inbound marketing companies,2,2,320,39.0,0.0,https://www.designrush.com/agency/digital-marketing/inbound,26.0,0.03,0.0,0.0,27200000.0,"[15,18,35,28,23,8,44,54,100,81,100,81]",2025-08-16,"Local pack, Video Carousel, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,digital_marketing
digital marketing agency malaysia,2,2,590,52.0,0.0,https://www.designrush.com/agency/digital-marketing/my,25.0,0.02,0.0,0.0,279000000.0,"[44,44,67,67,23,12,67,54,81,100,100,100]",2025-09-08,"Local pack, Sitelinks, Video, Featured snippet, Image, Related searches",commercial,Organic,0,true,true,01-03,other,digital_marketing
online marketing agencies,3,3,720,73.0,12.98,https://www.designrush.com/agency/digital-marketing,25.0,0.02,324.0,0.1,316000000.0,"[24,6,20,55,20,36,100,100,100,76,76,67]",2025-09-07,"Local pack, Image pack, Sitelinks, Video, Ads bottom, Related searches, See results about, Ads middle",commercial,Organic,0,true,true,01-03,other,digital_marketing
