Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
email marketing companies,6,6,2900,56.0,23.78,https://www.designrush.com/agency/email-marketing/us,87.0,0.1,2068.0,0.22,1450000000.0,"[100,100,80,100,80,66,66,44,66,52,66,66]",2025-09-08,"Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,agency,email
email marketing agencies,5,5,1300,44.0,15.92,https://www.designrush.com/agency/email-marketing/us,45.0,0.05,716.0,0.17,323000000.0,"[55,24,20,24,30,30,34,82,100,65,55,34]",2025-09-08,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,email
what are newsletter,1,1,1000,41.0,2.94,https://www.designrush.com/agency/email-marketing/trends/newsletter-purpose,17.0,0.01,49.0,0.01,2130000000.0,"[55,62,81,13,24,55,10,100,81,100,62,62]",2025-09-09,"Instant answer, Knowledge panel, Video, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,email
mandrill pricing,5,5,1300,29.0,11.73,https://www.designrush.com/agency/email-marketing/trends/email-marketing-cost,15.0,0.01,175.0,0.54,88.0,"[100,7,8,8,3,3,8,0,0,0,0,0]",2025-09-10,"Image pack, Video, People also ask, Related searches",navigational,People also ask,0,false,true,04-10,agency,email
what is email advertising,1,1,480,68.0,3.42,https://www.designrush.com/agency/email-marketing/trends/email-marketing-cost,15.0,0.01,51.0,0.15,6150000000.0,"[55,20,45,45,10,36,30,100,24,36,55,20]",2025-09-09,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,email
email advertising,3,3,1000,83.0,19.75,https://www.designrush.com/agency/email-marketing/trends/email-marketing-cost,15.0,0.01,296.0,0.21,5880000000.0,"[67,67,55,76,76,76,76,67,100,100,67,100]",2025-09-09,"Knowledge panel, Video, People also ask, Related searches, Things to know, AI overview",informational,People also ask,0,true,true,01-03,agency,email
baltimore email marketing company,1,1,50,13.0,0.0,https://www.designrush.com/agency/email-marketing/maryland/baltimore,12.0,0.01,0.0,0.0,35800000.0,"[42,100,57,100,42]",2025-09-07,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,0,true,true,01-03,agency,email
email marketing nyc,1,1,50,7.0,18.65,https://www.designrush.com/agency/email-marketing/new-york,12.0,0.01,223.0,0.04,124000000.0,"[33,33,44,55,44,44,55,44,55,77,100,77]",2025-08-22,"Local pack, Image pack, People also ask, Related searches",informational,Organic,0,true,true,01-03,agency,email
email marketing services in mumbai,1,1,50,2.0,0.0,https://www.designrush.com/agency/email-marketing/in/mumbai,12.0,0.01,0.0,0.0,83300000.0,"[0,0,17,0,5,5,23,23,23,82,100,64]",2025-08-18,"Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,email
email marketing advertising agencies,11,11,880,40.0,15.92,https://www.designrush.com/agency/email-marketing/us,11.0,0.01,175.0,0.17,444000000.0,"[10,3,5,4,5,10,5,16,8,100,66,52]",2025-09-04,"Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,false,11-20,agency,email
email marketing partners dubai,2,2,90,0.0,0.0,https://www.designrush.com/agency/email-marketing/ae/dubai,11.0,0.01,0.0,0.0,57500000.0,"[21,28,28,100,78,100,100,100,78]",2025-08-31,"Video, Related searches",informational,Organic,0,true,true,01-03,agency,email
texas email marketing,1,1,30,6.0,18.72,https://www.designrush.com/agency/email-marketing/texas,7.0,0.0,131.0,0.43,318000000.0,"[0,0,0,0,9,27,18,27,100,27,63,36]",2025-09-04,"Video, Related searches",informational,Organic,0,true,true,01-03,agency,email
what are newsletters,1,1,320,50.0,3.25,https://www.designrush.com/agency/email-marketing/trends/newsletter-purpose,5.0,0.0,16.0,0.04,359000000.0,"[12,12,36,100,29,12,36,44,19,29,81,12]",2025-09-08,"Instant answer, Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,email
email marketing services in bangalore,2,2,70,8.0,0.0,https://www.designrush.com/agency/email-marketing/in/bengaluru,5.0,0.0,0.0,0.0,50300000.0,"[19,19,19,19,23,19,19,14,33,80,100,52]",2025-08-15,"Knowledge panel, Related searches, AI overview",commercial,Organic,0,true,true,01-03,agency,email
what is a news letter,1,0,260,33.0,3.25,https://www.designrush.com/agency/email-marketing/trends/newsletter-purpose,5.0,0.0,16.0,0.04,2190000000.0,"[39,11,59,32,26,48,32,11,11,7,9,5]",2025-09-11,"Knowledge panel, People also ask, Related searches, AI overview",informational,People also ask,-1,true,true,01-03,agency,email
email marketing bangalore,2,2,40,4.0,0.0,https://www.designrush.com/agency/email-marketing/in/bengaluru,5.0,0.0,0.0,0.0,71700000.0,"[33,33,44,55,22,44,33,33,44,33,100,44]",2025-08-18,Related searches,commercial,Organic,0,true,true,01-03,agency,email
newletter,26,26,3600,81.0,3.63,https://www.designrush.com/agency/email-marketing/trends/newsletter-purpose,5.0,0.0,18.0,0.29,2490000000.0,"[29,29,44,66,44,44,54,29,13,66,7,5]",2025-09-07,"Knowledge panel, Top stories, Sitelinks, Video, Related searches, Ads middle, AI overview",informational,Organic,0,false,false,21-50,agency,email
