Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
creative recruitment agencies,1,1,590,68.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,35.0,0.04,70.0,0.38,44200000.0,"[36,100,30,16,16,20,16,8,13,24,13,8]",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,AI overview,0,true,true,01-03,other,hr_outsourcing
creative recruitment companies,7,7,1000,68.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,30.0,0.03,60.0,0.38,140000000.0,"[44,100,16,24,8,20,5,44,44,44,30,16]",2025-09-09,"Image pack, Sitelinks, Video, Related searches, Discussions and forums",,Organic,0,false,true,04-10,other,hr_outsourcing
outsource hr,2,2,1300,37.0,29.1,https://www.designrush.com/agency/hr-outsourcing/trends/hr-outsourcing-costs,19.0,0.02,552.0,0.14,15000000.0,"[24,24,44,24,27,36,36,44,44,44,52,52]",2025-09-09,"Sitelinks, Video, People also ask, Related searches, Things to know","commercial, informational",People also ask,0,true,true,01-03,trends,hr_outsourcing
triad staffing,1,1,1300,34.0,0.0,https://www.designrush.com/agency/hr-outsourcing/staffing,15.0,0.01,0.0,0.03,75.0,"[55,44,44,34,44,44,44,34,34,24,34,34]",2025-09-10,"Knowledge panel, Local pack, People also ask, Related searches",commercial,People also ask,0,true,true,01-03,other,hr_outsourcing
creative placement agencies,7,7,720,70.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,15.0,0.01,30.0,0.38,50500000.0,"[44,100,16,5,4,11,5,8,3,55,8,7]",2025-09-09,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,other,hr_outsourcing
creative staffing agencies,9,9,1600,69.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,14.0,0.01,28.0,0.38,22500000.0,"[81,100,36,22,16,20,22,16,29,5,16,13]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,hr_outsourcing
best recruitment agency,1,1,1000,80.0,2.56,https://www.designrush.com/agency/hr-outsourcing/staffing,12.0,0.01,30.0,0.35,316000000.0,"[3,3,5,3,4,4,24,13,100,0,43,1]",2025-09-09,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,People also ask,0,true,true,01-03,other,hr_outsourcing
creative temp agency,11,11,1300,74.0,2.02,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,9.0,0.01,18.0,0.38,26200000.0,"[24,100,13,24,16,16,16,4,16,24,7,3]",2025-09-07,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,false,11-20,other,hr_outsourcing
hr outsourcing,6,6,5400,49.0,29.1,https://www.designrush.com/agency/hr-outsourcing,8.0,0.0,232.0,0.14,63800000.0,"[66,81,81,100,81,100,100,100,81,66,100,81]",2025-09-11,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Things to know, Ads middle, AI overview",commercial,Things to know,0,false,true,04-10,other,hr_outsourcing
best creative recruiters,1,1,30,34.0,1.89,https://www.designrush.com/agency/hr-outsourcing/creative-staffing,7.0,0.0,13.0,0.55,11300000.0,"[75,100,50,50,50,50,100,50,50,100,50,75]",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,other,hr_outsourcing
