Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
it outsourcing company,1,1,1300,32.0,25.24,https://www.designrush.com/agency/it-services/outsourcing,322.0,0.37,8127.0,0.05,62900000.0,"[37,37,68,46,46,52,52,52,84,84,84,84]",2025-09-07,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,true,true,01-03,agency,it_services
services for it,1,1,4400,20.0,16.64,https://www.designrush.com/agency/it-services/trends/it-services-for-business,180.0,0.2,2995.0,0.1,8180000000.0,"[0,0,0,2,1,3,3,0,1,100,100,54]",2025-09-08,"Image pack, People also ask, AI overview",informational,People also ask,0,true,true,01-03,agency,it_services
it solutions for business,1,1,590,53.0,12.67,https://www.designrush.com/agency/it-services/trends/it-services-for-business,115.0,0.13,1457.0,0.29,2180000000.0,"[20,20,81,36,55,30,45,10,30,36,81,24]",2025-08-29,"Image pack, Sitelinks, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview,0,true,true,01-03,agency,it_services
it outsourcing companies,2,2,1300,34.0,25.24,https://www.designrush.com/agency/it-services/outsourcing,106.0,0.12,2675.0,0.05,64200000.0,"[20,20,41,41,41,41,41,54,100,66,79,66]",2025-09-08,"Image pack, Video, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",informational,Organic,0,true,true,01-03,agency,it_services
it support services,1,1,6600,34.0,20.48,https://www.designrush.com/agency/it-services/trends/it-services-for-business,99.0,0.11,2027.0,0.02,11000000000.0,"[15,23,36,44,36,36,44,66,81,81,100,66]",2025-09-10,"Local pack, Image pack, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",commercial,People also ask,0,true,true,01-03,agency,it_services
it service,1,1,2900,63.0,16.64,https://www.designrush.com/agency/it-services/trends/it-services-for-business,94.0,0.1,1564.0,0.1,24070000000.0,"[19,35,23,35,29,44,23,35,44,29,35,35]",2025-09-10,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Things to know, AI overview","commercial, informational",People also ask,0,true,true,01-03,agency,it_services
it services company,4,4,2400,96.0,16.36,https://www.designrush.com/agency/it-services,72.0,0.08,1177.0,0.09,6070000000.0,"[52,36,44,52,52,52,52,52,80,80,100,100]",2025-09-07,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,it_services
it solutions companies,1,1,320,61.0,14.74,https://www.designrush.com/agency/it-services,62.0,0.07,913.0,0.12,1360000000.0,"[36,29,29,44,19,29,44,44,54,100,66,54]",2025-09-03,"Local pack, Sitelinks, Related searches, AI overview",commercial,AI overview,0,true,true,01-03,agency,it_services
best datacenter proxies,1,1,210,30.0,14.6,https://www.designrush.com/agency/it-services/trends/datacenter-proxy-providers,52.0,0.06,759.0,0.03,212000.0,"[14,22,35,22,54,35,35,43,66,54,66,66]",2025-08-27,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,it_services
information technology examples,2,2,390,42.0,7.4,https://www.designrush.com/agency/it-services/trends/types-of-information-technology,51.0,0.05,377.0,0.02,645000000.0,"[17,59,72,39,39,32,72,39,26,48,32,21]",2025-09-02,"Image pack, Sitelinks, Video, Featured snippet, Related searches",informational,Organic,0,true,true,01-03,agency,it_services
