Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
logo,6,0,135000,100.0,1.49,https://www.designrush.com/agency/logo-design/trends/what-is-logo-design,337.0,0.38,502.0,0.21,23550000000.0,"[44,44,54,67,44,30,44,36,44,54,81,36]",2025-09-11,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask,-6,false,true,04-10,agency,logo
badezimmer logo,1,1,720,18.0,0.0,https://www.designrush.com/agency/logo-design/trends/negative-space-logo,29.0,0.03,0.0,0.0,27300000.0,"[20,45,36,55,16,16,10,81,81,100,55,36]",2025-09-09,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask,0,true,true,01-03,agency,logo
bad boy logo,6,6,1900,24.0,0.0,https://www.designrush.com/agency/logo-design/trends/negative-space-logo,20.0,0.02,0.0,0.0,1700000000.0,"[0,0,44,0,0,44,54,36,36,0,1,0]",2025-09-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask,0,false,true,04-10,agency,logo
top logo design companies,1,1,260,31.0,9.39,https://www.designrush.com/agency/logo-design,9.0,0.01,84.0,0.45,1580000000.0,"[11,11,7,8,5,11,11,31,25,25,16,20]",2025-08-22,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview,0,true,true,01-03,agency,logo
what is logo,1,1,880,39.0,0.0,https://www.designrush.com/agency/logo-design/trends/what-is-logo-design,9.0,0.01,0.0,0.0,13510000000.0,"[30,34,24,30,44,34,13,16,44,30,24,16]",2025-09-10,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,logo
nyc logo design,6,6,260,39.0,4.0,https://www.designrush.com/agency/logo-design/new-york,7.0,0.0,28.0,0.14,550000000.0,"[53,66,66,43,82,66,82,66,66,82,82,53]",2025-09-04,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic,0,false,true,04-10,agency,logo
best logo design company,13,13,720,44.0,9.39,https://www.designrush.com/agency/logo-design/us,5.0,0.0,46.0,0.45,3010000000.0,"[48,48,39,72,48,59,72,59,88,72,88,100]",2025-09-09,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,Organic,0,false,false,11-20,agency,logo
logo design agency in usa,2,2,40,66.0,0.0,https://www.designrush.com/agency/logo-design/us,5.0,0.0,0.0,0.08,696000000.0,"[18,100,100,45,18,18,18,18,18,18,18,18]",2025-08-22,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,true,true,01-03,agency,logo
best logo design company in dubai,1,1,90,11.0,0.0,https://www.designrush.com/agency/logo-design/ae/dubai,5.0,0.0,0.0,0.08,91800000.0,"[23,42,42,23,42,33,80,52,42,52,52,33]",2025-08-24,"Local pack, Image pack, Related searches, Discussions and forums",commercial,Organic,0,true,true,01-03,agency,logo
logo design companies in usa,1,1,50,70.0,5.61,https://www.designrush.com/agency/logo-design/us,4.0,0.0,22.0,0.34,1200000000.0,"[11,11,23,29,29,29,17,11,100,64,17,17]",2025-08-14,"Local pack, Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,logo
logo design company new york,3,3,140,69.0,4.0,https://www.designrush.com/agency/logo-design/new-york,4.0,0.0,16.0,0.14,1010000000.0,"[42,34,26,42,34,65,42,80,26,80,100,65]",2025-08-20,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,true,true,01-03,agency,logo
logo marketing company,3,3,110,24.0,2.67,https://www.designrush.com/agency/logo-design,4.0,0.0,10.0,0.1,2970000000.0,"[66,66,52,52,33,52,42,52,33,42,100,80]",2025-08-25,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,logo
best logo design company in india,2,2,40,19.0,0.0,https://www.designrush.com/agency/logo-design/in,3.0,0.0,0.0,0.05,786000000.0,"[22,33,55,22,22,22,22,55,100,55,55,77]",2025-09-06,"Local pack, Image pack, Video, Video Carousel, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,logo
logo animation studio,4,4,90,36.0,0.0,https://www.designrush.com/agency/logo-design/logo-animation,3.0,0.0,0.0,0.0,340000000.0,"[52,41,41,64,41,82,52,52,100,52,29,41]",2025-08-23,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic,0,false,true,04-10,agency,logo
what is a logo,24,24,2400,37.0,1.56,https://www.designrush.com/agency/logo-design/trends/what-is-logo-design,3.0,0.0,4.0,0.01,25270000000.0,"[10,15,23,23,23,15,23,19,23,23,23,10]",2025-09-08,"Knowledge panel, Video, Image, Related searches, AI overview",informational,Organic,0,false,false,21-50,agency,logo
logo design services singapore,4,4,40,2.0,0.0,https://www.designrush.com/agency/logo-design/sg,2.0,0.0,0.0,0.0,409000000.0,"[20,60,80,80,80,60,80,40,100,100,100,100]",2025-08-28,"Local pack, Image pack, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo
logo design nyc,3,3,140,48.0,4.0,https://www.designrush.com/agency/logo-design/new-york,2.0,0.0,8.0,0.14,598000000.0,"[21,53,43,65,81,81,65,21,34,34,28,43]",2025-08-15,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches","informational, transactional",Organic,0,true,true,01-03,agency,logo
logo design company dubai,4,4,90,33.0,0.0,https://www.designrush.com/agency/logo-design/ae/dubai,2.0,0.0,0.0,0.06,141000000.0,"[64,35,50,50,78,64,50,35,78,78,100,64]",2025-08-23,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo
what's the logo,1,1,40,50.0,0.0,https://www.designrush.com/agency/logo-design/trends/what-is-logo-design,2.0,0.0,0.0,0.0,2080000000.0,"[23,19,9,9,9,9,9,9,9,52,52,9]",2025-08-30,"Knowledge panel, Video, Image, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,logo
los angeles logo designs,9,9,260,41.0,3.66,https://www.designrush.com/agency/logo-design/california/los-angeles,2.0,0.0,7.0,0.14,925000000.0,"[29,44,36,36,0,66,54,23,44,100,19,1]",2025-08-18,"Local pack, Image pack, Video, Image, Related searches, Discussions and forums",commercial,Organic,0,false,true,04-10,agency,logo
logo design florida,5,5,90,3.0,3.41,https://www.designrush.com/agency/logo-design/florida,2.0,0.0,6.0,0.07,511000000.0,"[50,64,64,50,7,78,64,35,64,50,78,64]",2025-08-25,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo
logo design gainesville,4,4,70,10.0,0.0,https://www.designrush.com/agency/logo-design/florida/gainesville,2.0,0.0,0.0,0.48,10100000.0,"[14,14,28,28,35,28,21,64,64,78,100,78]",2025-08-26,"Local pack, Image pack, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo
logo of digital marketing,9,9,110,29.0,1.57,https://www.designrush.com/agency/logo-design/trends/best-digital-marketing-agency-logo-designs,2.0,0.0,3.0,0.07,771000000.0,"[17,17,17,17,66,17,35,43,28,23,23,17]",2025-08-26,"Image pack, Video, Image, Related searches",informational,Organic,0,false,true,04-10,agency,logo
logo design company india,5,5,110,42.0,0.0,https://www.designrush.com/agency/logo-design/in,2.0,0.0,0.0,0.08,1270000000.0,"[52,66,52,9,9,14,52,100,80,80,80,66]",2025-08-25,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo
logo design los angeles ca,10,10,260,40.0,3.66,https://www.designrush.com/agency/logo-design/california/los-angeles,2.0,0.0,7.0,0.14,350000000.0,"[54,100,43,81,35,43,35,29,18,29,100,29]",2025-08-18,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,logo
best logo design company in usa,1,1,40,46.0,5.27,https://www.designrush.com/agency/logo-design,2.0,0.0,10.0,0.49,599000000.0,"[11,11,11,11,29,11,23,29,82,29,23,17]",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview,0,true,true,01-03,agency,logo
