Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
app,4,4,301000,100.0,3.15,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,105.0,0.12,330.0,0.03,20710000000.0,"[81,81,100,81,81,66,81,81,81,66,81,100]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, See results about, Things to know, AI overview",informational,Things to know,0,false,true,04-10,agency,mobile_app
app,4,4,301000,100.0,3.15,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-application-development-platform,105.0,0.12,330.0,0.03,20710000000.0,"[81,81,100,81,81,66,81,81,81,66,81,100]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, See results about, Things to know, AI overview",informational,Things to know,0,false,true,04-10,agency,mobile_app
app dev platforms,1,1,2400,73.0,6.69,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,98.0,0.11,655.0,0.03,847000000.0,"[10,8,3,4,2,10,2,23,100,81,35,35]",2025-09-09,"Sitelinks, Video Carousel, People also ask, Related searches",,People also ask,0,true,true,01-03,agency,mobile_app
apps and download,3,3,8100,95.0,1.37,https://www.designrush.com/agency/mobile-app-design-development/trends/most-downloaded-mobile-apps,97.0,0.11,132.0,0.07,2010000000.0,"[44,44,44,54,44,36,66,54,100,0,0,0]",2025-09-10,"Sitelinks, Video, People also ask, Related searches","informational, transactional",People also ask,0,true,true,01-03,agency,mobile_app
application development firm,3,3,2400,58.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,84.0,0.09,2674.0,0.12,520000000.0,"[54,35,29,100,35,44,16,7,5,1,12,16]",2025-09-08,"Local pack, Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,true,true,01-03,agency,mobile_app
mobile banking app,1,1,6600,68.0,10.2,https://www.designrush.com/agency/mobile-app-design-development/trends/best-mobile-banking-apps,79.0,0.09,805.0,0.14,458000000.0,"[29,29,29,100,54,44,44,44,44,44,54,54]",2025-09-11,"Carousel, Sitelinks, Video, People also ask, Related searches",informational,People also ask,0,true,true,01-03,agency,mobile_app
app creation platform,1,1,1900,97.0,6.69,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,61.0,0.07,408.0,0.03,425000000.0,"[8,2,3,2,36,3,8,28,81,100,43,43]",2025-09-09,"Sitelinks, Video Carousel, People also ask, Related searches, Things to know, AI overview","commercial, informational",People also ask,0,true,true,01-03,agency,mobile_app
mobile banking apps,1,0,5400,72.0,10.2,https://www.designrush.com/agency/mobile-app-design-development/trends/best-mobile-banking-apps,59.0,0.06,601.0,0.14,457000000.0,"[4,19,10,36,100,66,19,44,81,54,29,44]",2025-09-11,"Carousel, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask,-1,true,true,01-03,agency,mobile_app
companies that develop apps,7,7,2400,57.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,57.0,0.06,1814.0,0.12,641000000.0,"[8,5,8,100,5,36,24,28,54,54,43,36]",2025-09-05,"Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,mobile_app
app development on mobile,1,1,3600,75.0,9.47,https://www.designrush.com/agency/mobile-app-design-development/trends/how-to-develop-an-app,54.0,0.06,511.0,0.3,1520000000.0,"[0,0,0,0,0,5,1,2,3,100,66,81]",2025-09-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,mobile_app
top app development companies,1,1,880,50.0,30.1,https://www.designrush.com/agency/mobile-app-design-development,53.0,0.06,1595.0,0.15,1590000000.0,"[24,24,30,36,66,54,66,36,24,36,30,30]",2025-08-28,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview,0,true,true,01-03,agency,mobile_app
mobile app development firm,1,1,1300,63.0,37.5,https://www.designrush.com/agency/mobile-app-design-development,45.0,0.05,1687.0,0.07,81200000.0,"[54,24,16,79,66,100,54,41,66,66,54,41]",2025-09-06,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,mobile_app
retail app development utah,2,2,480,11.0,0.0,https://www.designrush.com/agency/mobile-app-design-development/utah,39.0,0.04,0.0,0.0,4560000.0,[100],2025-09-10,"Local pack, Video, People also ask, Related searches, AI overview","commercial, informational",Organic,0,true,true,01-03,agency,mobile_app
top mobile app development companies,4,4,720,47.0,27.56,https://www.designrush.com/agency/mobile-app-design-development,31.0,0.03,854.0,0.09,458000000.0,"[8,7,10,10,13,13,13,8,18,13,16,13]",2025-08-29,"Sitelinks, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,agency,mobile_app
app making company,8,8,1600,78.0,31.84,https://www.designrush.com/agency/mobile-app-design-development,30.0,0.03,955.0,0.12,3600000000.0,"[36,36,36,100,27,27,80,100,66,20,13,13]",2025-09-08,"Local pack, Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,mobile_app
mobile app,2,2,40500,69.0,1.48,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-app-development-software,30.0,0.03,44.0,0.08,13850000000.0,"[100,54,81,66,36,54,44,36,44,44,36,36]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Things to know,0,true,true,01-03,agency,mobile_app
mobile app,2,2,40500,69.0,1.48,https://www.designrush.com/agency/mobile-app-design-development/trends/mobile-application-development-platform,30.0,0.03,44.0,0.08,13850000000.0,"[100,54,81,66,36,54,44,36,44,44,36,36]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Things to know,0,true,true,01-03,agency,mobile_app
