Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
digitad,3,3,27100,29.0,0.0,https://www.designrush.com/agency/profile/digitad,2222.0,2.56,0.0,0.01,59.0,"[24,16,0,0,0,0,0,0,0,0,0,0]",2025-09-11,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic,0,true,true,01-03,agency,other
user interface design chicago,4,4,9900,11.0,3.74,https://www.designrush.com/agency/ui-ux-design/illinois/chicago,643.0,0.74,2404.0,0.05,24200000.0,"[3,0,0,3,0,2,0,100,20,24,20,16]",2025-09-11,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,other
alias agency,4,5,6600,35.0,0.0,https://www.designrush.com/agency/profile/alias-creative,231.0,0.26,0.0,0.0,10500000.0,"[0,0,0,0,0,7,1,100,100,100,66,81]",2025-09-11,"Local pack, Image pack, Sitelinks, Video",commercial,Organic,1,false,true,04-10,agency,other
digital strategy agency,1,1,1600,71.0,8.95,https://www.designrush.com/agency/digital-strategy-agencies,211.0,0.24,1888.0,0.06,491000000.0,"[20,20,24,36,24,27,44,44,66,44,66,66]",2025-09-08,"Sitelinks, Related searches, Discussions and forums, AI overview",informational,Organic,0,true,true,01-03,other,other
aquare,1,1,2400,33.0,8.35,https://www.designrush.com/agency/profile/aquare,198.0,0.22,1653.0,0.6,60.0,"[22,29,54,43,100,43,54,54,43,65,54,54]",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Image pack,0,true,true,01-03,agency,other
pure media,1,1,720,25.0,2.45,https://www.designrush.com/agency/profile/pure-media,191.0,0.22,467.0,0.0,1500000000.0,"[100,55,67,67,55,55,36,36,100,20,45,30]",2025-09-05,"Knowledge panel, Image pack, Video",informational,Image pack,0,true,true,01-03,agency,other
medl,1,1,720,35.0,9.27,https://www.designrush.com/agency/profile/medl-mobile,191.0,0.22,1770.0,0.06,1370000.0,"[55,100,55,45,45,45,36,45,55,45,30,45]",2025-09-04,"Image pack, Sitelinks, Video, Related searches",informational,Image pack,0,true,true,01-03,agency,other
ensync,1,1,590,41.0,0.0,https://www.designrush.com/agency/profile/ensync-corporation,157.0,0.18,0.0,0.0,65.0,"[36,36,30,30,30,24,30,30,36,55,36,30]",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Tweet, Video, People also ask, Related searches",navigational,Image pack,0,true,true,01-03,agency,other
product design development,1,1,480,43.0,5.56,https://www.designrush.com/agency/product-design/trends/product-design-development,119.0,0.13,661.0,0.2,1050000000.0,"[29,36,36,23,36,54,44,81,100,81,81,54]",2025-09-04,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",informational,Organic,0,true,true,01-03,agency,other
affiliate marketing agency,2,2,1300,32.0,5.74,https://www.designrush.com/agency/affiliate-marketing,106.0,0.12,608.0,0.29,150000000.0,"[100,68,68,68,52,52,52,52,84,68,68,68]",2025-09-08,"Local pack, Image pack, Video, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic,0,true,true,01-03,other,other
nightcafe,1,0,40500,57.0,0.07,https://www.designrush.com/agency/creative-agencies/trends/ai-art-generators,101.0,0.11,7.0,0.18,4160000.0,"[44,66,66,54,54,44,54,54,44,44,44,54]",2025-09-11,"Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Twitter carousel, Related searches, Ads middle",navigational,People also ask,-1,true,true,01-03,trends,other
delmain google reviews,1,1,480,32.0,0.0,https://www.designrush.com/agency/profile/delmain,94.0,0.1,0.0,0.0,13600.0,"[100,0,0,0,0]",2025-09-07,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",commercial,AI overview,0,true,true,01-03,agency,other
lcg 360,7,7,2900,18.0,8.21,https://www.designrush.com/agency/profile/lcg-3600consulting,87.0,0.1,714.0,0.0,70.0,"[100,80,66,100,66,66,80,80,66,66,80,100]",2025-09-07,"Image pack, Related searches",commercial,Organic,0,false,true,04-10,agency,other
digital agencies,5,5,2400,45.0,7.13,https://www.designrush.com/agency/digital-agencies,84.0,0.09,598.0,0.14,512000000.0,"[36,36,44,52,52,52,52,52,80,80,100,80]",2025-09-11,"Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,other
medheave - medical billing services reviews,3,3,1300,9.0,0.0,https://www.designrush.com/agency/profile/medheave-medical-billing,84.0,0.09,0.0,0.0,907.0,"[0,0,100,0]",2025-09-09,"Sitelinks, People also ask, Related searches, AI overview",commercial,Organic,0,true,true,01-03,agency,other
branding agency,8,0,12100,62.0,5.92,https://www.designrush.com/agency/logo-branding/trends/how-to-start-a-branding-company,78.0,0.09,461.0,0.14,1170000000.0,"[36,36,44,44,44,44,54,66,81,66,81,66]",2025-09-11,"Local pack, Image pack, Sitelinks, Related searches, Things to know",commercial,Things to know,-8,false,true,04-10,agency,other
brand book,1,1,1900,40.0,4.01,https://www.designrush.com/agency/logo-branding/trends/brand-book,77.0,0.08,308.0,0.24,3040000000.0,"[55,55,65,55,65,65,65,55,55,65,65,65]",2025-09-10,"Knowledge panel, Video, Image, Ads bottom, People also ask, Related searches, Things to know, Ads middle, AI overview",informational,People also ask,0,true,true,01-03,agency,other
it company branding,2,2,590,16.0,6.22,https://www.designrush.com/agency/logo-branding/trends/best-technology-branding-examples,77.0,0.08,478.0,0.12,4680000000.0,"[13,45,36,20,6,24,100,13,81,6,62,55]",2025-09-02,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,0,true,true,01-03,agency,other
cooth,9,9,2900,23.0,2.05,https://www.designrush.com/agency/profile/cooth,69.0,0.07,141.0,0.16,79.0,"[19,19,19,10,19,24,16,29,29,24,19,16]",2025-09-05,"Image pack, Sitelinks, Video, Related searches","informational, transactional",Organic,0,false,true,04-10,agency,other
lionsorbet app ui,4,4,1000,14.0,0.0,https://www.designrush.com/agency/profile/lionsorbet,65.0,0.07,0.0,0.0,19.0,"[100,0]",2025-09-09,"Image pack, Sitelinks, Video, Related searches",informational,Organic,0,false,true,04-10,agency,other
survey world legit,1,1,2900,26.0,1.57,https://www.designrush.com/agency/call-centers/surveys-companies,63.0,0.07,98.0,0.09,742000000.0,"[43,43,36,43,36,28,8,15,100,81,43,54]",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches","commercial, informational",People also ask,0,true,true,01-03,other,other
