Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
police community relation,1,1,9900,34.0,2.54,https://www.designrush.com/agency/public-relations/trends/what-are-community-relations,64.0,0.07,162.0,0.01,368000000.0,"[0,8,2,1,1,0,0,66,66,100,44,20]",2025-09-10,"Video, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,pr
public affairs,1,1,5400,55.0,4.55,https://www.designrush.com/agency/public-relations/trends/public-affairs,51.0,0.05,232.0,0.01,494000000.0,"[66,100,100,81,81,66,81,81,81,100,81,66]",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask,0,true,true,01-03,agency,pr
san jose public relations,20,19,27100,24.0,0.78,https://www.designrush.com/agency/public-relations/california/san-jose,40.0,0.04,31.0,0.11,28500000.0,"[0,0,0,0,0,0,0,13,100,55,55,67]",2025-09-11,"Local pack, Image pack, Video, Related searches",commercial,Organic,-1,false,false,11-20,agency,pr
australia public relations,2,2,480,31.0,0.85,https://www.designrush.com/agency/public-relations/au,39.0,0.04,33.0,0.06,350000000.0,"[13,10,10,8,13,24,10,8,5,100,62,62]",2025-09-04,"Image pack, Sitelinks, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,pr
media procurement strategy,2,2,260,27.0,0.0,https://www.designrush.com/agency/public-relations/trends/media-buying-strategy,34.0,0.03,0.0,0.0,1610000000.0,"[0,2,2,2,2,2,44,36,81,100,54,36]",2025-09-01,"Sitelinks, Featured snippet, Video Carousel, Related searches, Discussions and forums",informational,Organic,0,true,true,01-03,agency,pr
event companies near me,4,4,2400,25.0,2.15,https://www.designrush.com/agency/public-relations/event-management/trends/types-of-event-management,22.0,0.02,47.0,0.35,1710000000.0,"[54,5,100,66,4,4,5,19,13,4,13,5]",2025-09-10,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",transactional,People also ask,0,false,true,04-10,agency,pr
top pr agencies,8,8,880,38.0,5.86,https://www.designrush.com/agency/public-relations/us,21.0,0.02,123.0,0.22,110000000.0,"[76,100,67,55,36,30,76,55,45,100,67,67]",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Related searches",,Organic,0,false,true,04-10,agency,pr
types of media buying,1,1,140,0.0,0.0,https://www.designrush.com/agency/public-relations/trends/types-of-media-buying,18.0,0.02,0.0,0.01,908000000.0,"[21,21,28,28,28,43,100,65,53,65,53,53]",2025-09-04,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,pr
crisis management companies,4,4,390,27.0,5.22,https://www.designrush.com/agency/public-relations/crisis-communications,17.0,0.01,88.0,0.21,283000000.0,"[5,5,8,10,10,16,13,20,20,16,24,24]",2025-08-15,"Local pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr
media buying strategy,3,3,260,22.0,8.03,https://www.designrush.com/agency/public-relations/trends/media-buying-strategy,16.0,0.01,128.0,0.07,182000000.0,"[18,22,14,29,35,54,66,54,54,54,100,66]",2025-09-07,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic,0,true,true,01-03,agency,pr
what is event management,1,1,390,34.0,2.79,https://www.designrush.com/agency/public-relations/event-management/trends/types-of-event-management,15.0,0.01,41.0,0.02,3150000000.0,"[44,54,66,66,54,54,66,81,66,81,100,35]",2025-08-17,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,People also ask,0,true,true,01-03,agency,pr
automotive public relations,3,3,210,11.0,0.0,https://www.designrush.com/agency/public-relations/automotive,13.0,0.01,0.0,0.09,59000000.0,"[53,53,80,100,100,100,80,80,100,100,80,80]",2025-09-03,"Image pack, Video, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,pr
pr agency australia,1,1,90,25.0,6.88,https://www.designrush.com/agency/public-relations/au,11.0,0.01,75.0,0.16,241000000.0,"[19,19,9,19,9,14,33,52,80,80,100,80]",2025-08-19,"Sitelinks, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,pr
crisis management firm,8,8,480,24.0,5.22,https://www.designrush.com/agency/public-relations/crisis-communications,11.0,0.01,57.0,0.21,138000000.0,"[36,29,44,54,81,81,66,66,100,81,81,66]",2025-09-02,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr
crisis management agency,9,9,480,18.0,5.22,https://www.designrush.com/agency/public-relations/crisis-communications,10.0,0.01,52.0,0.21,282000000.0,"[36,29,19,23,54,44,54,81,100,81,100,67]",2025-09-08,"Image pack, Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr
top public relations firms,11,11,720,39.0,5.86,https://www.designrush.com/agency/public-relations/us,9.0,0.01,52.0,0.22,157000000.0,"[36,36,45,30,30,36,45,30,62,45,62,24]",2025-08-28,"Image pack, Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic,0,false,false,11-20,agency,pr
public relations programming,1,1,70,31.0,9.64,https://www.designrush.com/agency/public-relations/trends/types-of-public-relations-programs,9.0,0.01,86.0,0.14,697000000.0,"[50,50,35,64,35,35,35,64,28,50,100,100]",2025-08-26,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,pr
what are the pr,11,11,720,39.0,0.0,https://www.designrush.com/agency/public-relations/trends/types-of-public-relations-programs,9.0,0.01,0.0,0.0,14340000000.0,"[4,4,5,8,10,100,8,3,4,29,4,0]",2025-09-07,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,false,11-20,agency,pr
community relation,2,2,140,33.0,0.0,https://www.designrush.com/agency/public-relations/trends/what-are-community-relations,9.0,0.01,0.0,0.0,459000000.0,"[19,23,19,23,15,19,29,5,4,4,4,4]",2025-08-17,"Image pack, Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,pr
event management fee charges,1,1,140,12.0,1.87,https://www.designrush.com/agency/public-relations/event-management/trends/event-planner-cost,8.0,0.0,14.0,0.25,1460000000.0,"[53,53,34,34,28,34,43,53,21,28,65,43]",2025-08-25,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview,0,true,true,01-03,agency,pr
how much does a party planner cost,4,4,320,27.0,1.07,https://www.designrush.com/agency/public-relations/event-management/trends/event-planner-cost,7.0,0.0,7.0,0.2,199000000.0,"[82,100,100,100,53,53,82,53,66,66,82,66]",2025-09-01,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr
media buying plan,6,6,260,27.0,0.0,https://www.designrush.com/agency/public-relations/trends/media-buying-strategy,7.0,0.0,0.0,0.03,918000000.0,"[35,35,66,43,100,82,82,66,53,66,66,35]",2025-08-15,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic,0,false,true,04-10,agency,pr
louisiana public relations agency,4,4,110,3.0,0.0,https://www.designrush.com/agency/public-relations/louisiana,7.0,0.0,0.0,0.01,11500000.0,"[3,0,19,26,26,26,15,65,53,80,100,65]",2025-08-28,"Image pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,pr
public affairs meaning,1,0,320,24.0,0.0,https://www.designrush.com/agency/public-relations/trends/public-affairs,7.0,0.0,0.0,0.0,486000000.0,"[43,66,54,66,54,54,81,66,81,66,66,43]",2025-09-12,"Image pack, Video, People also ask, Related searches, AI overview",informational,People also ask,-1,true,true,01-03,agency,pr
what is community relations,4,4,170,27.0,0.0,https://www.designrush.com/agency/public-relations/trends/what-are-community-relations,7.0,0.0,0.0,0.0,695000000.0,"[34,43,53,43,43,43,81,81,65,53,43,34]",2025-08-25,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,pr
pr agencies in australia,1,1,30,18.0,5.85,https://www.designrush.com/agency/public-relations/au,7.0,0.0,40.0,0.24,15100000.0,"[0,11,0,0,11,11,55,55,77,55,77,55]",2025-09-04,"Local pack, Sitelinks, Related searches, AI overview","commercial, informational",Organic,0,true,true,01-03,agency,pr
