Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
seo agency near me,7,9,12100,60.0,19.76,https://www.designrush.com/agency/search-engine-optimization,266.0,0.3,5256.0,0.02,195000000.0,"[13,54,29,24,16,66,54,54,100,54,54,44]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,2,false,true,04-10,agency,seo
best ecommerce seo company,1,1,880,38.0,37.02,https://www.designrush.com/agency/search-engine-optimization/ecommerce-seo,116.0,0.13,4294.0,0.01,16900000.0,"[30,30,67,36,45,67,67,55,100,100,100,45]",2025-09-01,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,seo
seo company australia,1,1,390,48.0,11.65,https://www.designrush.com/agency/search-engine-optimization/au,96.0,0.11,1118.0,0.01,26800000.0,"[36,12,7,67,1,3,54,67,54,100,81,54]",2025-09-02,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,seo
seo company near me,9,12,6600,54.0,23.74,https://www.designrush.com/agency/search-engine-optimization,85.0,0.09,2017.0,0.03,664000000.0,"[23,36,36,29,44,81,36,36,66,44,54,100]",2025-09-11,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",transactional,Organic,3,false,true,04-10,agency,seo
enterprise seo firms,2,2,1000,25.0,0.0,https://www.designrush.com/agency/search-engine-optimization/enterprise-seo,82.0,0.09,0.0,0.0,5180000.0,"[31,37,37,46,52,52,68,68,68,84,100,46]",2025-08-31,"Sitelinks, Video Carousel, Related searches, AI overview",commercial,Organic,0,true,true,01-03,agency,seo
australia seo agency,2,2,590,35.0,11.65,https://www.designrush.com/agency/search-engine-optimization/au,77.0,0.08,897.0,0.01,9300000.0,"[16,16,16,20,24,36,36,30,67,100,100,36]",2025-09-08,"Sitelinks, Related searches",commercial,Organic,0,true,true,01-03,agency,seo
seo agencies,11,9,5400,48.0,21.86,https://www.designrush.com/agency/search-engine-optimization,70.0,0.08,1530.0,0.05,95000000.0,"[43,66,66,81,81,81,66,54,81,81,100,100]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,-2,false,false,11-20,agency,seo
new jersey seo,4,4,1000,33.0,12.67,https://www.designrush.com/agency/search-engine-optimization/new-jersey,65.0,0.07,823.0,0.04,44600000.0,"[20,10,20,4,20,13,13,29,36,36,54,22]",2025-09-05,Related searches,commercial,Organic,0,false,true,04-10,agency,seo
best seo companies uk,1,1,260,24.0,14.18,https://www.designrush.com/agency/search-engine-optimization/uk,64.0,0.07,907.0,0.0,180000000.0,"[19,19,19,19,19,36,36,36,12,29,100,1]",2025-08-17,"Sitelinks, Related searches, AI overview",commercial,Organic,0,true,true,01-03,agency,seo
multilingual seo agency,1,1,480,13.0,0.0,https://www.designrush.com/agency/search-engine-optimization/multilingual,63.0,0.07,0.0,0.0,568000.0,"[10,8,24,30,30,30,24,30,45,67,100,55]",2025-09-02,AI overview,"commercial, informational",Organic,0,true,true,01-03,agency,seo
