Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
free streaming services,1,0,22200,59.0,1.17,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,244.0,0.28,285.0,0.25,1160000000.0,"[54,36,36,36,100,54,66,24,29,24,24,24]",2025-09-11,"Top stories, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",informational,People also ask,-1,true,true,01-03,agency,video
video production company,4,4,6600,79.0,7.07,https://www.designrush.com/agency/video-production,125.0,0.14,883.0,0.08,6600000000.0,"[29,44,54,66,66,66,66,54,81,81,81,100]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,video
streaming sites,3,4,9900,60.0,2.54,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,108.0,0.12,274.0,0.08,2530000000.0,"[44,54,66,100,100,66,81,81,100,66,66,54]",2025-09-11,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,1,true,true,01-03,agency,video
the streameast,4,4,18100,31.0,3.18,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,81.0,0.09,257.0,0.0,2830000.0,"[29,54,100,81,100,67,54,36,29,44,54,44]",2025-09-10,"Top stories, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask,0,false,true,04-10,agency,video
streaming websites,2,2,4400,83.0,2.41,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,52.0,0.06,125.0,0.04,1100000000.0,"[54,66,54,66,100,66,66,66,81,54,54,43]",2025-09-11,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,People also ask,0,true,true,01-03,agency,video
video production nyc,7,7,2400,44.0,7.04,https://www.designrush.com/agency/video-production/new-york,52.0,0.06,366.0,0.07,130000000.0,"[7,15,43,43,43,66,54,100,24,3,5,5]",2025-09-07,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,video
best free streaming sites,3,3,4400,63.0,1.22,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,48.0,0.05,58.0,0.01,1120000000.0,"[100,81,66,81,66,81,81,66,66,54,54,54]",2025-09-09,"Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,People also ask,0,true,true,01-03,agency,video
video production companies,4,4,1600,47.0,8.61,https://www.designrush.com/agency/video-production,48.0,0.05,413.0,0.17,1930000000.0,"[22,20,29,36,36,36,36,29,43,43,54,54]",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,video
video production company new york,6,6,1900,44.0,7.04,https://www.designrush.com/agency/video-production/new-york,45.0,0.05,316.0,0.07,1460000000.0,"[44,100,82,82,100,100,82,82,100,8,13,20]",2025-09-08,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,video
animation specialists,3,3,590,37.0,5.39,https://www.designrush.com/agency/video-production/animation,38.0,0.04,204.0,0.33,79200000.0,"[36,100,16,2,2,2,2,3,3,4,2,0]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,video
top video production companies,2,2,260,26.0,7.53,https://www.designrush.com/agency/video-production,34.0,0.03,256.0,0.12,1160000000.0,"[43,35,54,66,66,43,43,35,66,66,100,54]",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Related searches, Discussions and forums",commercial,Organic,0,true,true,01-03,agency,video
documentary companies,1,1,210,8.0,2.98,https://www.designrush.com/agency/video-production/documentary,27.0,0.03,80.0,0.13,338000000.0,"[53,65,65,100,100,53,53,53,81,65,81,65]",2025-09-06,"Local pack, Image pack, Video, Image, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,video
documentary production companies,1,1,320,4.0,3.14,https://www.designrush.com/agency/video-production/documentary,26.0,0.03,81.0,0.26,322000000.0,"[53,43,66,100,100,66,100,66,66,82,82,82]",2025-08-29,"Carousel, Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,video
what is video production,1,1,590,46.0,0.0,https://www.designrush.com/agency/video-production/trends/what-is-video-production,24.0,0.02,0.0,0.0,2340000000.0,"[48,88,59,88,59,48,59,59,72,72,39,59]",2025-09-10,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,video
video production new york,9,9,1900,46.0,7.04,https://www.designrush.com/agency/video-production/new-york,24.0,0.02,168.0,0.07,607000000.0,"[4,100,2,19,36,54,43,15,36,15,5,10]",2025-09-07,"Local pack, Video, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,video
documentary film companies,1,1,170,17.0,2.98,https://www.designrush.com/agency/video-production/documentary,22.0,0.02,65.0,0.13,255000000.0,"[10,10,10,13,10,10,10,6,4,6,13,8]",2025-08-15,"Image pack, Image, Video Carousel, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,video
video production firms,6,6,880,62.0,7.07,https://www.designrush.com/agency/video-production,19.0,0.02,134.0,0.08,35600000.0,"[8,16,4,8,3,8,8,100,16,7,22,5]",2025-09-03,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,video
video production studio,7,7,880,43.0,5.11,https://www.designrush.com/agency/video-production,19.0,0.02,97.0,0.12,1530000000.0,"[55,36,55,36,55,55,55,45,67,100,100,100]",2025-08-28,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,video
stream sites,2,2,1600,94.0,2.54,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,19.0,0.02,48.0,0.08,15590000000.0,"[41,36,100,79,54,66,79,79,66,54,54,36]",2025-09-08,"Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask,0,true,true,01-03,agency,video
best sites for online streaming,3,3,1600,55.0,2.81,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,17.0,0.01,47.0,0.09,1140000000.0,"[36,44,13,20,10,44,5,80,100,80,52,52]",2025-09-10,"Video, People also ask, Related searches",commercial,People also ask,0,true,true,01-03,agency,video
great streaming sites,3,3,1600,55.0,2.81,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,17.0,0.01,47.0,0.09,1110000000.0,"[36,44,13,20,10,44,5,80,100,80,52,52]",2025-09-10,"Sitelinks, Video, People also ask, Related searches, Discussions and forums",informational,People also ask,0,true,true,01-03,agency,video
best sites to watch tv series free,8,8,720,46.0,1.53,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,17.0,0.01,26.0,0.01,5720000000.0,"[45,55,24,30,16,67,13,100,100,100,67,67]",2025-09-03,"Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,video
video production company nyc,9,9,1300,44.0,7.04,https://www.designrush.com/agency/video-production/new-york,16.0,0.01,112.0,0.07,438000000.0,"[16,30,65,55,44,82,65,100,16,7,11,13]",2025-09-08,"Local pack, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,video
