Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
website design company,3,4,14800,83.0,13.79,https://www.designrush.com/agency/website-design-development,1213.0,1.4,16727.0,0.12,3700000000.0,"[81,81,81,100,81,81,100,81,100,100,100,100]",2025-09-12,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,1,true,true,01-03,agency,web_design
web design company,3,3,22200,91.0,13.79,https://www.designrush.com/agency/website-design-development,777.0,0.89,10714.0,0.12,2930000000.0,"[44,54,54,54,54,54,54,54,67,67,100,81]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,0,true,true,01-03,agency,web_design
web design agency,7,7,18100,87.0,9.43,https://www.designrush.com/agency/website-design-development,543.0,0.62,5120.0,0.11,1040000000.0,"[66,66,81,81,81,81,81,66,100,100,100,100]",2025-09-10,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Discussions and forums, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_design
best web design company,1,1,1900,71.0,13.42,https://www.designrush.com/agency/website-design-development,471.0,0.54,6320.0,0.06,3150000000.0,"[34,44,44,55,34,44,55,65,100,65,82,100]",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
web design companies,2,2,4400,82.0,13.79,https://www.designrush.com/agency/website-design-development,360.0,0.41,4964.0,0.12,1400000000.0,"[29,29,29,36,36,36,36,36,44,66,54,54]",2025-09-09,"Local pack, Image pack, Sitelinks, Video, Related searches, See results about, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
website design agency,6,7,8100,91.0,9.43,https://www.designrush.com/agency/website-design-development,283.0,0.32,2668.0,0.11,1100000000.0,"[44,44,54,54,66,66,66,54,66,81,100,100]",2025-09-12,"Local pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle",commercial,Organic,1,false,true,04-10,agency,web_design
best website contractors in texas,1,1,1900,16.0,0.0,https://www.designrush.com/agency/website-design-development/texas,250.0,0.28,0.0,0.0,61700000.0,[100],2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
top web design companies,1,1,1000,34.0,11.09,https://www.designrush.com/agency/website-design-development,248.0,0.28,2750.0,0.07,1550000000.0,"[81,55,45,62,55,55,62,62,81,81,81,100]",2025-09-08,"Local pack, Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
website design firms,1,1,3600,72.0,13.79,https://www.designrush.com/agency/website-design-development,234.0,0.27,3226.0,0.12,230000000.0,"[3,36,66,3,44,54,100,4,29,5,7,23]",2025-09-08,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,true,true,01-03,agency,web_design
top website design companies,1,1,880,39.0,11.09,https://www.designrush.com/agency/website-design-development,218.0,0.25,2417.0,0.07,1540000000.0,"[36,20,36,16,13,24,8,36,66,54,100,54]",2025-09-02,"Local pack, Image pack, Sitelinks, Video, Ads top, People also ask, Related searches, Discussions and forums",commercial,Organic,0,true,true,01-03,agency,web_design
website redesign houston,3,3,2400,60.0,15.3,https://www.designrush.com/agency/website-design-development/texas/houston,196.0,0.22,2998.0,0.04,8800000.0,"[19,19,7,10,5,24,3,81,100,100,43,43]",2025-09-10,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,true,true,01-03,agency,web_design
web design firms,2,2,3600,61.0,13.79,https://www.designrush.com/agency/website-design-development,158.0,0.18,2178.0,0.12,230000000.0,"[66,36,8,2,19,100,36,10,13,13,19,15]",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle",commercial,Organic,0,true,true,01-03,agency,web_design
website design companies,1,1,2400,67.0,13.79,https://www.designrush.com/agency/website-design-development,156.0,0.18,2151.0,0.12,1620000000.0,"[52,44,52,66,52,52,52,80,100,80,80,80]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Ads top, Related searches",commercial,Organic,0,true,true,01-03,agency,web_design
largest web design companies,1,1,590,34.0,11.09,https://www.designrush.com/agency/website-design-development,146.0,0.16,1619.0,0.07,262000000.0,"[20,16,11,8,7,8,13,68,100,31,68,20]",2025-09-10,"Sitelinks, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic,0,true,true,01-03,agency,web_design
best website design firms,1,1,590,53.0,11.09,https://www.designrush.com/agency/website-design-development,146.0,0.16,1619.0,0.07,147000000.0,"[37,31,11,11,20,3,25,20,37,84,100,37]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
website design firm,3,3,2900,82.0,13.79,https://www.designrush.com/agency/website-design-development,101.0,0.11,1392.0,0.12,549000000.0,"[10,54,5,13,44,5,29,15,15,100,5,10]",2025-09-11,"Local pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle",commercial,Organic,0,true,true,01-03,agency,web_design
website creation company,6,6,2900,100.0,13.79,https://www.designrush.com/agency/website-design-development,101.0,0.11,1392.0,0.12,755000000.0,"[15,54,3,3,23,100,23,4,23,4,1,10]",2025-09-07,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Ads middle",,Organic,0,false,true,04-10,agency,web_design
random websites,10,10,4400,30.0,0.0,https://www.designrush.com/agency/website-design-development/trends/pointless-websites,96.0,0.11,0.0,0.0,2220000000.0,"[10,7,8,10,10,13,13,16,19,24,24,13]",2025-09-08,"Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,web_design
useless websites,7,8,12100,36.0,0.0,https://www.designrush.com/agency/website-design-development/trends/pointless-websites,96.0,0.11,0.0,0.0,135000000.0,"[13,13,20,24,20,16,24,20,13,20,16,5]",2025-09-11,"Image pack, Sitelinks, Video, Related searches",navigational,Organic,1,false,true,04-10,agency,web_design
