Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
digital marketing and advertising agency,13,22,3600,91.0,8.13,https://www.designrush.com/agency/digital-marketing,2.0,0.0,16.0,0.15,312000000.0,"[0,66,0,100,15,54,29,15,23,15,10,13]",2025-09-11,"Local pack, Sitelinks, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",commercial,Organic,9,false,false,11-20,other,digital_marketing
agency online marketing,5,13,90,83.0,0.0,https://www.designrush.com/agency/digital-marketing,3.0,0.0,0.0,0.0,688000000.0,"[9,3,6,6,3,34,34,100,34,34,43,21]",2025-09-11,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",informational,Organic,8,false,true,04-10,other,digital_marketing
digital marketing company,7,13,22200,85.0,7.07,https://www.designrush.com/agency/digital-marketing,6.0,0.0,42.0,0.21,1830000000.0,"[44,67,67,54,54,54,67,67,81,81,100,100]",2025-09-11,"Local pack, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",commercial,Organic,6,false,true,04-10,other,digital_marketing
digital advertising company,5,11,480,87.0,14.28,https://www.designrush.com/agency/digital-marketing,6.0,0.0,85.0,0.15,2570000000.0,"[44,54,54,54,54,54,67,81,67,81,10,54]",2025-09-11,"Local pack, Sitelinks, Ads top, Video Carousel, People also ask, Related searches",commercial,Organic,6,false,true,04-10,other,digital_marketing
digital marketing companies nj,7,13,70,62.0,7.55,https://www.designrush.com/agency/digital-marketing/new-jersey,1.0,0.0,7.0,0.06,49800000.0,"[7,0,28,35,50,50,50,35,64,78,100,100]",2025-09-11,"Local pack, Sitelinks, Related searches",commercial,Organic,6,false,true,04-10,geo,digital_marketing
china marketing agency,9,14,140,43.0,9.27,https://www.designrush.com/agency/digital-marketing/cn,3.0,0.0,27.0,0.06,253000000.0,"[34,26,42,53,42,42,53,42,65,53,65,100]",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic,5,false,true,04-10,other,digital_marketing
digital marketing agency in the philippines,5,9,170,52.0,17.26,https://www.designrush.com/agency/digital-marketing/ph,4.0,0.0,69.0,0.1,135000000.0,"[28,21,34,34,53,100,81,53,81,65,53,28]",2025-09-11,"Local pack, Sitelinks, Video, Image, Ads bottom, Related searches, Ads middle",commercial,Organic,4,false,true,04-10,other,digital_marketing
digital marketing car dealerships,3,5,50,46.0,19.56,https://www.designrush.com/agency/digital-marketing/trends/digital-marketing-for-car-dealerships,3.0,0.0,58.0,0.11,66000000.0,"[3,3,3,3,100,7,7,11,19,19,53,15]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,2,true,true,01-03,trends,digital_marketing
massachusetts digital marketing agency,2,4,50,25.0,5.09,https://www.designrush.com/agency/digital-marketing/massachusetts,2.0,0.0,10.0,0.1,8420000.0,"[100,55,22,77,44,77,44,33,44,44,33,44]",2025-09-11,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,2,true,true,01-03,geo,digital_marketing
digital marketing for automotive dealers,3,4,110,39.0,19.56,https://www.designrush.com/agency/digital-marketing/trends/digital-marketing-for-car-dealerships,9.0,0.01,176.0,0.11,17500000.0,"[0,0,19,53,53,100,19,15,15,100,53,42]",2025-09-11,"Sitelinks, Video, People also ask, Related searches",informational,Organic,1,true,true,01-03,trends,digital_marketing
internet marketing agency,18,19,5400,93.0,7.95,https://www.designrush.com/agency/digital-marketing,8.0,0.0,63.0,0.1,481000000.0,"[23,29,29,36,44,44,36,36,66,44,66,44]",2025-09-11,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches",commercial,Organic,1,false,false,11-20,other,digital_marketing
digital marketing agency hyderabad,2,3,140,58.0,5.36,https://www.designrush.com/agency/digital-marketing/in/hyderabad,6.0,0.0,32.0,0.1,39500000.0,"[52,66,66,66,80,66,80,52,80,80,100,52]",2025-09-11,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic,1,true,true,01-03,other,digital_marketing
digital marketing company in the philippines,1,2,50,48.0,45.55,https://www.designrush.com/agency/digital-marketing/ph,3.0,0.0,136.0,0.05,110000000.0,"[36,36,27,9,36,45,36,45,63,63,100,63]",2025-09-11,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,1,true,true,01-03,other,digital_marketing
