Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
bpo industry,34,80,9900,55.0,9.42,https://www.designrush.com/agency/bpo/trends/what-is-bpo,2.0,0.0,18.0,0.16,53800000.0,"[54,66,66,81,81,81,66,29,44,81,36,44]",2025-09-11,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches, Things to know",informational,Organic,46,false,false,21-50,trends,other
websolutions.llc,53,61,22200,25.0,0.0,https://www.designrush.com/agency/profile/bighorn-web-solutions-llc,2.0,0.0,0.0,0.0,15000000.0,"[0,0,0,0,0,0,0,2,100,81,0,0]",2025-09-11,"Sitelinks, People also ask",informational,Organic,8,false,false,51+,agency,other
orange county digital marketing agency,4,11,70,53.0,9.29,https://www.designrush.com/agency/digital-agencies/california/orange-county,2.0,0.0,18.0,0.13,6570000.0,"[0,35,28,0,50,50,78,64,100,100,100,78]",2025-09-11,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,7,false,true,04-10,geo,other
brand development service,10,16,110,15.0,6.57,https://www.designrush.com/agency/logo-branding/trends/branding-services,2.0,0.0,13.0,0.04,1320000000.0,"[14,14,19,33,42,33,66,100,100,66,52,42]",2025-09-12,"Local pack, Image pack, Related searches, AI overview",informational,Organic,6,false,true,04-10,agency,other
bpo meaning,22,25,8100,69.0,2.52,https://www.designrush.com/agency/bpo/trends/what-is-bpo,12.0,0.01,30.0,0.0,42200000.0,"[66,66,66,81,66,54,66,66,66,66,66,66]",2025-09-11,"Image pack, Video, Featured snippet, People also ask, Related searches",informational,Organic,3,false,false,21-50,trends,other
atlanta cpa firm,5,8,90,43.0,6.64,https://www.designrush.com/agency/accounting/georgia/atlanta,2.0,0.0,13.0,0.34,1130000.0,"[11,29,23,29,29,17,41,29,82,100,100,100]",2025-09-11,"Local pack, Sitelinks, Related searches",commercial,Organic,3,false,true,04-10,geo,other
animis,18,21,880,24.0,0.0,https://www.designrush.com/agency/profile/animis-global,2.0,0.0,0.0,0.0,93.0,"[13,24,13,16,29,16,16,10,10,10,8,16]",2025-09-11,"Sitelinks, People also ask",informational,Organic,3,false,false,11-20,agency,other
prototype manufacturers,4,6,260,36.0,13.09,https://www.designrush.com/agency/product-design/prototype,7.0,0.0,91.0,0.12,119000000.0,"[54,6,11,28,23,66,44,66,18,100,44,100]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,2,false,true,04-10,agency,other
branding services for small businesses,7,9,140,27.0,7.29,https://www.designrush.com/agency/logo-branding/small-business,3.0,0.0,21.0,0.09,1280000000.0,"[3,1,15,5,1,5,15,18,44,35,81,44]",2025-09-11,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic,2,false,true,04-10,agency,other
brand research,15,17,880,34.0,5.25,https://www.designrush.com/agency/logo-branding/trends/research-on-branding,2.0,0.0,10.0,0.24,2460000000.0,"[24,24,36,55,45,55,67,55,76,100,100,100]",2025-09-11,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Ads middle",informational,Organic,2,false,false,11-20,agency,other
alias agency,4,5,6600,35.0,0.0,https://www.designrush.com/agency/profile/alias-creative,231.0,0.26,0.0,0.0,10500000.0,"[0,0,0,0,0,7,1,100,100,100,66,81]",2025-09-11,"Local pack, Image pack, Sitelinks, Video",commercial,Organic,1,false,true,04-10,agency,other
prototype development companies,4,5,50,25.0,14.06,https://www.designrush.com/agency/product-design/prototype,3.0,0.0,42.0,0.05,86500000.0,"[0,0,2,17,17,28,23,12,12,17,17,12]",2025-09-11,"Local pack, Sitelinks, Related searches",commercial,Organic,1,false,true,04-10,agency,other
net neutrality,1,2,18100,59.0,2.19,https://www.designrush.com/agency/business-consulting/trends/net-neutrality-pros-and-cons,2.0,0.0,4.0,0.01,455000000.0,"[11,11,11,13,20,11,67,13,11,11,9,11]",2025-09-12,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Things to know,1,true,true,01-03,agency,other
brand management,2,3,6600,54.0,7.38,https://www.designrush.com/agency/logo-branding/brand-strategy/trends/brand-strategy-examples,2.0,0.0,14.0,0.22,2920000000.0,"[100,100,81,66,66,66,66,66,66,66,81,66]",2025-09-11,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Things to know,1,true,true,01-03,agency,other
