Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
best seo services in uae,5,90,110,20.0,13.06,https://www.designrush.com/agency/search-engine-optimization/ae,2.0,0.0,26.0,0.02,7100000.0,"[6,9,21,0,6,43,65,21,43,21,100,34]",2025-09-11,"Sitelinks, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,85,false,true,04-10,agency,seo
seo ecommerce services,4,28,260,37.0,16.78,https://www.designrush.com/agency/search-engine-optimization/ecommerce-seo,16.0,0.01,268.0,0.02,22300000.0,"[15,4,2,54,54,36,4,54,12,54,100,54]",2025-09-11,"Sitelinks, Video, Related searches",commercial,Organic,24,false,true,04-10,agency,seo
linkbuilding company,4,21,50,44.0,17.19,https://www.designrush.com/agency/search-engine-optimization/link-building,3.0,0.0,51.0,0.14,5570000.0,"[18,18,0,100,45,63,63,45,27,63,81,27]",2025-09-11,"Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle","commercial, informational",Organic,17,false,true,04-10,agency,seo
manchester seo services,7,17,210,6.0,0.0,https://www.designrush.com/agency/search-engine-optimization/new-hampshire/manchester,4.0,0.0,0.0,0.0,7280000.0,"[18,18,18,23,28,54,54,18,44,44,100,35]",2025-09-11,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,10,false,true,04-10,agency,seo
website seo perth,5,14,140,40.0,27.23,https://www.designrush.com/agency/search-engine-optimization/au/perth,3.0,0.0,81.0,0.05,2000000.0,"[0,0,0,42,3,42,80,65,100,100,100,100]",2025-09-11,"Local pack, People also ask, Related searches",informational,Organic,9,false,true,04-10,agency,seo
seo company in charlotte,16,24,880,17.0,12.62,https://www.designrush.com/agency/search-engine-optimization/north-carolina/charlotte,2.0,0.0,25.0,0.04,8500000.0,"[20,16,13,30,7,16,11,24,8,100,44,34]",2025-09-12,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic,8,false,false,11-20,agency,seo
local seo company,25,32,8100,45.0,25.01,https://www.designrush.com/agency/search-engine-optimization/local-seo,12.0,0.01,300.0,0.04,98100000.0,"[36,29,54,54,54,54,66,54,81,81,100,81]",2025-09-11,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,7,false,false,21-50,agency,seo
charleston search engine optimization,9,14,210,6.0,0.0,https://www.designrush.com/agency/search-engine-optimization/south-carolina/charleston,4.0,0.0,0.0,0.0,553000.0,"[34,34,53,81,81,53,53,53,100,100,100,81]",2025-09-11,"Video, Related searches, AI overview","commercial, informational",Organic,5,false,true,04-10,agency,seo
seo consulting services india,6,11,90,48.0,0.0,https://www.designrush.com/agency/search-engine-optimization/in,2.0,0.0,0.0,0.0,7440000.0,"[5,11,29,17,17,41,82,64,100,82,100,64]",2025-09-11,"Sitelinks, Related searches, AI overview",commercial,Organic,5,false,true,04-10,agency,seo
seo agency for restaurants,7,12,90,10.0,8.4,https://www.designrush.com/agency/search-engine-optimization/restaurant,2.0,0.0,16.0,0.05,4680000.0,"[17,11,41,17,41,82,64,82,82,100,100,41]",2025-09-11,"Local pack, Video, Related searches, AI overview","commercial, informational",Organic,5,false,true,04-10,agency,seo
san antonio seo,8,12,720,25.0,21.12,https://www.designrush.com/agency/search-engine-optimization/texas/san-antonio,15.0,0.01,316.0,0.04,37000000.0,"[46,31,20,31,31,37,31,37,46,46,46,52]",2025-09-11,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,4,false,true,04-10,agency,seo
liverpool seo agency,8,12,170,26.0,0.0,https://www.designrush.com/agency/search-engine-optimization/uk/liverpool,4.0,0.0,0.0,0.0,869000.0,"[8,18,18,18,18,18,15,18,28,44,100,35]",2025-09-11,"Local pack, Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic,4,false,true,04-10,agency,seo
youtube seo,31,35,4400,67.0,2.75,https://www.designrush.com/agency/search-engine-optimization/trends/what-is-youtube-seo,3.0,0.0,8.0,0.16,866000000.0,"[10,10,10,10,10,10,13,13,13,13,19,16]",2025-09-11,"Sitelinks, Video, People also ask, Related searches",informational,Organic,4,false,false,21-50,agency,seo
seo company near me,9,12,6600,54.0,23.74,https://www.designrush.com/agency/search-engine-optimization,85.0,0.09,2017.0,0.03,664000000.0,"[23,36,36,29,44,81,36,36,66,44,54,100]",2025-09-11,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",transactional,Organic,3,false,true,04-10,agency,seo
seo agency near me,7,9,12100,60.0,19.76,https://www.designrush.com/agency/search-engine-optimization,266.0,0.3,5256.0,0.02,195000000.0,"[13,54,29,24,16,66,54,54,100,54,54,44]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,2,false,true,04-10,agency,seo
