Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
web designers near me,22,54,8100,57.0,14.75,https://www.designrush.com/agency/website-design-development/new-jersey,2.0,0.0,29.0,0.19,4560000000.0,"[44,29,66,100,24,54,44,36,54,54,29,29]",2025-09-12,"Local pack, Image pack, Video, Ads bottom, People also ask, Related searches, Ads middle",transactional,Organic,32,false,false,21-50,agency,web_design
web design agency virginia,1,12,140,8.0,13.65,https://www.designrush.com/agency/website-design-development/virginia,9.0,0.01,122.0,0.06,22200000.0,"[34,42,65,42,42,42,42,80,80,100,42,53]",2025-09-12,"Local pack, Sitelinks, Ads bottom, Related searches, Ads middle",commercial,Organic,11,true,true,01-03,agency,web_design
web designer brisbane,4,13,210,45.0,0.0,https://www.designrush.com/agency/website-design-development/au/brisbane,6.0,0.0,0.0,0.19,12100000.0,"[0,28,28,5,35,35,82,53,100,82,100,82]",2025-09-11,"Local pack, Video, Related searches",commercial,Organic,9,false,true,04-10,agency,web_design
b2b web design company,4,13,110,25.0,33.55,https://www.designrush.com/agency/website-design-development/b2b,4.0,0.0,134.0,0.03,64200000.0,"[15,6,21,0,6,6,53,53,100,65,81,43]",2025-09-11,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",informational,Organic,9,false,true,04-10,agency,web_design
website designer houston tx,7,15,110,54.0,14.79,https://www.designrush.com/agency/website-design-development/texas/houston,2.0,0.0,29.0,0.13,89600000.0,"[28,28,15,5,18,8,3,1,6,8,100,8]",2025-09-11,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,8,false,true,04-10,agency,web_design
website design and seo companies,1,8,50,67.0,18.0,https://www.designrush.com/agency/website-design-development,6.0,0.0,108.0,0.02,50000000.0,"[4,0,29,0,0,22,8,6,14,18,14,14]",2025-09-11,"Local pack, Sitelinks, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic,7,true,true,01-03,agency,web_design
phoenix web design,12,18,590,45.0,10.73,https://www.designrush.com/agency/website-design-development/arizona/phoenix,2.0,0.0,21.0,0.07,277000000.0,"[55,55,24,24,24,30,24,24,30,30,36,45]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,6,false,false,11-20,agency,web_design
website design tn,7,11,90,57.0,0.0,https://www.designrush.com/agency/website-design-development/tennessee,1.0,0.0,0.0,0.0,420000000.0,"[66,42,19,33,42,19,33,23,14,42,100,66]",2025-09-11,"Local pack, Image, Related searches",commercial,Organic,4,false,true,04-10,agency,web_design
website design company in india,1,4,210,75.0,0.0,https://www.designrush.com/agency/website-design-development/in,13.0,0.01,0.0,0.0,2000000000.0,"[82,10,35,53,28,28,43,66,66,82,82,100]",2025-09-11,"Local pack, Sitelinks, Related searches",commercial,Organic,3,true,true,01-03,agency,web_design
web design statistics,5,8,170,50.0,0.0,https://www.designrush.com/agency/website-design-development/trends/web-design-statistics,7.0,0.0,0.0,0.01,935000000.0,"[43,28,53,34,28,34,53,53,100,100,65,53]",2025-09-11,"Image pack, Sitelinks, Video, Related searches, Datasets","commercial, informational",Organic,3,false,true,04-10,agency,web_design
seo and web design company,1,3,390,88.0,18.0,https://www.designrush.com/agency/website-design-development,51.0,0.05,918.0,0.02,84700000.0,"[20,2,7,3,5,4,3,13,20,100,25,20]",2025-09-11,"Local pack, Sitelinks, Related searches, AI overview",commercial,Organic,2,true,true,01-03,agency,web_design
random website,13,15,5400,34.0,0.0,https://www.designrush.com/agency/website-design-development/trends/pointless-websites,48.0,0.05,0.0,0.0,1700000000.0,"[13,29,29,29,29,29,24,29,44,54,54,16]",2025-09-11,"Sitelinks, Video, Related searches",commercial,Organic,2,false,false,11-20,agency,web_design
web design agency michigan,4,6,170,59.0,8.6,https://www.designrush.com/agency/website-design-development/michigan,5.0,0.0,43.0,0.03,13400000.0,"[17,17,35,28,23,17,43,43,100,100,66,66]",2025-09-11,"Local pack, Sitelinks, Related searches",commercial,Organic,2,false,true,04-10,agency,web_design
web design agency in india,1,3,50,73.0,8.1,https://www.designrush.com/agency/website-design-development/in,3.0,0.0,24.0,0.05,150000000.0,"[22,11,11,100,11,44,100,44,55,100,100,77]",2025-09-11,"Local pack, Sitelinks, Related searches, Discussions and forums",commercial,Organic,2,true,true,01-03,agency,web_design
web design panama city,3,5,70,24.0,0.0,https://www.designrush.com/agency/website-design-development/florida/panama-city,2.0,0.0,0.0,0.01,50900000.0,"[14,14,14,78,78,14,28,78,50,64,100,78]",2025-09-11,"Local pack, Image pack, Related searches",commercial,Organic,2,true,true,01-03,agency,web_design
website design agency bangkok,3,5,40,23.0,0.0,https://www.designrush.com/agency/website-design-development/th,1.0,0.0,0.0,0.11,5910000.0,"[28,28,28,71,71,100,100,57,42,28,57,57]",2025-09-11,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,2,true,true,01-03,agency,web_design
website design company,3,4,14800,83.0,13.79,https://www.designrush.com/agency/website-design-development,1213.0,1.4,16727.0,0.12,3700000000.0,"[81,81,81,100,81,81,100,81,100,100,100,100]",2025-09-12,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,1,true,true,01-03,agency,web_design
