service,keywords,traffic,traffic_cost,avg_position,improving,declining
web_design,1523,15680.0,154436.0,4.5646749835850295,24,17
other,1912,15217.0,59406.0,5.429393305439331,14,12
seo,1850,11633.0,127797.0,6.228108108108108,26,12
web_dev,967,11171.0,128653.0,3.344364012409514,7,9
digital_marketing,798,5666.0,46507.0,5.219298245614035,13,11
ppc,431,3480.0,68631.0,4.2645011600928076,6,3
mobile_app,490,3205.0,48053.0,5.655102040816327,2,10
it_services,323,2676.0,37912.0,4.826625386996904,1,7
advertising,394,2125.0,11873.0,4.888324873096447,4,2
video,224,1970.0,7736.0,7.589285714285714,1,7
software_dev,254,1797.0,24706.0,5.68503937007874,5,7
social,194,1200.0,6604.0,7.195876288659794,0,2
pr,188,931.0,3421.0,4.670212765957447,2,4
ecommerce,125,891.0,15836.0,3.392,1,4
logo,32,478.0,775.0,5.71875,0,1
ai,41,402.0,1718.0,8.512195121951219,1,1
email,58,395.0,4531.0,3.603448275862069,1,5
content,63,383.0,837.0,4.555555555555555,0,0
cybersecurity,65,279.0,1269.0,3.1538461538461537,0,1
hr_outsourcing,43,251.0,1787.0,5.511627906976744,0,2
cms_platform,25,201.0,2790.0,5.32,0,0
