Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
digitad,3,3,27100,29.0,0.0,https://www.designrush.com/agency/profile/digitad,2222.0,2.56,0.0,0.01,59.0,"[24,16,0,0,0,0,0,0,0,0,0,0]",2025-09-11,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic,0,true,true,01-03,agency,other
website design company,3,4,14800,83.0,13.79,https://www.designrush.com/agency/website-design-development,1213.0,1.4,16727.0,0.12,3700000000.0,"[81,81,81,100,81,81,100,81,100,100,100,100]",2025-09-12,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,1,true,true,01-03,agency,web_design
web development agency,2,2,8100,80.0,12.89,https://www.designrush.com/agency/web-development-companies,1069.0,1.23,13779.0,0.19,6970000000.0,"[36,36,54,54,54,54,54,54,81,81,100,100]",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, See results about, Ads middle",commercial,Organic,0,true,true,01-03,agency,web_dev
web design company,3,3,22200,91.0,13.79,https://www.designrush.com/agency/website-design-development,777.0,0.89,10714.0,0.12,2930000000.0,"[44,54,54,54,54,54,54,54,67,67,100,81]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,0,true,true,01-03,agency,web_design
user interface design chicago,4,4,9900,11.0,3.74,https://www.designrush.com/agency/ui-ux-design/illinois/chicago,643.0,0.74,2404.0,0.05,24200000.0,"[3,0,0,3,0,2,0,100,20,24,20,16]",2025-09-11,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,other
web design agency,7,7,18100,87.0,9.43,https://www.designrush.com/agency/website-design-development,543.0,0.62,5120.0,0.11,1040000000.0,"[66,66,81,81,81,81,81,66,100,100,100,100]",2025-09-10,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Discussions and forums, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_design
best web design company,1,1,1900,71.0,13.42,https://www.designrush.com/agency/website-design-development,471.0,0.54,6320.0,0.06,3150000000.0,"[34,44,44,55,34,44,55,65,100,65,82,100]",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
web development company,7,7,12100,72.0,14.89,https://www.designrush.com/agency/web-development-companies,363.0,0.41,5405.0,0.1,2370000000.0,"[54,66,66,66,54,66,66,54,66,81,100,81]",2025-09-11,"Knowledge panel, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,agency,web_dev
web design companies,2,2,4400,82.0,13.79,https://www.designrush.com/agency/website-design-development,360.0,0.41,4964.0,0.12,1400000000.0,"[29,29,29,36,36,36,36,36,44,66,54,54]",2025-09-09,"Local pack, Image pack, Sitelinks, Video, Related searches, See results about, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
logo,6,0,135000,100.0,1.49,https://www.designrush.com/agency/logo-design/trends/what-is-logo-design,337.0,0.38,502.0,0.21,23550000000.0,"[44,44,54,67,44,30,44,36,44,54,81,36]",2025-09-11,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask,-6,false,true,04-10,agency,logo
it outsourcing company,1,1,1300,32.0,25.24,https://www.designrush.com/agency/it-services/outsourcing,322.0,0.37,8127.0,0.05,62900000.0,"[37,37,68,46,46,52,52,52,84,84,84,84]",2025-09-07,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,true,true,01-03,agency,it_services
website design agency,6,7,8100,91.0,9.43,https://www.designrush.com/agency/website-design-development,283.0,0.32,2668.0,0.11,1100000000.0,"[44,44,54,54,66,66,66,54,66,81,100,100]",2025-09-12,"Local pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle",commercial,Organic,1,false,true,04-10,agency,web_design
seo agency near me,7,9,12100,60.0,19.76,https://www.designrush.com/agency/search-engine-optimization,266.0,0.3,5256.0,0.02,195000000.0,"[13,54,29,24,16,66,54,54,100,54,54,44]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",transactional,Organic,2,false,true,04-10,agency,seo
best website contractors in texas,1,1,1900,16.0,0.0,https://www.designrush.com/agency/website-design-development/texas,250.0,0.28,0.0,0.0,61700000.0,[100],2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
website development companies,1,1,1000,55.0,13.69,https://www.designrush.com/agency/web-development-companies,248.0,0.28,3395.0,0.1,1650000000.0,"[55,67,67,76,67,55,76,67,76,76,100,100]",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,0,true,true,01-03,agency,web_dev
web dev companies,1,1,1000,45.0,14.89,https://www.designrush.com/agency/web-development-companies,248.0,0.28,3692.0,0.1,1610000000.0,"[0,0,1,2,0,0,0,100,66,0,44,2]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,true,true,01-03,agency,web_dev
top web design companies,1,1,1000,34.0,11.09,https://www.designrush.com/agency/website-design-development,248.0,0.28,2750.0,0.07,1550000000.0,"[81,55,45,62,55,55,62,62,81,81,81,100]",2025-09-08,"Local pack, Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,web_design
best website development company,1,1,1000,38.0,12.14,https://www.designrush.com/agency/web-development-companies,248.0,0.28,3010.0,0.07,2870000000.0,"[45,45,55,55,55,45,45,62,81,81,100,62]",2025-09-07,"Image pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",commercial,Organic,0,true,true,01-03,agency,web_dev
best web development company,1,1,1000,39.0,15.13,https://www.designrush.com/agency/web-development-companies,248.0,0.28,3752.0,0.04,2440000000.0,"[36,55,62,62,81,55,81,45,100,62,81,10]",2025-09-10,"Local pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic,0,true,true,01-03,agency,web_dev
free streaming services,1,0,22200,59.0,1.17,https://www.designrush.com/agency/video-marketing/trends/best-streaming-websites,244.0,0.28,285.0,0.25,1160000000.0,"[54,36,36,36,100,54,66,24,29,24,24,24]",2025-09-11,"Top stories, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",informational,People also ask,-1,true,true,01-03,agency,video
website design firms,1,1,3600,72.0,13.79,https://www.designrush.com/agency/website-design-development,234.0,0.27,3226.0,0.12,230000000.0,"[3,36,66,3,44,54,100,4,29,5,7,23]",2025-09-08,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,true,true,01-03,agency,web_design
alias agency,4,5,6600,35.0,0.0,https://www.designrush.com/agency/profile/alias-creative,231.0,0.26,0.0,0.0,10500000.0,"[0,0,0,0,0,7,1,100,100,100,66,81]",2025-09-11,"Local pack, Image pack, Sitelinks, Video",commercial,Organic,1,false,true,04-10,agency,other
best digital marketing services,1,1,880,58.0,8.47,https://www.designrush.com/agency/digital-marketing,218.0,0.25,1846.0,0.1,1560000000.0,"[13,76,67,76,76,100,100,20,76,100,30,30]",2025-08-28,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic,0,true,true,01-03,other,digital_marketing
top website design companies,1,1,880,39.0,11.09,https://www.designrush.com/agency/website-design-development,218.0,0.25,2417.0,0.07,1540000000.0,"[36,20,36,16,13,24,8,36,66,54,100,54]",2025-09-02,"Local pack, Image pack, Sitelinks, Video, Ads top, People also ask, Related searches, Discussions and forums",commercial,Organic,0,true,true,01-03,agency,web_design
digital strategy agency,1,1,1600,71.0,8.95,https://www.designrush.com/agency/digital-strategy-agencies,211.0,0.24,1888.0,0.06,491000000.0,"[20,20,24,36,24,27,44,44,66,44,66,66]",2025-09-08,"Sitelinks, Related searches, Discussions and forums, AI overview",informational,Organic,0,true,true,01-03,other,other
aquare,1,1,2400,33.0,8.35,https://www.designrush.com/agency/profile/aquare,198.0,0.22,1653.0,0.6,60.0,"[22,29,54,43,100,43,54,54,43,65,54,54]",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Image pack,0,true,true,01-03,agency,other
website redesign houston,3,3,2400,60.0,15.3,https://www.designrush.com/agency/website-design-development/texas/houston,196.0,0.22,2998.0,0.04,8800000.0,"[19,19,7,10,5,24,3,81,100,100,43,43]",2025-09-10,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,true,true,01-03,agency,web_design
pure media,1,1,720,25.0,2.45,https://www.designrush.com/agency/profile/pure-media,191.0,0.22,467.0,0.0,1500000000.0,"[100,55,67,67,55,55,36,36,100,20,45,30]",2025-09-05,"Knowledge panel, Image pack, Video",informational,Image pack,0,true,true,01-03,agency,other
medl,1,1,720,35.0,9.27,https://www.designrush.com/agency/profile/medl-mobile,191.0,0.22,1770.0,0.06,1370000.0,"[55,100,55,45,45,45,36,45,55,45,30,45]",2025-09-04,"Image pack, Sitelinks, Video, Related searches",informational,Image pack,0,true,true,01-03,agency,other
services for it,1,1,4400,20.0,16.64,https://www.designrush.com/agency/it-services/trends/it-services-for-business,180.0,0.2,2995.0,0.1,8180000000.0,"[0,0,0,2,1,3,3,0,1,100,100,54]",2025-09-08,"Image pack, People also ask, AI overview",informational,People also ask,0,true,true,01-03,agency,it_services
digital marketing cyprus,1,1,720,41.0,0.0,https://www.designrush.com/agency/digital-marketing/cy,178.0,0.2,0.0,0.0,134000000.0,"[4,3,4,5,5,7,13,54,30,66,100,79]",2025-09-04,"Image pack, Sitelinks, People also ask, Related searches, AI overview","commercial, informational",Organic,0,true,true,01-03,other,digital_marketing
web design firms,2,2,3600,61.0,13.79,https://www.designrush.com/agency/website-design-development,158.0,0.18,2178.0,0.12,230000000.0,"[66,36,8,2,19,100,36,10,13,13,19,15]",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle",commercial,Organic,0,true,true,01-03,agency,web_design
digital marketing firm,2,2,3600,88.0,7.07,https://www.designrush.com/agency/digital-marketing,158.0,0.18,1117.0,0.21,371000000.0,"[28,54,36,43,66,43,36,54,81,54,66,66]",2025-09-05,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",commercial,Organic,0,true,true,01-03,other,digital_marketing
